Unnamed: 0,0
Horticulture and fruit growing,2348.1034907594417
"Sheep, beef cattle, and grain farming",3905.3203524890932
Dairy cattle farming,6901.709273865493
"Poultry, deer, and other livestock farming",594.7213298284424
Forestry and logging,1622.0371131183826
Fishing and aquaculture,542.4256598196324
"Agriculture, forestry, and fishing support services",2322.1781002843113
Coal mining,208.7198054347639
Oil and gas extraction,1481.1145205479452
Metal ore and non-metallic mineral mining and quarrying,913.5691502374101
Exploration and other mining support services,201.43113645716974
Meat and meat product manufacturing,2339.5549898747036
Seafood processing,588.3057285478143
Dairy product manufacturing,3751.4894767281994
"Fruit, oil, cereal, and other food product manufacturing",2662.846891812547
Beverage and tobacco product manufacturing,1527.7489498325529
Textile and leather manufacturing,446.53385147356744
"Clothing, knitted products, and footwear manufacturing",170.08833481307622
Wood product manufacturing,1644.648074388939
"Pulp, paper, and converted paper product manufacturing",638.8045972771685
Printing,658.6288015313752
Petroleum and coal product manufacturing,1282.6552163898655
Basic chemical and basic polymer manufacturing,423.23263109978745
Fertiliser and pesticide manufacturing,400.92341512894336
"Pharmaceutical, cleaning, and other chemical manufacturing",585.5238254056694
Polymer product and rubber product manufacturing,1520.6490107484346
Non-metallic mineral product manufacturing,1139.6435305512457
Primary metal and metal product manufacturing,587.8914443994812
Fabricated metal product manufacturing,2458.352804322091
Transport equipment manufacturing,1349.6321609937347
Electronic and electrical equipment manufacturing,2315.0396857081023
Machinery manufacturing,1777.6963897731173
Furniture manufacturing,531.3263941600954
Other manufacturing,304.210787947828
Electricity generation and on-selling,3210.9810171645995
Electricity transmission and distribution,2915.6158615717377
Gas and water supply,1240.0508936523609
Sewerage and drainage services,376.16791426982763
"Waste collection, treatment, and disposal services",993.1071272640515
Residential building construction,4506.878838737213
Non-residential building construction,1375.9047860367803
Heavy and civil engineering construction,4773.606305839822
Construction services,11726.330234756377
Basic material wholesaling,2742.679090072297
Machinery and equipment wholesaling,4156.549434403124
"Motor vehicle wholesaling, including parts",1088.5336350725552
"Grocery, liquor, and tobacco product wholesaling",2601.0549314841583
Other goods and commission based wholesaling,3886.4040728019418
"Motor vehicle retailing, including parts",1793.238895641608
Fuel retailing,475.60923788014765
Supermarket and grocery stores,3205.7713144361055
Specialised food retailing,622.6657312391565
"Furniture, electrical, and hardware retailing",3158.216894576195
"Recreational, clothing, footwear, and personal accessory retailing",1657.2470970112188
Department stores,1196.6374796205978
Pharmaceutical and other store based retailing,1516.0763261737948
Non-store and commission based retailing,405.1498697242462
Accommodation,2147.9849252673707
Food and beverage services,4839.109997729901
Road transport,3759.312688074501
Rail transport,117.43738200997595
Water transport,270.0423931934932
Air and space transport,1926.0946794719982
Other transport,443.84616401432635
Postal and courier services,995.683778176185
Transport support services,4860.465745512091
Warehousing and storage services,624.0354947494335
Publishing (except internet and music publishing),729.0638477905758
Motion picture and sound recording activities,633.9343650645379
Broadcasting and internet publishing,545.8550804222341
Telecommunications services,4000.296650904495
"Internet service providers, web search portals and data processing services",774.0152666143152
Library and other information services,272.5456110916499
Banking and financing; financial asset investing,9402.250520580123
Life insurance,519.1667791543659
Health and general insurance,2948.213165807669
Superannuation and individual pension services,21.927671232876712
Auxiliary finance and insurance services,3780.572959257841
Rental and hiring services (except real estate),3025.1357205988907
Non-financial asset leasing,513.4579528729181
Residential property operation,10022.230518705439
Non-residential property operation,7726.630259903469
Real estate services,2245.9780798852257
Owner-occupied property operation,23788.0
"Scientific, architectural, and engineering services",7593.324263743786
Legal and accounting services,5408.648441182421
"Advertising, market research, and management services",5607.335399229216
Veterinary and other professional services,876.755429436172
Computer system design and related services,7358.218148122869
Travel agency and tour arrangement services,680.0976253643606
Employment and other administrative services,3331.3601168955734
"Building cleaning, pest control, and other support services",2133.494672575096
Local government administration services,1618.7014770524358
Central government administration services,5115.153327564375
Defence,1603.7602629584117
"Public order, safety, and regulatory services",5146.057538711339
Preschool education,1319.1727956999298
School education,6661.816874183043
Tertiary education,4887.944646251141
"Adult, community, and other education",1015.1126395639369
Hospitals,8916.767106990483
Medical and other health care services,6322.927116562248
Residential care services and social assistance,4163.763212270753
Heritage and artistic activities,970.1516010018636
Sport and recreation services,1488.4981257812176
Gambling activities,1233.7057926971806
Repair and maintenance,2598.5363349494
Personal services; domestic household staff,2157.9880990196616
"Religious services; civil, professional, and other interest groups",1252.7521435797407
