Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Sewerage and drainage services,DD122,961.3300000000005,960.9142301478275,0.4157698521729071,0.4909090909090909,471.92563636363656,471.72153116347897,0.20410520015760894,0.014622930480185592,0.18948226967742335
"Waste collection, treatment, and disposal services",,3028.3149999999996,3026.572146249557,1.7428537504427026,0.4132505175983437,1251.452741200828,1250.7325059863595,0.7202352144686613,0.28027814009815455,0.4399570743705068
Residential building construction,EE112,25962.185,25959.4144944493,2.77050555070442,0.21897810218978103,5685.150000000001,5684.543319952401,0.606680047599508,0.04542966140162274,0.5612503861978853
Non-residential building construction,EE113,12069.334999999997,12066.744723122238,2.5902768777592606,0.14383775351014041,1736.02603276131,1735.6534531542438,0.3725796070661526,0.005180134636588214,0.3673994724295644
Heavy and civil engineering construction,EE121,18228.875000000004,18227.10039251238,1.7746074876220699,0.33009975920192636,6017.347248022016,6016.761450517673,0.5857975043419807,0.013842733723334725,0.5719547706186461
Construction services,EE131,36052.385,36041.984399658184,10.400600341815206,0.41023945426701935,14790.110747424475,14785.8440108162,4.266736608275645,0.309949332423008,3.9567872758526375
Basic material wholesaling,FF111,8999.605000000003,8994.08821146059,5.51678853941165,0.3844652070840887,3460.035000000001,3457.9139867517574,2.121013248244027,1.3229625799736895,0.7980506682703377
Machinery and equipment wholesaling,FF112,9362.3,9356.35767253433,5.942327465669295,0.560219957081545,5244.947304184549,5241.6182937467665,3.3290104377817387,2.0060449420872146,1.3229654956945238
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2406.5052005143993,1.8397994855999615,0.5709812108559499,1375.1197442588723,1374.0692533208523,1.0504909380200198,0.7289085573040096,0.3215823807160101
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8779.5793664007,6.675633599299526,0.37330478229835834,3279.951009992862,3277.4589640453723,2.4920459474901158,1.6419137709830585,0.8501321765070575
Other goods and commission based wholesaling,,9132.635,9126.4891979665,6.145802033499171,0.5365485023358065,4900.101631629569,4896.8041107528425,3.297520876726334,2.26713660573377,1.0303842709925641
"Motor vehicle retailing, including parts",,3512.7449999999985,3508.4242336596403,4.320766340358093,0.6439285714285714,2261.9568696428564,2259.1746047458328,2.7822648970234436,2.5371442666455195,0.24512063037792392
Fuel retailing,GH112,975.1350000000001,973.8862570638582,1.2487429361417683,0.6104725415070242,595.2931417624521,594.5308184885367,0.7623232739154091,0.6982542871647717,0.06406898675063745
Supermarket and grocery stores,GH121,6052.865000000001,6044.80664106836,8.058358931641486,0.6678408619975135,4042.35057915458,4036.968877779387,5.3817013751928116,5.041325014499303,0.34037636069350924
Specialised food retailing,GH122,1326.5349999999999,1324.777489516947,1.7575104830528128,0.5872420262664165,778.9971013133207,777.9650172960684,1.0320840172524022,0.9779972262593286,0.05408679099307366
"Furniture, electrical, and hardware retailing",,6075.455,6067.475417357621,7.9795826423779355,0.6553147574819401,3981.3353199174403,3976.1061816533434,5.229138264096996,4.837972133217574,0.3911661308794223
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3916.6114749165513,5.263525083448807,0.533974358974359,2094.1806891025644,2091.370101670184,2.810587432380036,2.609853092279461,0.20073434010057492
Department stores,GH133,2592.829999999999,2589.263309884434,3.5666901155652293,0.5792007703418391,1501.7691333654304,1499.7033037029244,2.065829662506004,1.9476127704455923,0.11821689206041171
Pharmaceutical and other store based retailing,GH134,3664.600000000001,3660.418268860267,4.181731139734065,0.5206696276050564,1908.0459173214902,1905.8686169262205,2.177300395269804,1.9420967198376873,0.23520367543211657
Non-store and commission based retailing,GH135,1084.3199999999997,1083.0504148132193,1.2695851867803947,0.46889400921658986,508.43115207373256,507.8358511854611,0.5953008882714523,0.5432206523978445,0.052080235873607814
Accommodation,GH211,5318.69,5315.159283396338,3.530716603661917,0.5093226339391078,2708.929199905593,2707.1309260253233,1.7982738802696285,1.6283422162554793,0.1699316640141492
Food and beverage services,GH212,13513.839999999998,13497.890572581186,15.949427418812464,0.45179268066134126,6105.453999628459,6098.2481650599,7.20583456855878,6.887180582999168,0.3186539855596125
Road transport,II111,11838.414999999999,11831.822260420986,6.5927395790139505,0.4003602076491154,4739.630287636402,4736.990817049571,2.6394705868305666,0.7108241229739096,1.928646463856657
Rail transport,II121,838.3399999999999,837.8742604509139,0.4657395490860261,0.17559523809523808,147.20851190476188,147.12673025774976,0.08178164701212959,0.03254339309812193,0.04923825391400765
Water transport,II122,870.9699999999999,870.2616103774608,0.7083896225391458,0.3871428571428571,337.1898142857142,336.9155663032741,0.274247982440155,0.17893320176936262,0.0953147806707924
Air and space transport,II123,8062.120000000001,8056.663225066939,5.456774933061733,0.3012610929472209,2428.803082671649,2427.1591686913475,1.643913980301176,1.3979032598232064,0.2460107204779696
Other transport,II125,1109.4200000000003,1108.642451024687,0.7775489753131637,0.504524886877828,559.7300000000001,559.3377071911882,0.39229280881184503,0.2001699953591126,0.19212281345273244
Postal and courier services,,3030.825,3029.0003927009516,1.8246072990481843,0.41483630335681726,1257.2962391214255,1256.5393257744106,0.7569133470150154,0.09231245112944433,0.664600895885571
Transport support services,II132,8720.994999999999,8717.080214569303,3.9147854306964605,0.7030643072939146,6131.420308588692,6128.667962681655,2.752345907036916,0.6408359378479959,2.11150996918892
Warehousing and storage services,II133,1644.05,1643.1296753723882,0.9203246276116964,0.48119723714504986,791.1123177283191,790.6694600602358,0.44285766808329524,0.031753026404340357,0.4111046416789549
Publishing (except internet and music publishing),JJ111,1591.34,1590.1848344278997,1.155165572100293,0.5789889415481833,921.3682622432858,920.6994341513827,0.6688280919032501,0.20521205123950387,0.46361604066374623
Motion picture and sound recording activities,JJ112,2629.224999999999,2628.0393465032253,1.185653496773748,0.30318895763921944,797.1519871489764,796.7925101011683,0.3594770478081283,0.23285143953280327,0.12662560827532499
Broadcasting and internet publishing,JJ113,2089.575,2087.468117438908,2.10688256109206,0.3275552898983861,684.4513448894202,683.7612243613397,0.6901205280803638,0.4468892621560424,0.24323126592432145
Telecommunications services,JJ121,9092.474999999999,9083.817657682932,8.657342317066426,0.5545743066096316,5042.453018490409,5037.651878877839,4.801139612569335,3.615481895675844,1.1856577168934908
"Internet service providers, web search portals and data processing services",JJ122,1798.4150000000004,1797.1721282375722,1.24287176242829,0.5414634146341464,973.7759268292685,973.1029572408318,0.6729695884367813,0.2658111748409132,0.40715841359586813
Library and other information services,JJ123,474.39000000000004,474.34091837612664,0.04908162387336659,0.7191601049868767,341.16236220472445,341.1270646589467,0.035297545777696705,0.01964251355793222,0.015655032219764484
Banking and financing; financial asset investing,,19152.555,19134.03903323211,18.51596676788892,0.6189134281407693,11853.773472704634,11842.31369223698,11.459780467654692,3.47332740231039,7.986453065344301
Life insurance,KK121,2388.2649999999994,2384.4777331300024,3.78726686999689,0.2726321297749869,651.1177734170591,650.0852427842655,1.0325306327935007,1.016107505779151,0.01642312701434951
Health and general insurance,KK122,8466.230000000001,8457.85378313544,8.376216864560373,0.4395017793594306,3720.9231494661926,3717.2417872499177,3.681362216274755,2.037337782383633,1.6440244338911216
Superannuation and individual pension services,,503.25499999999994,502.6308032296378,0.6241967703621406,0.05486284289276808,27.61,27.575754790653445,0.034245209346551356,0.034245209346551356,0.0
Auxiliary finance and insurance services,KK131,8534.0,8525.895158585032,8.104841414968096,0.5586115605236064,4767.191057508457,4762.663599397844,4.527458110611682,0.313988699353753,4.213469411257929
Rental and hiring services (except real estate),LL111,6544.825,6540.931010130416,3.893989869582751,0.5829338446788112,3815.2,3812.9300615141838,2.2699384858162155,0.699013356268798,1.5709251295474176
Non-financial asset leasing,LL112,1681.6999999999998,1680.741623861594,0.9583761384058607,0.38392857142857145,645.6526785714286,645.2847305897191,0.36794798170939297,0.001743861583994657,0.36620412012539827
Residential property operation,LL121,16626.24,16602.917462855712,23.322537144287388,0.7602657004830918,12640.36,12622.628674960957,17.731325039044577,17.7036587063678,0.02766633267677548
Non-residential property operation,LL122,18007.995,17996.035376376145,11.95962362385213,0.5410018811398314,9742.359170556678,9735.888991678448,6.47017887822837,0.002714078139971202,6.467464800088399
Real estate services,LL123,6366.614999999997,6364.676691986103,1.9383080138942659,0.4446414499605989,2830.860924940897,2829.999072855129,0.861852085768195,0.08506075842146653,0.7767913273467285
Owner-occupied property operation,,39204.945,39139.51116473375,65.43383526625303,0.7614840423829188,29853.94,29804.11317861283,49.826821387164344,49.826821387164344,0.0
"Scientific, architectural, and engineering services",,16225.895000000004,16220.839880282043,5.055119717960624,0.5904098994586233,9579.92903557618,9576.944442851749,2.9845927244324364,0.25886159305671086,2.725731131375725
Legal and accounting services,MN112,9398.695,9393.517114736313,5.177885263685875,0.7258646014154093,6822.179999999999,6818.421556376899,3.7584436231000695,0.5778750428483467,3.1805685802517227
"Advertising, market research, and management services",,13705.855000000003,13697.62980690238,8.225193097623086,0.5159813169704185,7071.965113105597,7067.721067138749,4.2440459668475565,0.17894510104318198,4.065100865804374
Veterinary and other professional services,MN114,1511.02,1509.6809780561691,1.3390219438307747,0.7299088649544325,1102.9068931234465,1101.929529136276,0.9773639871705987,0.7274712449981763,0.24989274217242238
Computer system design and related services,MN115,13906.654999999999,13901.721264778816,4.933735221182714,0.666937302661254,9274.86697474064,9271.576482680179,3.2904920604604246,0.7280907636226611,2.5624012968377636
Travel agency and tour arrangement services,MN211,1645.3049999999996,1644.0966311051075,1.2083688948921154,0.5178165276724791,851.966122062168,851.3404086768675,0.6257133853004662,0.47279031828833074,0.1529230670121354
Employment and other administrative services,MN212,9071.139999999998,9065.54565256874,5.5943474312572965,0.46352941176470586,4204.740188235292,4202.147043661275,2.5931445740180883,0.42043366364749585,2.172710910370592
"Building cleaning, pest control, and other support services",,5258.449999999998,5255.456007633205,2.993992366792936,0.5121776504297995,2693.260565902578,2691.7271099267496,1.5334559758287603,0.13167409020332121,1.401781885625439
Local government administration services,,3204.015000000001,3203.8170021088004,0.19799789120039804,0.635546875,2036.3017207031253,2036.1758837621162,0.12583694100900294,0.08520507623901474,0.04063186476998821
Central government administration services,,12778.410000000002,12777.376862401925,1.0331375980770916,0.5046150824823252,6448.17841614297,6447.657079328701,0.5213368142692629,0.35362113776940757,0.16771567649985542
Defence,OO212,3074.750000000001,3074.558978654687,0.19102134531386808,0.6547376982513217,2013.154737698252,2013.0296688223043,0.12506887594767288,0.10971611190638388,0.015352764041288996
"Public order, safety, and regulatory services",,9968.465,9966.218812642119,2.24618735788079,0.6507676818525044,6487.154859677826,6485.693113537931,1.4617461398944833,0.5765791136120243,0.885167026282459
Preschool education,PP111,2290.374999999999,2289.3744683777913,1.0005316222077545,0.724194429273621,1658.6768159475691,1657.952236520454,0.7245794271149548,0.6797543848075482,0.04482504230740658
School education,PP112,10777.940000000004,10776.05386695843,1.886133041574003,0.7792389153962528,8398.590275805893,8397.120527540283,1.4697482656091614,1.353442695720584,0.11630556988857749
Tertiary education,PP113,8640.675000000001,8638.53452642572,2.1404735742814727,0.7140575079872205,6169.9388578274775,6168.410436601113,1.528421226363927,1.2419843814873173,0.2864368448766097
"Adult, community, and other education",,2320.495,2319.351503492905,1.1434965070950738,0.5510534846029174,1278.7168557536468,1278.0867280187808,0.6301277348660049,0.40370369790863464,0.22642403695737032
Hospitals,QQ111,16128.005000000001,16125.106186224011,2.8988137759900106,0.6977594523105648,11253.467935662053,11251.445260949366,2.0226747126851103,1.931582960642379,0.09109175204273096
Medical and other health care services,QQ112,14462.619999999994,14457.890579166498,4.729420833496178,0.5510097945739794,7969.045275201522,7966.439317999603,2.6059572019186272,2.4702720502760758,0.13568515164255152
Residential care services and social assistance,QQ113,8290.529999999999,8281.6264648074,8.90353519260061,0.6331468319975805,5249.122805080901,5243.485559980127,5.637245100774044,5.465636881536097,0.17160821923794722
Heritage and artistic activities,RS111,2154.835,2153.839398583073,0.995601416927152,0.5658734764944864,1219.3639727219966,1218.8005882869973,0.563384434999404,0.4410565906150229,0.12232784438438114
Sport and recreation services,,4787.825000000002,4784.148405981447,3.676594018554394,0.3927540036755054,1880.4374376476771,1878.9934406270006,1.4439970206766537,1.260852251348709,0.18314476932794455
Gambling activities,RS113,2444.7400000000002,2441.3024509237894,3.437549076210894,0.6342710997442456,1550.6279283887473,1548.4475903557538,2.180338032993099,2.1072487992939064,0.07308923369919258
Repair and maintenance,RS211,6128.164999999999,6123.934685094984,4.230314905014893,0.534588620548506,3276.047273843635,3273.785795634077,2.2614782095576955,1.4502151815905262,0.8112630279671695
Personal services; domestic household staff,,4057.4149999999995,4052.8285391696922,4.586460830307482,0.6704791344667697,2720.412097372488,2717.336971084718,3.0751262877703023,2.6514801471262395,0.4236461406440627
"Religious services; civil, professional, and other interest groups",,3748.685000000001,3745.136934410516,3.548065589484631,0.4216342933690556,1580.5741510381788,1579.0781649105293,1.4959861276494142,1.1052611015748417,0.3907250260745725
