Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,769.1183692530703
"Sheep, beef cattle, and grain farming",56.71377367066624
Dairy cattle farming,15.91965576720456
"Poultry, deer, and other livestock farming",259.68938470252436
Forestry and logging,24.874462136257126
Fishing and aquaculture,165.1664285847473
"Agriculture, forestry, and fishing support services",38.80416093256112
Coal mining,6.964849398151995
Oil and gas extraction,6.964849398151995
Metal ore and non-metallic mineral mining and quarrying,50.743902757964534
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2329.2446344391174
Seafood processing,236.80487953716784
Dairy product manufacturing,1770.066725616057
"Fruit, oil, cereal, and other food product manufacturing",3364.0222593074136
Beverage and tobacco product manufacturing,2111.3443461255047
Textile and leather manufacturing,152.23170827389362
"Clothing, knitted products, and footwear manufacturing",84.57317126327422
Wood product manufacturing,151.2367297884433
"Pulp, paper, and converted paper product manufacturing",194.02080466280557
Printing,48.75394578706396
Petroleum and coal product manufacturing,1928.2683048026524
Basic chemical and basic polymer manufacturing,115.41750431223306
Fertiliser and pesticide manufacturing,73.62840792332109
"Pharmaceutical, cleaning, and other chemical manufacturing",362.17216870390376
Polymer product and rubber product manufacturing,285.5588253242318
Non-metallic mineral product manufacturing,235.80990105171753
Primary metal and metal product manufacturing,14.924677281754274
Fabricated metal product manufacturing,231.8299871099164
Transport equipment manufacturing,1054.677194577302
Electronic and electrical equipment manufacturing,377.09684598565804
Machinery manufacturing,180.09110586650158
Furniture manufacturing,562.162844279411
Other manufacturing,250.73457833347183
Electricity generation and on-selling,2599.8787824815945
Electricity transmission and distribution,901.4505078179582
Gas and water supply,264.6642771297758
Sewerage and drainage services,12.934720310853706
"Waste collection, treatment, and disposal services",235.80990105171753
Residential building construction,82.58321429237365
Non-residential building construction,15.91965576720456
Heavy and civil engineering construction,16.914634252654846
Construction services,311.4282659459392
Basic material wholesaling,1589.9756197495553
Machinery and equipment wholesaling,1687.4835113236834
"Motor vehicle wholesaling, including parts",604.9469191537733
"Grocery, liquor, and tobacco product wholesaling",2041.695852143985
Other goods and commission based wholesaling,1988.9619924151198
"Motor vehicle retailing, including parts",1867.5746171901849
Fuel retailing,543.2582530558556
Supermarket and grocery stores,3577.942633679225
Specialised food retailing,791.0078959329766
"Furniture, electrical, and hardware retailing",3502.3242687850034
"Recreational, clothing, footwear, and personal accessory retailing",2318.299871099164
Department stores,1596.9404691477075
Pharmaceutical and other store based retailing,1764.0968547033553
Non-store and commission based retailing,550.2231024540076
Accommodation,1515.352233340784
Food and beverage services,7223.543804369069
Road transport,752.2037350004155
Rail transport,87.55810671962507
Water transport,214.91535285726155
Air and space transport,2176.0179476797734
Other transport,187.0559552646536
Postal and courier services,84.57317126327422
Transport support services,408.9361575200671
Warehousing and storage services,29.849354563508548
Publishing (except internet and music publishing),166.16140707019758
Motion picture and sound recording activities,272.6241050133781
Broadcasting and internet publishing,640.7661446299835
Telecommunications services,2770.0201034935935
"Internet service providers, web search portals and data processing services",224.86513771176442
Library and other information services,12.934720310853706
Banking and financing; financial asset investing,2469.536600887607
Life insurance,1763.101876217905
Health and general insurance,1707.383081032689
Superannuation and individual pension services,296.5035886641849
Auxiliary finance and insurance services,225.8601161972147
Rental and hiring services (except real estate),534.303446686803
Non-financial asset leasing,1.98995697090057
Residential property operation,11061.175822750818
Non-residential property operation,1.98995697090057
Real estate services,57.70875215611653
Owner-occupied property operation,31082.132906981453
"Scientific, architectural, and engineering services",172.1312779828993
Legal and accounting services,363.167147189354
"Advertising, market research, and management services",152.23170827389362
Veterinary and other professional services,466.64490967618366
Computer system design and related services,474.6047375597859
Travel agency and tour arrangement services,341.27762050944773
Employment and other administrative services,416.89598540366944
"Building cleaning, pest control, and other support services",120.39239673948448
Local government administration services,63.67862306881824
Central government administration services,330.3328571694946
Defence,79.5982788360228
"Public order, safety, and regulatory services",416.89598540366944
Preschool education,422.86585631637115
School education,823.842185952836
Tertiary education,821.8522289819354
"Adult, community, and other education",344.2625559657986
Hospitals,1314.3665792798265
Medical and other health care services,1837.7252626266763
Residential care services and social assistance,3830.667168983597
Heritage and artistic activities,339.2876635385472
Sport and recreation services,1427.794126621159
Gambling activities,1577.0408994387017
Repair and maintenance,1283.5222462308677
Personal services; domestic household staff,1872.5495096174363
"Religious services; civil, professional, and other interest groups",1221.83358013295
