Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,771.2011694981259
"Sheep, beef cattle, and grain farming",56.86735661241032
Dairy cattle farming,15.962766768395879
"Poultry, deer, and other livestock farming",260.39263290945775
Forestry and logging,24.94182307561856
Fishing and aquaculture,165.61370522210723
"Agriculture, forestry, and fishing support services",38.90924399796496
Coal mining,6.983710461173197
Oil and gas extraction,6.983710461173197
Metal ore and non-metallic mineral mining and quarrying,50.88131907426186
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2335.552312800922
Seafood processing,237.4461556798887
Dairy product manufacturing,1774.8601300610167
"Fruit, oil, cereal, and other food product manufacturing",3373.132152746654
Beverage and tobacco product manufacturing,2117.0619426585035
Textile and leather manufacturing,152.6439572227856
"Clothing, knitted products, and footwear manufacturing",84.8021984571031
Wood product manufacturing,151.64628429976085
"Pulp, paper, and converted paper product manufacturing",194.54621998982478
Printing,48.88597322821238
Petroleum and coal product manufacturing,1933.4901248219508
Basic chemical and basic polymer manufacturing,115.73005907087013
Fertiliser and pesticide manufacturing,73.82779630383094
"Pharmaceutical, cleaning, and other chemical manufacturing",363.1529439810062
Polymer product and rubber product manufacturing,286.3321289081011
Non-metallic mineral product manufacturing,236.44848275686397
Primary metal and metal product manufacturing,14.965093845371136
Fabricated metal product manufacturing,232.457791064765
Transport equipment manufacturing,1057.533298406227
Electronic and electrical equipment manufacturing,378.11803782637736
Machinery manufacturing,180.57879906747837
Furniture manufacturing,563.6852015089795
Other manufacturing,251.41357660223508
Electricity generation and on-selling,2606.919347863652
Electricity transmission and distribution,903.8916682604166
Gas and water supply,265.38099752458146
Sewerage and drainage services,12.969747999321651
"Waste collection, treatment, and disposal services",236.44848275686397
Residential building construction,82.80685261105361
Non-residential building construction,15.962766768395879
Heavy and civil engineering construction,16.96043969142062
Construction services,312.27162490674436
Basic material wholesaling,1594.2813309935384
Machinery and equipment wholesaling,1692.0532774499632
"Motor vehicle wholesaling, including parts",606.5851371990434
"Grocery, liquor, and tobacco product wholesaling",2047.2248380467715
Other goods and commission based wholesaling,1994.34817312646
"Motor vehicle retailing, including parts",1872.6320765174414
Fuel retailing,544.7294159715094
Supermarket and grocery stores,3587.631831196974
Specialised food retailing,793.1499738046703
"Furniture, electrical, and hardware retailing",3511.808689047093
"Recreational, clothing, footwear, and personal accessory retailing",2324.57791064765
Department stores,1601.2650414547115
Pharmaceutical and other store based retailing,1768.8740925228683
Non-store and commission based retailing,551.7131264326825
Accommodation,1519.4558617666828
Food and beverage services,7243.10542115963
Road transport,754.2407298067053
Rail transport,87.79521722617733
Water transport,215.49735137334437
Air and space transport,2181.9106826551115
Other transport,187.5625095286516
Postal and courier services,84.8021984571031
Transport support services,410.0435713631691
Warehousing and storage services,29.930187690742272
Publishing (except internet and music publishing),166.611378145132
Motion picture and sound recording activities,273.3623809087794
Broadcasting and internet publishing,642.5013624279342
Telecommunications services,2777.521417700883
"Internet service providers, web search portals and data processing services",225.47408060359177
Library and other information services,12.969747999321651
Banking and financing; financial asset investing,2476.2241949474105
Life insurance,1767.8764195998435
Health and general insurance,1712.006735910458
Superannuation and individual pension services,297.3065310613732
Auxiliary finance and insurance services,226.47175352661654
Rental and hiring services (except real estate),535.7503596642866
Non-financial asset leasing,1.9953458460494848
Residential property operation,11091.129885266062
Non-residential property operation,1.9953458460494848
Real estate services,57.86502953543506
Owner-occupied property operation,31166.30444236993
"Scientific, architectural, and engineering services",172.59741568328045
Legal and accounting services,364.150616904031
"Advertising, market research, and management services",152.6439572227856
Veterinary and other professional services,467.9086008986042
Computer system design and related services,475.8899842828021
Travel agency and tour arrangement services,342.20181259748665
Employment and other administrative services,418.0249547473671
"Building cleaning, pest control, and other support services",120.71842368599383
Local government administration services,63.851067073583515
Central government administration services,331.22741044421446
Defence,79.81383384197939
"Public order, safety, and regulatory services",418.0249547473671
Preschool education,424.01099228551556
School education,826.0731802644867
Tertiary education,824.0778344184372
"Adult, community, and other education",345.1948313665609
Hospitals,1317.9259313156847
Medical and other health care services,1842.7018888266994
Residential care services and social assistance,3841.0407536452585
Heritage and artistic activities,340.2064667514372
Sport and recreation services,1431.6606445405055
Gambling activities,1581.3115829942167
Repair and maintenance,1286.9980707019176
Personal services; domestic household staff,1877.6204411325652
"Religious services; civil, professional, and other interest groups",1225.1423494743838
