Unnamed: 0,0
Horticulture and fruit growing,6147.697854181277
"Sheep, beef cattle, and grain farming",7962.700886238642
Dairy cattle farming,10368.581750839408
"Poultry, deer, and other livestock farming",4955.278571329551
Forestry and logging,6740.8329372297085
Fishing and aquaculture,4152.835617187543
"Agriculture, forestry, and fishing support services",5892.451844696883
Coal mining,4237.6404419243045
Oil and gas extraction,4494.446871149458
Metal ore and non-metallic mineral mining and quarrying,4044.0158197754145
Exploration and other mining support services,4607.80762126845
Meat and meat product manufacturing,8573.836183101817
Seafood processing,4252.314729516839
Dairy product manufacturing,11822.284269573072
"Fruit, oil, cereal, and other food product manufacturing",7374.1265420276995
Beverage and tobacco product manufacturing,6360.695851238337
Textile and leather manufacturing,5286.9743164136635
"Clothing, knitted products, and footwear manufacturing",3330.338091721806
Wood product manufacturing,6480.550488793517
"Pulp, paper, and converted paper product manufacturing",6374.651660472315
Printing,4092.846658526208
Petroleum and coal product manufacturing,5163.741801332131
Basic chemical and basic polymer manufacturing,4454.928229775815
Fertiliser and pesticide manufacturing,4607.008809030699
"Pharmaceutical, cleaning, and other chemical manufacturing",4891.661764766762
Polymer product and rubber product manufacturing,4809.809022606307
Non-metallic mineral product manufacturing,5443.239055880324
Primary metal and metal product manufacturing,6198.474825688401
Fabricated metal product manufacturing,6749.9893150575535
Transport equipment manufacturing,3582.153384436566
Electronic and electrical equipment manufacturing,5005.5093959694295
Machinery manufacturing,5164.249113965179
Furniture manufacturing,4309.661843102509
Other manufacturing,3958.030441785517
Electricity generation and on-selling,9120.504018138023
Electricity transmission and distribution,6355.57053087769
Gas and water supply,4751.973281581161
Sewerage and drainage services,3849.1878280767664
"Waste collection, treatment, and disposal services",4432.50393980803
Residential building construction,14082.041370159632
Non-residential building construction,11970.868194040326
Heavy and civil engineering construction,11837.97347778713
Construction services,17102.722696261146
Basic material wholesaling,7196.985500283659
Machinery and equipment wholesaling,7484.850934688573
"Motor vehicle wholesaling, including parts",4180.121945706159
"Grocery, liquor, and tobacco product wholesaling",7668.313578739584
Other goods and commission based wholesaling,7287.526110334935
"Motor vehicle retailing, including parts",4565.698959788486
Fuel retailing,3916.805082259138
Supermarket and grocery stores,5982.961512786729
Specialised food retailing,3964.3404076034085
"Furniture, electrical, and hardware retailing",6138.2621423867295
"Recreational, clothing, footwear, and personal accessory retailing",5718.444360741282
Department stores,4867.09166665508
Pharmaceutical and other store based retailing,5609.021441030587
Non-store and commission based retailing,5184.344564900877
Accommodation,5903.287591208658
Food and beverage services,9039.998020989315
Road transport,7737.842332233375
Rail transport,5254.370959032996
Water transport,4384.705458565737
Air and space transport,6180.112891358384
Other transport,3745.1333434069716
Postal and courier services,4699.779251617764
Transport support services,7451.975370869125
Warehousing and storage services,4384.936801217828
Publishing (except internet and music publishing),3286.647010994461
Motion picture and sound recording activities,5221.544013560839
Broadcasting and internet publishing,5384.475652293555
Telecommunications services,7283.549698169598
"Internet service providers, web search portals and data processing services",4199.361705056181
Library and other information services,2208.87562115028
Banking and financing; financial asset investing,12795.065471308286
Life insurance,5430.202556148233
Health and general insurance,6463.88378441831
Superannuation and individual pension services,8905.610704302548
Auxiliary finance and insurance services,7051.6943747554
Rental and hiring services (except real estate),6044.441927830155
Non-financial asset leasing,4788.1845984492975
Residential property operation,12566.919424666492
Non-residential property operation,12345.25163444527
Real estate services,5955.548891619092
Owner-occupied property operation,26230.25523163177
"Scientific, architectural, and engineering services",11442.3643065581
Legal and accounting services,7501.058599673452
"Advertising, market research, and management services",9131.856055358301
Veterinary and other professional services,2482.2017987999434
Computer system design and related services,10062.974578291176
Travel agency and tour arrangement services,2945.3727362723457
Employment and other administrative services,7577.873191983148
"Building cleaning, pest control, and other support services",5810.062543026893
Local government administration services,4414.361196101718
Central government administration services,9057.33949882854
Defence,3231.9532172246886
"Public order, safety, and regulatory services",7720.664077151115
Preschool education,3007.697892457828
School education,8124.046448207195
Tertiary education,7072.985834012661
"Adult, community, and other education",4739.525172244888
Hospitals,10833.146745275684
Medical and other health care services,9890.955335684423
Residential care services and social assistance,6941.944208011497
Heritage and artistic activities,3829.0847386155883
Sport and recreation services,5621.832597402275
Gambling activities,3927.2744593925654
Repair and maintenance,6170.910420150931
Personal services; domestic household staff,4656.515341246522
"Religious services; civil, professional, and other interest groups",5896.50217571145
