Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6896.106745972445,8.903254027554203
"Sheep, beef cattle, and grain farming",,11564.824999999997,11552.141639699048,12.683360300948506
Dairy cattle farming,AA131,17366.689999999995,17357.761418501337,8.92858149865774
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.4756281072723,2.994371892726782
Forestry and logging,AA211,6804.61,6801.635616041972,2.974383958027706
Fishing and aquaculture,,1918.8949999999995,1917.1229120003243,1.77208799967535
"Agriculture, forestry, and fishing support services",,6337.750000000002,6332.014965128327,5.73503487167487
Coal mining,BB111,632.5200000000001,632.1005785683718,0.41942143162827106
Oil and gas extraction,BB112,3481.37,3478.2064809762414,3.1635190237583286
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.944444504991,1.1055554950090696
Exploration and other mining support services,BB114,651.3449999999999,650.6750023063614,0.6699976936384939
Meat and meat product manufacturing,CC111,15834.334999999994,15815.55569870269,18.779301297304645
Seafood processing,CC121,2153.5800000000004,2151.529755509692,2.0502444903083528
Dairy product manufacturing,CC131,29974.420000000006,29959.9296288598,14.490371140204497
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10283.341103262494,25.2288967375062
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6763.1289088892645,16.38109111073347
Textile and leather manufacturing,CC211,1805.9450000000006,1803.4787204571094,2.4662795428914395
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,512.6801682604627,0.6148317395371552
Wood product manufacturing,CC311,7001.644999999997,6996.040506782898,5.604493217099407
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4212.053313908681,4.7466860913190265
Printing,CC411,1842.3400000000001,1839.0652472185288,3.2747527814712485
Petroleum and coal product manufacturing,CC511,9094.985000000004,9075.917653172499,19.06734682750549
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1929.6365232396433,1.8084767603553074
Fertiliser and pesticide manufacturing,CC522,2035.61,2033.3713964788974,2.2386035211024815
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.3293833885805,3.41561661141912
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4688.712897665043,6.24210233495617
Non-metallic mineral product manufacturing,CC611,4051.14,4046.654955685959,4.4850443140404055
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.559240061837,3.260759938162227
Fabricated metal product manufacturing,CC721,8600.514999999998,8590.121108373229,10.393891626768495
Transport equipment manufacturing,CC811,5355.084999999999,5345.195918007347,9.889081992652494
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5785.115482347245,4.199517652755375
Machinery manufacturing,CC822,5078.985,5076.491026924109,2.493973075890883
Furniture manufacturing,CC911,1661.6199999999997,1656.9920443794072,4.627955620592325
Other manufacturing,CC912,993.9599999999999,991.9650560954716,1.9949439045283268
Electricity generation and on-selling,DD111,15101.414999999997,15057.369446534802,44.045553465194374
Electricity transmission and distribution,DD112,5971.289999999999,5955.489468524513,15.800531475487205
Gas and water supply,,3766.254999999999,3757.39452575611,8.860474243889009
Sewerage and drainage services,DD122,961.3300000000005,960.0790896292244,1.2509103707760436
"Waste collection, treatment, and disposal services",,3028.3149999999996,3023.0713445983824,5.243655401617393
Residential building construction,EE112,25962.185,25953.84948912172,8.335510878283365
Non-residential building construction,EE113,12069.334999999997,12061.54173602802,7.7932639719753745
Heavy and civil engineering construction,EE121,18228.875000000004,18223.535808380595,5.339191619406756
Construction services,EE131,36052.385,36021.09312358837,31.291876411631907
Basic material wholesaling,FF111,8999.605000000003,8983.006855711132,16.59814428887136
Machinery and equipment wholesaling,FF112,9362.3,9344.421553512084,17.878446487916225
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2402.8096677851704,5.535332214829103
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8766.170284243848,20.084715756151606
Other goods and commission based wholesaling,,9132.635,9114.1443675978,18.490632402199907
"Motor vehicle retailing, including parts",,3512.7449999999985,3499.7452805720263,12.999719427972181
Fuel retailing,GH112,975.1350000000001,971.3779563348803,3.7570436651197827
Supermarket and grocery stores,GH121,6052.865000000001,6028.620133022873,24.2448669771276
Specialised food retailing,GH122,1326.5349999999999,1321.2472474645292,5.287752535470679
"Furniture, electrical, and hardware retailing",,6075.455,6051.4471441401965,24.00785585980289
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3906.0388394911997,15.836160508800722
Department stores,GH133,2592.829999999999,2582.0990399951056,10.730960004893808
Pharmaceutical and other store based retailing,GH134,3664.600000000001,3652.0185903014476,12.581409698553449
Non-store and commission based retailing,GH135,1084.3199999999997,1080.5002490766735,3.8197509233262035
Accommodation,GH211,5318.69,5308.067272082833,10.62272791716608
Food and beverage services,GH212,13513.839999999998,13465.853586213923,47.9864137860762
Road transport,II111,11838.414999999999,11818.579684216229,19.835315783770326
Rail transport,II121,838.3399999999999,836.9387477711822,1.4012522288177136
Water transport,II122,870.9699999999999,868.8386960568355,2.13130394316441
Air and space transport,II123,8062.120000000001,8045.702416283709,16.4175837162921
Other transport,II125,1109.4200000000003,1107.080619037376,2.3393809626242716
Postal and courier services,,3030.825,3025.3353759181996,5.48962408180022
Transport support services,II132,8720.994999999999,8709.2167393372,11.778260662799878
Warehousing and storage services,II133,1644.05,1641.281055558396,2.7689444416037596
Publishing (except internet and music publishing),JJ111,1591.34,1587.8644988626454,3.4755011373544265
