Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,769.0135061239871
"Sheep, beef cattle, and grain farming",56.70604120189814
Dairy cattle farming,15.917485249655618
"Poultry, deer, and other livestock farming",259.65397813500726
Forestry and logging,24.871070702586902
Fishing and aquaculture,165.14390946517705
"Agriculture, forestry, and fishing support services",38.79887029603557
Coal mining,6.963899796724333
Oil and gas extraction,6.963899796724333
Metal ore and non-metallic mineral mining and quarrying,50.73698423327728
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2328.9270605902375
Seafood processing,236.77259308862733
Dairy product manufacturing,1769.825391196084
"Fruit, oil, cereal, and other food product manufacturing",3363.563601817853
Beverage and tobacco product manufacturing,2111.0564812355765
Textile and leather manufacturing,152.21095269983184
"Clothing, knitted products, and footwear manufacturing",84.56164038879547
Wood product manufacturing,151.21610987172838
"Pulp, paper, and converted paper product manufacturing",193.99435148017784
Printing,48.74729857707033
Petroleum and coal product manufacturing,1928.0054008645368
Basic chemical and basic polymer manufacturing,115.40176806000323
Fertiliser and pesticide manufacturing,73.61836927965723
"Pharmaceutical, cleaning, and other chemical manufacturing",362.1227894296653
Polymer product and rubber product manufacturing,285.5198916656976
Non-metallic mineral product manufacturing,235.77775026052385
Primary metal and metal product manufacturing,14.922642421552142
Fabricated metal product manufacturing,231.79837894810993
Transport equipment manufacturing,1054.5333977896846
Electronic and electrical equipment manufacturing,377.0454318512175
Machinery manufacturing,180.06655188672917
Furniture manufacturing,562.086197878464
Other manufacturing,250.70039268207597
Electricity generation and on-selling,2599.524309834383
Electricity transmission and distribution,901.3276022617493
Gas and water supply,264.62819227552467
Sewerage and drainage services,12.932956765345189
"Waste collection, treatment, and disposal services",235.77775026052385
Residential building construction,82.57195473258852
Non-residential building construction,15.917485249655618
Heavy and civil engineering construction,16.912328077759096
Construction services,311.38580519638805
Basic material wholesaling,1589.758839309355
Machinery and equipment wholesaling,1687.2534364634955
"Motor vehicle wholesaling, including parts",604.8644394869135
"Grocery, liquor, and tobacco product wholesaling",2041.417483268333
Other goods and commission based wholesaling,1988.6908133788488
"Motor vehicle retailing, including parts",1867.3199883502248
Fuel retailing,543.184184144498
Supermarket and grocery stores,3577.4548098601003
Specialised food retailing,790.9000483422635
"Furniture, electrical, and hardware retailing",3501.846754924236
"Recreational, clothing, footwear, and personal accessory retailing",2317.9837894810994
Department stores,1596.7227391060792
Pharmaceutical and other store based retailing,1763.856334227463
Non-store and commission based retailing,550.1480839412224
Accommodation,1515.1456272015942
Food and beverage services,7222.5589320312365
Road transport,752.1011780462279
Rail transport,87.5461688731059
Water transport,214.88605087035086
Air and space transport,2175.7212650623023
Other transport,187.03045168345352
Postal and courier services,84.56164038879547
Transport support services,408.8804023505287
Warehousing and storage services,29.845284843104285
Publishing (except internet and music publishing),166.1387522932805
Motion picture and sound recording activities,272.58693490035245
Broadcasting and internet publishing,640.6787812986387
Telecommunications services,2769.6424334400776
"Internet service providers, web search portals and data processing services",224.8344791513856
Library and other information services,12.932956765345189
Banking and financing; financial asset investing,2469.1998993528277
Life insurance,1762.8614913993597
Health and general insurance,1707.1502930255651
Superannuation and individual pension services,296.4631627748359
Auxiliary finance and insurance services,225.8293219794891
Rental and hiring services (except real estate),534.2305986915667
Non-financial asset leasing,1.9896856562069523
Residential property operation,11059.667720026344
Non-residential property operation,1.9896856562069523
Real estate services,57.70088403000162
Owner-occupied property operation,31077.895107124492
"Scientific, architectural, and engineering services",172.10780926190137
Legal and accounting services,363.1176322577688
"Advertising, market research, and management services",152.21095269983184
Veterinary and other professional services,466.5812863805303
Computer system design and related services,474.5400290053581
Travel agency and tour arrangement services,341.2310900394923
Employment and other administrative services,416.8391449753565
"Building cleaning, pest control, and other support services",120.37598220052061
Local government administration services,63.66994099862247
Central government administration services,330.2878189303541
Defence,79.58742624827809
"Public order, safety, and regulatory services",416.8391449753565
Preschool education,422.80820194397734
School education,823.7298616696783
Tertiary education,821.7401760134712
"Adult, community, and other education",344.21561852380273
Hospitals,1314.1873759246919
Medical and other health care services,1837.4747035071205
Residential care services and social assistance,3830.144888198383
Heritage and artistic activities,339.2414043832854
Sport and recreation services,1427.5994583284883
Gambling activities,1576.8258825440096
Repair and maintenance,1283.3472482534842
Personal services; domestic household staff,1872.294202490742
"Religious services; civil, professional, and other interest groups",1221.6669929110687
