Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6905.009999999998,6896.009711523153,9.00028847684522,0.42810457516339867,2956.066372549019,2952.2133078742913,3.853064674727856,2.1082178159396694,1.7448468587881865
"Sheep, beef cattle, and grain farming",,11564.824999999995,11552.00340677004,12.821593229953704,0.4252711496746204,4918.186423535789,4912.733769842227,5.452653693562741,0.15442830082733183,5.29822539273541
Dairy cattle farming,AA131,17366.689999999988,17357.66410801396,9.025891986027963,0.5005778676683039,8693.380648656452,8688.862486892282,4.51816176417031,0.05102438074926781,4.467137383421043
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.4429931597924,3.0270068402069974,0.332035595105673,747.5681813125694,746.5631072949923,1.0050740175770732,0.5520917622465915,0.45298225533048164
Forestry and logging,AA211,6804.61,6801.603198938241,3.0068010617582512,0.30035010134512624,2043.7653031140592,2042.8622101104354,0.9030930036237238,0.04783589539381968,0.8552571082299042
Fishing and aquaculture,,1918.8950000000004,1917.1035984344521,1.7914015655483602,0.35635179153094465,683.8016710097722,683.1633018525378,0.6383691572344972,0.3768540184481298,0.26151513878636734
"Agriculture, forestry, and fishing support services",,6337.749999999999,6331.952460346511,5.7975396534891885,0.4612341772151899,2923.1869066455697,2920.5128832136197,2.674023431949523,0.11459672434612801,2.559426707603395
Coal mining,BB111,632.52,632.0960073938869,0.423992606113058,0.41386138613861384,261.77560396039604,261.60012979271755,0.1754741676784735,0.018456063001601394,0.1570181046768721
Oil and gas extraction,BB112,3481.369999999999,3478.1720025343884,3.197997465610806,0.5343401654081266,1860.235821646889,1858.52700315214,1.7088184947492475,0.023828789269447558,1.6849897054798002
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.932395318448,1.1176046815520522,0.5344224037339557,1146.8971995332556,1146.299926552916,0.5972729803393697,0.1736364700286221,0.4236365103107477
Exploration and other mining support services,BB114,651.3449999999999,650.6677001607608,0.6772998392391804,0.3818525519848771,248.71775047258976,248.45912180051732,0.258628672072428,0.0,0.258628672072428
Meat and meat product manufacturing,CC111,15834.334999999994,15815.3510275618,18.98397243819525,0.1862030730239189,2948.401836290194,2944.8669622840007,3.5348740061933337,2.776990370847738,0.7578836353455959
Seafood processing,CC121,2153.58,2151.507410382348,2.072589617652171,0.34279096699478867,738.2277707006369,737.5173057014188,0.710464999218347,0.5197475397184486,0.1907174594998985
Dairy product manufacturing,CC131,29974.419999999995,29959.77170174918,14.648298250811584,0.157542273564373,4722.2382755734125,4719.93054936313,2.3077262102818854,1.7854971971530262,0.5222290131288589
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10283.066139514003,25.503860485995236,0.32566630156991605,3357.153866374589,3348.8481184543602,8.30574792022919,7.014619349910774,1.2911285703184165
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6762.950375271128,16.559624728871444,0.2839689004072566,1925.1699999999998,1920.4675815745857,4.7024184254144386,3.838860011418944,0.8635584139954944
Textile and leather manufacturing,CC211,1805.945,1803.4518410626195,2.493158937380366,0.3102971665514858,560.3796164478231,559.6059962937913,0.7736201540316407,0.30245123118026257,0.4711689228513782
"Clothing, knitted products, and footwear manufacturing",,513.295,512.6734673554823,0.6215326445176745,0.4081145584725537,209.48316229116944,209.2295057703758,0.2536565207936094,0.22099738211244138,0.032659138681167994
Wood product manufacturing,CC311,7001.6449999999995,6995.979424743547,5.665575256452603,0.29581245526127414,2071.1737983178236,2069.4978505907447,1.6759477270787673,0.2864482412503957,1.3894994858283714
"Pulp, paper, and converted paper product manufacturing",,4216.8,4212.001580905284,4.798419094716218,0.19141323792486584,807.1513416815743,806.2328607457342,0.9184809358401348,0.23778951285782196,0.6806914229823128
Printing,CC411,1842.3400000000001,1839.0295564663907,3.3104435336095546,0.44972826086956524,828.5523641304349,827.0635641173577,1.488800013077123,0.14038877208516626,1.3484112409919569
Petroleum and coal product manufacturing,CC511,9094.985000000002,9075.709842691842,19.275157308159336,0.178191856452726,1620.6522615596964,1617.2175854955372,3.4346760641592406,2.2000256343905806,1.23465042976866
Basic chemical and basic polymer manufacturing,CC521,1931.445,1929.616813081318,1.8281869186818753,0.2754374594944913,531.9923039533377,531.4887527929749,0.5035511603627979,0.20354812642253362,0.3000030339402643
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2033.3469984712488,2.2630015287512557,0.2481527093596059,505.14213669950743,504.5805667388629,0.5615699606445542,0.11698679874130273,0.4445831619032515
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.2921573950443,3.452842604954975,0.32685904550499445,737.9643756936736,736.8357828555389,1.1285928381345616,0.7579630030816108,0.3706298350529509
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4688.644866475478,6.310133524524471,0.40855614973262033,1918.1527379679155,1915.574694110837,2.5780438570784474,0.7469985602906399,1.8310452967878075
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4046.6060742541003,4.53392574590049,0.3544891640866873,1436.0852321981426,1434.4780046504475,1.6072275476953746,0.5352262761950373,1.0720012715003373
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.523701814373,3.2962981856251345,0.1661529840291398,743.1723900252169,742.6247002454254,0.5476897797914555,0.015877624268065355,0.5318121555233902
Fabricated metal product manufacturing,CC721,8600.515,8590.007827819074,10.507172180924602,0.3606653049314269,3101.9073650423106,3098.1177925837105,3.789572458600178,0.5353605967350497,3.254211861865128
Transport equipment manufacturing,CC811,5355.084999999997,5345.088139253397,9.99686074660039,0.3175754739059209,1700.6436566814878,1697.4688988923142,3.174757789173117,2.1445636284127296,1.0301941607603875
Electronic and electrical equipment manufacturing,CC821,5789.314999999997,5785.069712802595,4.245287197402677,0.5041161178509532,2918.48700281629,2916.346885115173,2.1401177011169903,1.2171830870086695,0.9229346141083208
Machinery manufacturing,CC822,5078.985,5076.463845704386,2.5211542956141213,0.44090796940537874,2239.3649629903775,2238.2533659693404,1.1115970210368702,0.5084083089575528,0.6031887120793173
Furniture manufacturing,CC911,1661.6199999999988,1656.9416053911896,4.6783946088092,0.40271493212669685,669.1591855203616,667.2751261530129,1.8840593673485018,1.4495469844642634,0.43451238288423827
Other manufacturing,CC912,993.9599999999998,991.9433136760653,2.016686323934508,0.3849056603773585,382.5808301886792,381.80459620739117,0.7762339812879994,0.6179323821910082,0.15830159909699112
Electricity generation and on-selling,DD111,15101.415,15056.889404517466,44.525595482534435,0.26820146276595747,4050.221592835772,4038.279762996831,11.941829838941041,4.464642282120156,7.477187556820886
Electricity transmission and distribution,DD112,5971.289999999998,5955.317262287835,15.97273771216375,0.6158536585365854,3677.440792682926,3667.6039237260447,9.836868956881336,3.5546090267966637,6.282259930084672
Gas and water supply,,3766.2549999999987,3757.29795755351,8.957042446488483,0.414780292942743,1562.1683521970701,1558.453147507215,3.715204689855076,0.7028875755052423,3.0123171143498344
Sewerage and drainage services,DD122,961.3299999999995,960.0654562544411,1.2645437455584105,0.4909090909090909,471.92563636363616,471.3048603430893,0.6207760205468561,0.04065655188403443,0.5801194686628217
"Waste collection, treatment, and disposal services",,3028.3149999999996,3023.0141952446056,5.3008047553942665,0.4132505175983437,1251.452741200828,1249.2621808919737,2.1905603088544425,0.623947240361189,1.5666130684932535
Residential building construction,EE112,25962.185,25953.75864237004,8.426357629959512,0.21897810218978103,5685.150000000001,5683.30481219782,1.845187802180915,0.11578835819490772,1.7293994439860072
Non-residential building construction,EE113,12069.334999999994,12061.45679909649,7.878200903505212,0.14383775351014041,1736.0260327613098,1734.892850041648,1.133182719661748,0.01466151976595958,1.1185211998957885
Heavy and civil engineering construction,EE121,18228.875,18223.477617800294,5.397382199707444,0.33009975920192636,6017.347248022015,6015.565573457571,1.781674564444191,0.035750345634620866,1.74592421880957
Construction services,EE131,36052.38500000001,36020.75208086561,31.632919134391976,0.41023945426701935,14790.110747424476,14777.13367594191,12.977071482565718,0.8180274539320975,12.15904402863362
Basic material wholesaling,FF111,8999.605000000001,8982.825956481998,16.779043518004034,0.3844652070840887,3460.0350000000008,3453.5840415591783,6.450958440822357,3.9139920085716526,2.5369664322507046
Machinery and equipment wholesaling,FF112,9362.300000000001,9344.22670057362,18.07329942638158,0.560219957081545,5244.9473041845495,5234.82228115558,10.1250230289694,6.052998131582023,4.072024897387378
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2402.74933951514,5.595660484859644,0.5709812108559499,1375.1197442588723,1371.9247272596883,3.195016999183951,2.211625112164369,0.983391887019582
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8765.95138570107,20.303614298930132,0.37330478229835834,3279.951009992862,3272.37157367713,7.579436315731948,4.880080949638293,2.6993553660936556
Other goods and commission based wholesaling,,9132.635000000002,9113.942842590579,18.69215740942266,0.5365485023358065,4900.101631629569,4890.072382566118,10.029249063450877,6.832944561041394,3.196304502409483
