Description,NZSIOC,Original Output,Shocked Output,Output Loss
Residential property operation,LL121,16626.24,16562.75180254675,63.488197453250365
Non-residential property operation,LL122,18007.995,17975.438724437,32.55627556299689
Real estate services,LL123,6366.614999999997,6361.33857226188,5.276427738117609
Owner-occupied property operation,,39204.945,39026.82217280472,178.12282719527653
"Scientific, architectural, and engineering services",,16225.895000000004,16212.134042655693,13.760957344310736
Legal and accounting services,MN112,9398.695,9384.599852461915,14.095147538084127
"Advertising, market research, and management services",,13705.855000000003,13683.464525059724,22.39047494027967
Veterinary and other professional services,MN114,1511.02,1507.3749381854032,3.6450618145967733
Computer system design and related services,MN115,13906.654999999999,13893.22447338248,13.430526617520208
Travel agency and tour arrangement services,MN211,1645.3049999999996,1642.0155996006927,3.289400399306795
Employment and other administrative services,MN212,9071.139999999998,9055.91116652702,15.228833472979662
"Building cleaning, pest control, and other support services",,5258.449999999998,5250.29980701797,8.150192982028196
Local government administration services,,3204.015000000001,3203.476013648127,0.538986351873882
Central government administration services,,12778.410000000002,12775.597611132645,2.8123888673563395
Defence,OO212,3074.750000000001,3074.2300050777485,0.5199949222525652
"Public order, safety, and regulatory services",,9968.465,9962.350468565794,6.114531434206446
Preschool education,PP111,2290.374999999999,2287.651370542537,2.7236294574624194
School education,PP112,10777.940000000004,10772.805602047261,5.134397952743129
Tertiary education,PP113,8640.675000000001,8634.848240754782,5.826759245219345
"Adult, community, and other education",,2320.495,2317.382194065535,3.112805934465492
Hospitals,QQ111,16128.005000000001,16120.113900491768,7.8910995082331095
Medical and other health care services,QQ112,14462.619999999994,14449.745654389179,12.87434561081488
Residential care services and social assistance,QQ113,8290.529999999999,8266.292954225668,24.237045774330557
Heritage and artistic activities,RS111,2154.835,2152.124791460013,2.7102085399868803
Sport and recreation services,,4787.825000000002,4777.816640893903,10.00835910609825
Gambling activities,RS113,2444.7400000000002,2435.3823648012435,9.357635198757068
Repair and maintenance,RS211,6128.164999999999,6116.649311705994,11.51568829400578
Personal services; domestic household staff,,4057.4149999999995,4044.9298175773183,12.485182422681358
"Religious services; civil, professional, and other interest groups",,3748.685000000001,3739.0265187066198,9.658481293380992
