Description,NZSIOC,Direct Loss,Indirect Loss,Loss
Horticulture and fruit growing,AA111,11.129458602897103,18.8712314112654,30.0006900141625
"Sheep, beef cattle, and grain farming",,15.504739050002627,19.30734092481407,34.8120799748167
Dairy cattle farming,AA131,28.26608911060339,16.966580018505738,45.23266912910913
"Poultry, deer, and other livestock farming",,2.2957802487159142,21.33088804547549,23.626668294191404
Forestry and logging,AA211,7.958206616019652,25.803144665268974,33.761351281288626
Fishing and aquaculture,,4.593589033275862,18.568062004469425,23.161651037745287
"Agriculture, forestry, and fishing support services",,10.917748772292725,17.895382730863275,28.813131503156
Coal mining,BB111,0.2801945652360871,20.61970148935714,20.899896054593228
Oil and gas extraction,BB112,4.885479452054824,15.491746645697276,20.3772260977521
Metal ore and non-metallic mineral mining and quarrying,BB113,2.4812219124379453,15.968279203077486,18.44950111551543
Exploration and other mining support services,BB114,0.5688635428302575,22.457325179275614,23.02618872210587
Meat and meat product manufacturing,CC111,11.45701999985522,28.550346442775663,40.00736644263088
Seafood processing,CC121,3.694271452185717,18.878882639906692,22.57315409209241
Dairy product manufacturing,CC131,12.568871353198574,35.88491942834435,48.45379078154292
"Fruit, oil, cereal, and other food product manufacturing",,13.249097094711942,23.122351401259948,36.37144849597189
Beverage and tobacco product manufacturing,CC151,6.656333057198708,23.998992619325918,30.655325676524626
Textile and leather manufacturing,CC211,2.482391532413658,23.010256101894356,25.492647634308014
"Clothing, knitted products, and footwear manufacturing",,0.9116651869237842,15.651138773488782,16.562803960412566
Wood product manufacturing,CC311,8.393228816724104,24.344220150032243,32.73744896675635
"Pulp, paper, and converted paper product manufacturing",,3.1954027228315454,28.852056193154226,32.04745891598577
Printing,CC411,3.3750001076748504,17.30294838693885,20.6779484946137
Petroleum and coal product manufacturing,CC511,8.344783610134527,19.708961698709118,28.053745308843645
Basic chemical and basic polymer manufacturing,CC521,1.7673689002125457,19.4439789047525,21.211347804965044
Fertiliser and pesticide manufacturing,CC522,2.076584871056639,21.11081219216385,23.187397063220487
"Pharmaceutical, cleaning, and other chemical manufacturing",,3.4993059131642212,21.10511368266691,24.604419595831132
Polymer product and rubber product manufacturing,CC531,7.384902306859658,16.344950972844345,23.729853279704002
Non-metallic mineral product manufacturing,CC611,5.468829267339743,21.656699672159675,27.125528939499418
Primary metal and metal product manufacturing,CC711,5.115398264599776,28.27168975302027,33.387088017620044
Fabricated metal product manufacturing,CC721,13.797484119385445,22.110263755678716,35.90774787506416
Transport equipment manufacturing,CC811,7.443463154487517,11.351305366554925,18.794768521042442
Electronic and electrical equipment manufacturing,CC821,11.960314291897703,13.55484035666177,25.515154648559474
Machinery manufacturing,CC822,9.346839059207468,17.49669581315402,26.843534872361488
Furniture manufacturing,CC911,2.7164929977077463,19.16210567211988,21.878598669827625
Other manufacturing,CC912,1.8036569564700926,18.43047985909476,20.234136815564852
Electricity generation and on-selling,DD111,15.940225160904902,29.19787636862702,45.13810152953192
Electricity transmission and distribution,DD112,13.722018745494097,17.335058715279047,31.057077460773144
Gas and water supply,,5.949106347639145,17.22874817537081,23.177854523009955
Sewerage and drainage services,DD122,1.8320857301723663,17.34086196863882,19.172947698811186
"Waste collection, treatment, and disposal services",,5.006634325440132,17.501694405103194,22.508328730543326
Residential building construction,EE112,23.793924088569838,49.76689078895106,73.5608148775209
Non-residential building construction,EE113,7.141966348805454,55.102345895265444,62.2443122440709
Heavy and civil engineering construction,EE121,24.796957817616203,36.45259253804943,61.24955035566563
Construction services,EE131,61.81426554162863,27.51548842785087,89.3297539694795
Basic material wholesaling,FF111,14.587836918056837,22.270271545482956,36.85810846353979
Machinery and equipment wholesaling,FF112,20.568557857305677,16.567992585491993,37.13655044279767
"Motor vehicle wholesaling, including parts",,5.493811767411444,15.515269394967163,21.009081162378607
"Grocery, liquor, and tobacco product wholesaling",,14.040008168803524,25.15505219058241,39.195060359385934
Other goods and commission based wholesaling,,18.7331870173457,16.985734257781587,35.718921275127286
