Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6147.697854181277,16.579459811547167
"Sheep, beef cattle, and grain farming",,7984.108416380915,7962.700886238642,21.407530142272662
Dairy cattle farming,AA131,10395.10504895253,10368.581750839408,26.5232981131212
"Poultry, deer, and other livestock farming",,4968.636997335923,4955.278571329551,13.35842600637261
Forestry and logging,AA211,6758.945241876287,6740.8329372297085,18.112304646578195
Fishing and aquaculture,,4162.947025158909,4152.835617187543,10.111407971366134
"Agriculture, forestry, and fishing support services",,5908.587505082643,5892.451844696883,16.135660385759365
Coal mining,BB111,4248.744564981245,4237.6404419243045,11.104123056940807
Oil and gas extraction,BB112,4506.667410980047,4494.446871149458,12.220539830588677
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4044.0158197754145,9.889493142242827
Exploration and other mining support services,BB114,4620.08736386429,4607.80762126845,12.279742595839707
Meat and meat product manufacturing,CC111,8596.119406828715,8573.836183101817,22.28322372689763
Seafood processing,CC121,4262.365639606111,4252.314729516839,10.050910089271383
Dairy product manufacturing,CC131,11851.736574976458,11822.284269573072,29.452305403385253
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7374.1265420276995,19.768708098424213
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6360.695851238337,16.792178363496532
Textile and leather manufacturing,CC211,5301.244798680549,5286.9743164136635,14.270482266885665
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3330.338091721806,8.98121016874802
Wood product manufacturing,CC311,6497.340506474585,6480.550488793517,16.790017681068093
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6374.651660472315,17.663345338778527
Printing,CC411,4104.283253074512,4092.846658526208,11.436594548303674
Petroleum and coal product manufacturing,CC511,5177.256549031539,5163.741801332131,13.514747699407963
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4454.928229775815,12.252479784975549
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4607.008809030699,12.490485294311839
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4891.661764766762,13.217246697126939
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4809.809022606307,13.629563950681586
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5443.239055880324,14.577806422945287
Primary metal and metal product manufacturing,CC711,6215.36910062153,6198.474825688401,16.894274933129054
Fabricated metal product manufacturing,CC721,6768.951426025005,6749.9893150575535,18.962110967451736
Transport equipment manufacturing,CC811,3591.6965990462204,3582.153384436566,9.54321460965457
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,5005.5093959694295,13.368309734090872
Machinery manufacturing,CC822,5178.288168930157,5164.249113965179,14.039054964977367
Furniture manufacturing,CC911,4321.171812279279,4309.661843102509,11.509969176770028
Other manufacturing,CC912,3968.930709517216,3958.030441785517,10.900267731699387
Electricity generation and on-selling,DD111,9146.630553870371,9120.504018138023,26.126535732348202
Electricity transmission and distribution,DD112,6371.453640964036,6355.57053087769,15.883110086346278
Gas and water supply,,4765.451961286213,4751.973281581161,13.478679705051945
Sewerage and drainage services,DD122,3859.841216371368,3849.1878280767664,10.653388294601427
"Waste collection, treatment, and disposal services",,4444.292161099032,4432.50393980803,11.788221291001719
Residential building construction,EE112,14120.621172656422,14082.041370159632,38.57980249678985
Non-residential building construction,EE113,12003.492711963103,11970.868194040326,32.62451792277716
Heavy and civil engineering construction,EE121,11869.340361403289,11837.97347778713,31.366883616157793
Construction services,EE131,17150.003441984456,17102.722696261146,47.28074572331025
Basic material wholesaling,FF111,7216.186929664125,7196.985500283659,19.201429380465925
Machinery and equipment wholesaling,FF112,7505.328874097304,7484.850934688573,20.47793940873089
"Motor vehicle wholesaling, including parts",,4191.536695977095,4180.121945706159,11.414750270936565
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7668.313578739584,20.05197339444021
Other goods and commission based wholesaling,,7307.3703141783735,7287.526110334935,19.844203843438663
"Motor vehicle retailing, including parts",,4578.207995881194,4565.698959788486,12.509036092707902
Fuel retailing,GH112,3927.3612879152206,3916.805082259138,10.556205656082511
Supermarket and grocery stores,GH121,5999.37751014531,5982.961512786729,16.41599735858108
Specialised food retailing,GH122,3975.1323981283604,3964.3404076034085,10.79199052495187
"Furniture, electrical, and hardware retailing",,6154.958785869658,6138.2621423867295,16.696643482928266
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5718.444360741282,15.465016001488948
Department stores,GH133,4880.405366772416,4867.09166665508,13.31370011733543
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5609.021441030587,15.469022477283943
Non-store and commission based retailing,GH135,5198.519134694494,5184.344564900877,14.174569793616683
Accommodation,GH211,5918.1193569413435,5903.287591208658,14.831765732685199
Food and beverage services,GH212,9064.459755746795,9039.998020989315,24.46173475748037
Road transport,II111,7758.779228168099,7737.842332233375,20.936895934723907
Rail transport,II121,5268.496368348418,5254.370959032996,14.125409315422075
Water transport,II122,4396.242067661012,4384.705458565737,11.536609095274798
Air and space transport,II123,6196.046711047718,6180.112891358384,15.933819689334086
