Description,NZSIOC,Direct Loss,Indirect Loss,Loss
Auxiliary finance and insurance services,KK131,15.921038073096952,14.341585114149439,30.26262318724639
Rental and hiring services (except real estate),LL111,13.557682272277361,13.571981081641297,27.12966335391866
Non-financial asset leasing,LL112,2.338109067339019,19.41859503155888,21.7567040988979
Residential property operation,LL121,45.314115997756744,11.541225040082281,56.855341037839025
Non-residential property operation,LL122,34.934879936714424,20.70314339690958,55.638023333624005
Real estate services,LL123,10.092147333507,16.67862067948363,26.77076801299063
Owner-occupied property operation,,0.0,10.767252503414056,10.767252503414056
"Scientific, architectural, and engineering services",,38.02040966930326,18.130506263107236,56.1509159324105
Legal and accounting services,MN112,24.457990572292147,9.462488214400764,33.92047878669291
"Advertising, market research, and management services",,24.441902419533108,15.794883785428283,40.23678620496139
Veterinary and other professional services,MN114,3.698941873060221,7.226933624154526,10.925875497214747
Computer system design and related services,MN115,32.938179050987856,12.036219754797457,44.97439880578531
Travel agency and tour arrangement services,MN211,2.660389241024177,10.140427902114197,12.800817143138374
Employment and other administrative services,MN212,16.428209989013794,19.267218381954535,35.69542837096833
"Building cleaning, pest control, and other support services",,10.360050446407513,16.649397669662903,27.009448116070416
Local government administration services,,7.054223082300496,12.44235675932282,19.496579841623316
Central government administration services,,21.731740095187888,17.777427597989117,39.509167693177005
Defence,OO212,5.822145866762867,7.434690606864251,13.256836473627118
"Public order, safety, and regulatory services",,22.693979839080384,11.687011474892643,34.38099131397303
Preschool education,PP111,6.134083282566962,7.565630348535933,13.699713631102895
School education,PP112,30.479945158244846,6.545065006787809,37.025010165032654
Tertiary education,PP113,21.756162841536934,9.804739772158428,31.56090261369536
"Adult, community, and other education",,4.468321288574998,16.756386791327486,21.224708079902484
Hospitals,QQ111,44.31775854776788,8.556595216363348,52.87435376413123
Medical and other health care services,QQ112,31.02583297440833,16.525198918587193,47.551031892995525
Residential care services and social assistance,QQ113,20.28114932225617,12.553092968720193,32.83424229097636
Heritage and artistic activities,RS111,3.9440977099812926,12.807329562175596,16.75142727215689
Sport and recreation services,,6.667314497004554,18.477721560266218,25.145036057270772
Gambling activities,RS113,5.410107999438878,12.06474286098819,17.47485086042707
Repair and maintenance,RS211,11.89265651769756,16.0309633491338,27.92361986683136
Personal services; domestic household staff,,9.457857825039355,11.176820185572069,20.634678010611424
"Religious services; civil, professional, and other interest groups",,5.638182903430106,21.137649844966973,26.77583274839708
