Description,NZSIOC,Original Output,Shocked Output,Output Loss
Non-financial asset leasing,LL112,4916.526705428321,4912.95054913983,3.5761562884913927
Residential property operation,LL121,15508.231026909729,15502.875391445523,5.355635464207352
Non-residential property operation,LL122,15096.20014493578,15089.926248961165,6.273895974613187
Real estate services,LL123,7149.572563982397,7145.409512366021,4.163051616376369
Owner-occupied property operation,,32675.563340477293,32672.7977061365,2.765634340793003
"Scientific, architectural, and engineering services",,13967.412897843402,13957.004790505878,10.408107337523077
Legal and accounting services,MN112,9239.155145046794,9232.742938083766,6.412206963028111
"Advertising, market research, and management services",,10988.154574930606,10977.374861248869,10.77971368173653
Veterinary and other professional services,MN114,2856.3202857412543,2853.61598920155,2.7042965397046235
Computer system design and related services,MN115,12344.376579642196,12337.276736727526,7.0998429146692335
Travel agency and tour arrangement services,MN211,3363.1338455113323,3360.7386381393057,2.395207372026391
Employment and other administrative services,MN212,8952.884670981339,8940.670978793281,12.213692188057074
"Building cleaning, pest control, and other support services",,6688.309351795583,6679.99101963508,8.318332160502695
Local government administration services,,5239.61478796908,5233.162667725101,6.452120243978711
Central government administration services,,10914.33829392454,10902.482863545585,11.855430378954651
Defence,OO212,3570.4123896038145,3565.9724494757165,4.439940128097887
"Public order, safety, and regulatory services",,9368.672906959197,9359.670199880842,9.002707078355002
Preschool education,PP111,3571.061618713864,3565.65030877794,5.411309935923836
School education,PP112,10025.021002306901,10011.9093570477,13.111645259201332
Tertiary education,PP113,8585.64458275907,8578.600672179786,7.043910579285439
"Adult, community, and other education",,5449.459797617487,5444.162270721382,5.297526896104541
Hospitals,QQ111,13281.433024046568,13269.642021115149,11.791002931418133
Medical and other health care services,QQ112,11899.611747397352,11886.24250085823,13.36924653912234
Residential care services and social assistance,QQ113,8390.34326052123,8376.936638292404,13.406622228825675
Heritage and artistic activities,RS111,4410.2919016466985,4406.506986248654,3.7849153980439265
Sport and recreation services,,6137.507373013655,6130.143425392843,7.36394762081189
Gambling activities,RS113,4585.328564651014,4582.141331263349,3.187233387665544
Repair and maintenance,RS211,6971.24761876123,6959.392815012776,11.8548037484543
Personal services; domestic household staff,,5527.694210900675,5523.242731644152,4.45147925652388
"Religious services; civil, professional, and other interest groups",,6768.697372407326,6761.016956715956,7.68041569136948
