Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6134.2766239786615,30.0006900141625
"Sheep, beef cattle, and grain farming",,7984.108416380915,7949.296336406098,34.8120799748167
Dairy cattle farming,AA131,10395.10504895253,10349.87237982342,45.23266912910913
"Poultry, deer, and other livestock farming",,4968.636997335923,4945.010329041732,23.626668294191404
Forestry and logging,AA211,6758.945241876287,6725.183890594998,33.761351281288626
Fishing and aquaculture,,4162.947025158909,4139.785374121164,23.161651037745287
"Agriculture, forestry, and fishing support services",,5908.587505082643,5879.774373579487,28.813131503156
Coal mining,BB111,4248.744564981245,4227.844668926652,20.899896054593228
Oil and gas extraction,BB112,4506.667410980047,4486.290184882295,20.3772260977521
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4035.455811802142,18.44950111551543
Exploration and other mining support services,BB114,4620.08736386429,4597.061175142184,23.02618872210587
Meat and meat product manufacturing,CC111,8596.119406828715,8556.112040386084,40.00736644263088
Seafood processing,CC121,4262.365639606111,4239.792485514018,22.57315409209241
Dairy product manufacturing,CC131,11851.736574976458,11803.282784194915,48.45379078154292
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7357.523801630152,36.37144849597189
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6346.832703925309,30.655325676524626
Textile and leather manufacturing,CC211,5301.244798680549,5275.752151046241,25.492647634308014
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3322.7564979301414,16.562803960412566
Wood product manufacturing,CC311,6497.340506474585,6464.603057507828,32.73744896675635
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6360.267546895107,32.04745891598577
Printing,CC411,4104.283253074512,4083.605304579898,20.6779484946137
Petroleum and coal product manufacturing,CC511,5177.256549031539,5149.2028037226955,28.053745308843645
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4445.969361755826,21.211347804965044
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4596.31189726179,23.187397063220487
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4880.2745918680575,24.604419595831132
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4799.708733277284,23.729853279704002
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5430.691333363769,27.125528939499418
Primary metal and metal product manufacturing,CC711,6215.36910062153,6181.98201260391,33.387088017620044
Fabricated metal product manufacturing,CC721,6768.951426025005,6733.043678149941,35.90774787506416
Transport equipment manufacturing,CC811,3591.6965990462204,3572.901830525178,18.794768521042442
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,4993.362551054961,25.515154648559474
Machinery manufacturing,CC822,5178.288168930157,5151.444634057795,26.843534872361488
Furniture manufacturing,CC911,4321.171812279279,4299.293213609451,21.878598669827625
Other manufacturing,CC912,3968.930709517216,3948.6965727016513,20.234136815564852
Electricity generation and on-selling,DD111,9146.630553870371,9101.492452340839,45.13810152953192
Electricity transmission and distribution,DD112,6371.453640964036,6340.396563503263,31.057077460773144
Gas and water supply,,4765.451961286213,4742.274106763203,23.177854523009955
Sewerage and drainage services,DD122,3859.841216371368,3840.6682686725567,19.172947698811186
"Waste collection, treatment, and disposal services",,4444.292161099032,4421.783832368488,22.508328730543326
Residential building construction,EE112,14120.621172656422,14047.0603577789,73.5608148775209
Non-residential building construction,EE113,12003.492711963103,11941.248399719032,62.2443122440709
Heavy and civil engineering construction,EE121,11869.340361403289,11808.090811047623,61.24955035566563
Construction services,EE131,17150.003441984456,17060.673688014977,89.3297539694795
Basic material wholesaling,FF111,7216.186929664125,7179.3288212005855,36.85810846353979
Machinery and equipment wholesaling,FF112,7505.328874097304,7468.192323654506,37.13655044279767
"Motor vehicle wholesaling, including parts",,4191.536695977095,4170.527614814717,21.009081162378607
"Grocery, liquor, and tobacco product wholesaling",,7688.365552134024,7649.170491774638,39.195060359385934
Other goods and commission based wholesaling,,7307.3703141783735,7271.651392903246,35.718921275127286
"Motor vehicle retailing, including parts",,4578.207995881194,4554.653970512406,23.554025368787734
Fuel retailing,GH112,3927.3612879152206,3907.8674050493933,19.493882865827345
Supermarket and grocery stores,GH121,5999.37751014531,5968.017662378625,31.35984776668556
Specialised food retailing,GH122,3975.1323981283604,3955.30899717355,19.823400954810495
"Furniture, electrical, and hardware retailing",,6154.958785869658,6123.109752507738,31.849033361919282
"Recreational, clothing, footwear, and personal accessory retailing",,5733.909376742771,5704.7686986437,29.14067809907101
Department stores,GH133,4880.405366772416,4855.913253800176,24.492112972239738
Pharmaceutical and other store based retailing,GH134,5624.490463507871,5596.240473365754,28.249990142116985
Non-store and commission based retailing,GH135,5198.519134694494,5173.044610372549,25.474524321944955
