Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,5580.914989481383,5566.3043286364045,14.610660844978156,8.347928432915335,6.262732412062821
"Sheep, beef cattle, and grain farming",,7307.385555263903,7297.311739775239,10.073815488663968,4.598633824080028,5.47518166458394
Dairy cattle farming,AA131,9814.971126635333,9805.229181987608,9.741944647725177,4.879550621784619,4.862394025940557
"Poultry, deer, and other livestock farming",,3896.1622537709045,3889.0563970376634,7.105856733241126,1.3659975163748577,5.739859216866268
Forestry and logging,AA211,6154.6287211576655,6144.767715961772,9.861005195893085,1.31259529501518,8.548409900877905
Fishing and aquaculture,,3259.91292930717,3253.509221598855,6.403707708314869,1.5264953991116132,4.877212309203255
"Agriculture, forestry, and fishing support services",,5329.339471312984,5315.29746901758,14.042002295404018,7.853075128782094,6.188927166621924
Coal mining,BB111,3379.539619511923,3373.483222195277,6.056397316645871,0.1841551643835616,5.872242152262309
Oil and gas extraction,BB112,3934.4141298404675,3929.4749512917324,4.939178548735072,0.5562110219178082,4.382967526817263
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3477.3050185173306,6.629426109904671,1.9844019493150686,4.645024160589602
Exploration and other mining support services,BB114,3863.9163064274953,3856.5218867246276,7.394419702867708,0.6682647575342465,6.7261549453334615
Meat and meat product manufacturing,CC111,7807.872340276065,7793.115223954073,14.757116321991816,6.3927389574572135,8.364377364534603
Seafood processing,CC121,3441.895111583539,3435.73365436071,6.161457222829085,0.9571812064547677,5.204276016374318
Dairy product manufacturing,CC131,11050.306045790578,11039.563682243388,10.742363547189598,2.477647582591687,8.264715964597912
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6291.601587162691,13.983804162713568,7.3432034062591685,6.6406007564544
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5193.666954530037,8.777897776796635,1.698820795012225,7.079076981784411
Textile and leather manufacturing,CC211,4361.402196637127,4353.6431776301,7.759019007027746,1.567574723173514,6.191444283854231
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2256.2939935692675,4.2091937390650855,0.700369892135961,3.5088238469291246
Wood product manufacturing,CC311,5712.920351400422,5701.9795181757345,10.940833224687594,3.638670191439689,7.302163033247906
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5157.609588054942,9.119888306620851,1.077563438574947,8.042324868045904
Printing,CC411,3396.50995615045,3390.625059526308,5.884896624141675,1.21417753525863,4.670719088883045
Petroleum and coal product manufacturing,CC511,2507.770600976977,2505.582540002837,2.1880609741401713,0.13729807460175905,2.0507628995384124
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3614.6143398232443,4.721859755249625,0.46215457199999954,4.2597051832496255
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3121.042334980578,5.199590862044261,0.3763085039999996,4.823282358044261
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3650.4580832351503,7.284607187879374,2.0786091479999973,5.205998039879376
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3806.075985762408,7.26399818340542,3.447653219999996,3.816344963405424
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4494.144817777443,8.205093143659724,2.2869704729894096,5.918122670670314
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4080.259935463263,6.062745955319315,1.1426544013995525,4.920091553919763
Fabricated metal product manufacturing,CC721,5602.072300984654,5591.195348783598,10.876952201056156,5.633150303430847,5.243801897625309
