Description,NZSIOC,Original Output,Shocked Output,Loss
Non-financial asset leasing,LL112,4801.268180182722,4793.3365626035265,7.9316175791955175
Residential property operation,LL121,12602.423571832418,12581.040579822613,21.382992009805093
Non-residential property operation,LL122,12379.974769893768,12359.027400214862,20.947369678906398
Real estate services,LL123,5971.361403381427,5961.879617280782,9.481786100644968
Owner-occupied property operation,,26236.89849603482,26232.943607690628,3.954888344193023
"Scientific, architectural, and engineering services",,11472.922034055773,11454.58129983279,18.340734222983883
Legal and accounting services,MN112,7521.192159061272,7509.065587945863,12.126571115409206
"Advertising, market research, and management services",,9157.285061763778,9141.852415483901,15.43264627987628
Veterinary and other professional services,MN114,2488.8549383048066,2484.884071782381,3.9708665224256947
Computer system design and related services,MN115,10089.41237863674,10073.292426840726,16.119951796013993
Travel agency and tour arrangement services,MN211,2952.891617698783,2948.345636351345,4.545981347438101
Employment and other administrative services,MN212,7598.682325089658,7585.991438686954,12.690886402703654
"Building cleaning, pest control, and other support services",,5826.035938315717,5816.577341318734,9.458596996983033
Local government administration services,,4426.281653924045,4419.074444483174,7.207209440870429
Central government administration services,,9082.643050952303,9067.2068480328,15.436202919503557
Defence,OO212,3241.4309087336133,3235.299979842548,6.130928891065196
"Public order, safety, and regulatory services",,7741.2755998999655,7728.434136548922,12.841463351043785
Preschool education,PP111,3016.133659657665,3011.1529112652856,4.980748392379155
School education,PP112,8146.9040404141415,8133.306463355049,13.597577059092146
Tertiary education,PP113,7091.189611902046,7079.791921425093,11.397690476952448
"Adult, community, and other education",,4752.467619551142,4744.613884694489,7.853734856653318
Hospitals,QQ111,10864.045729259346,10845.794104664908,18.25162459443709
Medical and other health care services,QQ112,9919.601887961493,9902.49808771328,17.103800248212792
Residential care services and social assistance,QQ113,6960.964089980651,6949.314087459707,11.650002520944327
Heritage and artistic activities,RS111,3839.1921557544388,3833.0894773491973,6.102678405241477
Sport and recreation services,,5636.941133232668,5627.930700650402,9.010432582265821
Gambling activities,RS113,3938.010875088333,3931.4902530440395,6.5206220442933045
Repair and maintenance,RS211,6187.660047352376,6177.593316008,10.066731344375512
Personal services; domestic household staff,,4669.012328127027,4661.550534901164,7.461793225863403
"Religious services; civil, professional, and other interest groups",,5912.533621590067,5902.929876602241,9.603744987825849
