Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss
Life insurance,KK121,1855.161371577605,1853.2615945629539,1.8997770146512298,0.2726321297749869,505.7765958094883,505.2586555558864,0.5179402536019313,0.09353314543108615,0.4244071081708452,0.2722441310819397
Health and general insurance,KK122,6953.799862370223,6947.481075693457,6.318786676766612,0.4395017793594306,3056.2074128210766,3053.4302948332447,2.7771179878315895,1.441935734261583,1.3351822535700062,2.0268674591330296
Superannuation and individual pension services,,390.6150126849318,390.02226858566974,0.5927440992620452,0.05486284289276808,21.430250072490022,21.397730446096592,0.03251962639342891,0.00020416522957324891,0.03231546116385566,0.002965239299487792
Auxiliary finance and insurance services,KK131,7517.303443081259,7507.471501907689,9.831941173568952,0.5586115605236064,4199.252607269101,4193.760371267157,5.49223600194365,3.403321340373004,2.088914661570646,4.106441351851536
Rental and hiring services (except real estate),LL111,5674.731389069222,5665.774147474901,8.957241594321061,0.5829338446788112,3307.9929861496526,3302.771506869358,5.221479280294541,2.255451017321247,2.966028262973294,2.8919118911398076
Non-financial asset leasing,LL112,1330.996830273044,1329.277143865691,1.719686407353107,0.38392857142857145,511.00771162268654,510.34747487700633,0.6602367456802108,0.1763454790059102,0.4838912666743006,0.33763969025824697
Residential property operation,LL121,15627.200324904052,15610.529332646802,16.670992257249345,0.7602657004830918,11880.824401602778,11868.150017996575,12.674383606205872,1.9762731148657966,10.698110491340076,2.071252671919414
Non-residential property operation,LL122,16599.39014558746,16575.750718282565,23.63942730489185,0.5410018811398314,8980.301294536795,8967.512319895779,12.788974641014786,1.68398639083126,11.104988250183524,2.071252671919414
Real estate services,LL123,5915.4855599191205,5907.343418326763,8.14214159235743,0.4446414499605989,2630.270076583423,2626.6497429400124,3.620333643410307,2.089698111433474,1.530635531976833,2.3789841633362117
Owner-occupied property operation,,36859.79308623835,36838.620084002156,21.173002236193206,0.7614840423829188,28068.14424070674,28052.021337374543,16.12290333219898,0.0,16.12290333219898,0.0
