Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
Petroleum and coal product manufacturing,CC511,3147.252104226105,3140.1203763093495,7.1317279167556595,0.178191856452726,560.814695176798,559.5438793395955,1.2708158372024232,0.08742493049805403,1.183390906704369,0.48132561033084253,0.7894902268715807
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4527.191958701144,15.074971769864726,0.2754374594944913,1251.110463674776,1246.9582517485333,4.152211926242715,0.37985090700400587,3.7723610192387094,1.3519753972602726,2.8002365289824422
Fertiliser and pesticide manufacturing,CC522,3923.433616932489,3906.464276745695,16.969340186793957,0.2481527093596059,973.6106820343551,969.3996942909575,4.210987743397761,0.41024777813374974,3.8007399652640115,1.3401440136986285,2.870843729699133
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.4670764809025,4567.242967897043,23.224108583859525,0.32685904550499445,1500.4356870406502,1492.8446770762255,7.591009964424673,2.1221987042122104,5.468811260212462,6.324567342465745,1.2664426219589284
Polymer product and rubber product manufacturing,CC531,4785.741679851996,4763.138637934655,22.603041917340896,0.40855614973262033,1955.244194335254,1946.0095825572603,9.23461177799382,4.34120994505032,4.8934018329435,10.282644794520534,-1.0480330165267144
Non-metallic mineral product manufacturing,CC611,5650.449138205982,5624.00510273313,26.44403547285171,0.3544891640866873,2003.022991716981,1993.6488676871313,9.374124029849908,2.728251862104325,6.645872167745584,7.241729765934144,2.1323942639157636
Primary metal and metal product manufacturing,CC711,5128.334965180321,5107.46302409012,20.871941090201602,0.1661529840291398,852.088157565685,848.6202222710677,3.467935294617414,0.8605504204423597,2.6073848741750543,4.959102208724927,-1.491166914107513
Fabricated metal product manufacturing,CC721,7030.60073773574,6994.710187069431,35.89055066630948,0.3606653049314269,2535.693758926576,2522.7492825263544,12.944476400221335,7.734076573122516,5.210399827098819,18.748240121670925,-5.80376372144959
Transport equipment manufacturing,CC811,2884.8653874072747,2868.9946959768495,15.87069143042521,0.3175754739059209,916.1624925606533,911.1223502084214,5.040142352231923,3.371764762505932,1.6683775897259912,10.240807176290783,-5.20066482405886
Electronic and electrical equipment manufacturing,CC821,5335.657676389415,5312.137786451329,23.51988993808659,0.5041161178509532,2689.7910340030703,2677.9342783952,11.856755607869907,6.732583539387267,5.12417206848264,12.756663282802517,-0.89990767493261
Machinery manufacturing,CC822,5176.439201239787,5147.71084211248,28.728359127306273,0.44090796940537874,2282.3332969690346,2269.6667344818657,12.666562487169088,6.88273486081594,5.783827626353148,15.28732385294784,-2.620761365778751
Furniture manufacturing,CC911,4193.555117320298,4173.0583259725245,20.496791347773698,0.40271493212669685,1688.8072644412064,1680.5529005047724,8.254363936433752,1.9543599692063314,6.300003967227421,4.802965195660693,3.451398740773058
