Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,5580.914989481383,5571.970996294569,8.943993186813714,3.661776036924948,5.282217149888766
"Sheep, beef cattle, and grain farming",,7307.385555263903,7295.697617562004,11.6879377018995,6.205954332552665,5.481983369346835
Dairy cattle farming,AA131,9814.971126635333,9800.12515233818,14.845974297153589,10.1386091252798,4.707365171873789
"Poultry, deer, and other livestock farming",,3896.1622537709045,3889.7637850205556,6.398468750348911,1.0284700310136259,5.369998719335285
Forestry and logging,AA211,6154.6287211576655,6144.647363220896,9.9813579367692,2.6420099300114543,7.339348006757746
Fishing and aquaculture,,3259.91292930717,3255.274932710085,4.637996597085021,0.33103115145252104,4.3069654456325
"Agriculture, forestry, and fishing support services",,5329.339471312984,5320.496912288347,8.842559024637012,3.9568430057056503,4.885716018931362
Coal mining,BB111,3379.539619511923,3373.9310504261034,5.608569085819454,0.4892628177583731,5.119306268061081
Oil and gas extraction,BB112,3934.4141298404675,3927.986587937046,6.42754190342157,2.442739726027412,3.984802177394158
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3478.610368556973,5.324076070262436,1.1364176789868452,4.1876583912755905
Exploration and other mining support services,BB114,3863.9163064274953,3857.7613409348123,6.154965492683004,0.24049556809023898,5.914469924592765
Meat and meat product manufacturing,CC111,7807.872340276065,7795.856550630948,12.015789645117366,3.272850948908399,8.742938696208967
Seafood processing,CC121,3441.895111583539,3437.142285860764,4.752825722775015,0.31711690479698973,4.435708817978025
Dairy product manufacturing,CC131,11050.306045790578,11031.960980790256,18.345065000321483,7.079845057660805,11.265219942660678
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6295.598031975969,9.987359349435792,4.096705842023766,5.890653507412026
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5194.066866444914,8.377985861920024,2.359158007569931,6.018827854350093
Textile and leather manufacturing,CC211,4361.402196637127,4354.329338901359,7.072857735768594,0.7526950014438967,6.320162734324697
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2256.873331197703,3.6298561106295892,0.22316835354681075,3.4066877570827785
Wood product manufacturing,CC311,5712.920351400422,5703.932378039009,8.987973361413424,2.4075287689931884,6.5804445924202355
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5157.661506512447,9.067969849115798,1.6081620332499824,7.459807815865815
Printing,CC411,3396.50995615045,3390.9823472155545,5.527608934895397,1.0339243410837753,4.493684593811622
Petroleum and coal product manufacturing,CC511,2507.770600976977,2503.2165595729157,4.554041404061536,2.5682276639593056,1.9858137401022304
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3613.2671814655123,6.0690181129816665,0.7292566028756937,5.339761510105973
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3120.985736382068,5.256189460554197,0.8056614174034848,4.450528043150712
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3651.796893990677,5.945796432352836,0.9182500418104382,5.027546390542398
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3806.764082582684,6.57590136312956,2.831905155071354,3.7439962080582063
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4495.168643340428,7.181267580674103,1.7082797220111843,5.472987858662918
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4079.6698939804123,6.65278743816998,0.7985178009203082,5.854269637249672
Fabricated metal product manufacturing,CC721,5602.072300984654,5592.726596808963,9.345704175691026,4.208408343822157,5.137295831868869
