Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6896.009711523151,9.000288476848645
"Sheep, beef cattle, and grain farming",,11564.824999999997,11552.003406770036,12.821593229960552
Dairy cattle farming,AA131,17366.689999999995,17357.66410801396,9.02589198603481
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.442993159793,3.0270068402064267
Forestry and logging,AA211,6804.61,6801.603198938241,3.0068010617582512
Fishing and aquaculture,,1918.8949999999995,1917.1035984344514,1.7914015655480748
"Agriculture, forestry, and fishing support services",,6337.750000000002,6331.9524603465115,5.79753965349033
Coal mining,BB111,632.5200000000001,632.0960073938871,0.42399260611298667
Oil and gas extraction,BB112,3481.37,3478.172002534388,3.197997465611947
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.9323953184485,1.1176046815517666
Exploration and other mining support services,BB114,651.3449999999999,650.6677001607608,0.6772998392391804
Meat and meat product manufacturing,CC111,15834.334999999994,15815.351027561794,18.983972438199814
Seafood processing,CC121,2153.5800000000004,2151.5074103823463,2.0725896176538834
Dairy product manufacturing,CC131,29974.420000000006,29959.77170174918,14.648298250825281
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10283.066139514003,25.503860485995236
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6762.950375271127,16.559624728871444
Textile and leather manufacturing,CC211,1805.9450000000006,1803.4518410626192,2.4931589373815073
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,512.6734673554823,0.6215326445175319
Wood product manufacturing,CC311,7001.644999999997,6995.979424743545,5.665575256452603
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4212.001580905285,4.7984190947145064
Printing,CC411,1842.3400000000001,1839.0295564663909,3.310443533609269
Petroleum and coal product manufacturing,CC511,9094.985000000004,9075.709842691842,19.275157308161617
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1929.6168130813178,1.8281869186810193
Fertiliser and pesticide manufacturing,CC522,2035.61,2033.3469984712492,2.263001528750685
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.2921573950443,3.45284260495526
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4688.644866475477,6.310133524522189
Non-metallic mineral product manufacturing,CC611,4051.14,4046.6060742541013,4.533925745898206
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.523701814372,3.2962981856274176
Fabricated metal product manufacturing,CC721,8600.514999999998,8590.007827819076,10.507172180921179
Transport equipment manufacturing,CC811,5355.084999999999,5345.088139253398,9.996860746601532
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5785.069712802598,4.245287197402677
Machinery manufacturing,CC822,5078.985,5076.463845704384,2.5211542956152626
Furniture manufacturing,CC911,1661.6199999999997,1656.9416053911898,4.678394608809771
Other manufacturing,CC912,993.9599999999999,991.9433136760654,2.016686323934508
Electricity generation and on-selling,DD111,15101.414999999997,15056.889404517462,44.525595482534435
Electricity transmission and distribution,DD112,5971.289999999999,5955.3172622878365,15.97273771216261
Gas and water supply,,3766.254999999999,3757.2979575535105,8.957042446488483
Sewerage and drainage services,DD122,961.3300000000005,960.0654562544416,1.2645437455588386
"Waste collection, treatment, and disposal services",,3028.3149999999996,3023.014195244606,5.300804755393696
Residential building construction,EE112,25962.185,25953.75864237004,8.426357629959512
Non-residential building construction,EE113,12069.334999999997,12061.456799096493,7.878200903502929
