Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999998,6902.027435838616,2.9825641613818923
"Sheep, beef cattle, and grain farming",,11564.824999999995,11560.576111249604,4.2488887503906145
Dairy cattle farming,AA131,17366.689999999988,17363.69895120958,2.991048790411896
"Poultry, deer, and other livestock farming",,2251.4699999999993,2250.4668941394393,1.0031058605601595
Forestry and logging,AA211,6804.61,6803.613590039335,0.9964099606643184
Fishing and aquaculture,,1918.8950000000004,1918.301355682732,0.5936443172683539
"Agriculture, forestry, and fishing support services",,6337.749999999999,6335.828780025864,1.9212199741357925
Coal mining,BB111,632.52,632.3794950423049,0.14050495769507476
Oil and gas extraction,BB112,3481.369999999999,3480.310230343321,1.0597696566781791
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.6796421299864,0.3703578700134881
Exploration and other mining support services,BB114,651.3449999999999,651.1205527245355,0.2244472754644431
Meat and meat product manufacturing,CC111,15834.334999999994,15828.04398877514,6.2910112248535
Seafood processing,CC121,2153.58,2152.893174068724,0.6868259312759574
Dairy product manufacturing,CC131,29974.419999999995,29969.56576788284,4.854232117152368
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10300.11839309228,8.451606907719587
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6774.022382200935,5.487617799064296
Textile and leather manufacturing,CC211,1805.945,1805.1188035381433,0.8261964618565399
"Clothing, knitted products, and footwear manufacturing",,513.295,513.0890331584441,0.20596684155583458
Wood product manufacturing,CC311,7001.6449999999995,6999.7675110998425,1.8774889001571136
"Pulp, paper, and converted paper product manufacturing",,4216.8,4215.209873987929,1.5901260120711775
Printing,CC411,1842.3400000000001,1841.2429673585443,1.0970326414557676
Petroleum and coal product manufacturing,CC511,9094.985000000002,9088.597494361687,6.387505638313937
Basic chemical and basic polymer manufacturing,CC521,1931.445,1930.839165553916,0.6058344460837054
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2034.8600743421537,0.7499256578463757
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2256.6007783858904,1.144221614108859
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4692.863913902905,2.0910860970976386
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4049.637523221075,1.5024767789260316
Primary metal and metal product manufacturing,CC711,4472.819999999999,4471.727654920289,1.0923450797095755
Fabricated metal product manufacturing,CC721,8600.515,8597.033076585554,3.4819234144449545
Transport equipment manufacturing,CC811,5355.084999999997,5351.772186342323,3.312813657674637
Electronic and electrical equipment manufacturing,CC821,5789.314999999997,5787.908173820778,1.4068261792190695
Machinery manufacturing,CC822,5078.985,5078.149526285269,0.8354737147309833
