Description,NZSIOC,Original Output,Shocked Output,Output Loss
Non-financial asset leasing,LL112,1681.6999999999998,1680.741623861594,0.9583761384058607
Residential property operation,LL121,16626.24,16602.917462855712,23.322537144287388
Non-residential property operation,LL122,18007.995,17996.035376376145,11.95962362385213
Real estate services,LL123,6366.614999999997,6364.676691986103,1.9383080138942659
Owner-occupied property operation,,39204.945,39139.51116473375,65.43383526625303
"Scientific, architectural, and engineering services",,16225.895000000004,16220.839880282043,5.055119717960624
Legal and accounting services,MN112,9398.695,9393.517114736313,5.177885263685875
"Advertising, market research, and management services",,13705.855000000003,13697.62980690238,8.225193097623086
Veterinary and other professional services,MN114,1511.02,1509.6809780561691,1.3390219438307747
Computer system design and related services,MN115,13906.654999999999,13901.721264778816,4.933735221182714
Travel agency and tour arrangement services,MN211,1645.3049999999996,1644.0966311051075,1.2083688948921154
Employment and other administrative services,MN212,9071.139999999998,9065.54565256874,5.5943474312572965
"Building cleaning, pest control, and other support services",,5258.449999999998,5255.456007633205,2.993992366792936
Local government administration services,,3204.015000000001,3203.8170021088004,0.19799789120039804
Central government administration services,,12778.410000000002,12777.376862401925,1.0331375980770916
Defence,OO212,3074.750000000001,3074.558978654687,0.19102134531386808
"Public order, safety, and regulatory services",,9968.465,9966.218812642119,2.24618735788079
Preschool education,PP111,2290.374999999999,2289.3744683777913,1.0005316222077545
School education,PP112,10777.940000000004,10776.05386695843,1.886133041574003
Tertiary education,PP113,8640.675000000001,8638.53452642572,2.1404735742814727
"Adult, community, and other education",,2320.495,2319.351503492905,1.1434965070950738
Hospitals,QQ111,16128.005000000001,16125.106186224011,2.8988137759900106
Medical and other health care services,QQ112,14462.619999999994,14457.890579166498,4.729420833496178
Residential care services and social assistance,QQ113,8290.529999999999,8281.6264648074,8.90353519260061
Heritage and artistic activities,RS111,2154.835,2153.839398583073,0.995601416927152
Sport and recreation services,,4787.825000000002,4784.148405981447,3.676594018554394
Gambling activities,RS113,2444.7400000000002,2441.3024509237894,3.437549076210894
Repair and maintenance,RS211,6128.164999999999,6123.934685094984,4.230314905014893
Personal services; domestic household staff,,4057.4149999999995,4052.8285391696922,4.586460830307482
"Religious services; civil, professional, and other interest groups",,3748.685000000001,3745.136934410516,3.548065589484631
