Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6895.954811931325,9.055188068674132
"Sheep, beef cattle, and grain farming",,11564.824999999997,11551.925198139648,12.899801860349207
Dairy cattle farming,AA131,17366.689999999995,17357.6090522469,9.080947753097652
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.424529147176,3.0454708528230796
Forestry and logging,AA211,6804.61,6801.5848581760065,3.0251418239928625
Fishing and aquaculture,,1918.8949999999995,1917.092671316393,1.802328683606538
"Agriculture, forestry, and fishing support services",,6337.750000000002,6331.917096751067,5.832903248934371
Coal mining,BB111,632.5200000000001,632.0934211411163,0.4265788588837227
Oil and gas extraction,BB112,3481.37,3478.152495520145,3.2175044798549512
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.925578199087,1.1244218009132771
Exploration and other mining support services,BB114,651.3449999999999,650.6635687948814,0.6814312051185845
Meat and meat product manufacturing,CC111,15834.334999999994,15815.235229902557,19.099770097437258
Seafood processing,CC121,2153.5800000000004,2151.4947680849,2.085231915100328
Dairy product manufacturing,CC131,29974.420000000006,29959.682350658157,14.7376493418495
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10282.910572108101,25.659427891897046
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6762.849365548968,16.660634451029686
Textile and leather manufacturing,CC211,1805.9450000000006,1803.436633393624,2.5083666063766747
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,512.6696761560582,0.6253238439416111
Wood product manufacturing,CC311,7001.644999999997,6995.944866099138,5.700133900858322
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4211.972311704593,4.827688295406283
Printing,CC411,1842.3400000000001,1839.0093635582166,3.330636441783608
Petroleum and coal product manufacturing,CC511,9094.985000000004,9075.592268875036,19.392731124967344
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1929.605661581466,1.839338418532843
Fertiliser and pesticide manufacturing,CC522,2035.61,2033.3331947070087,2.276805292991066
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.2710958868342,3.4739041131654345
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4688.606376180888,6.348623819111073
Non-metallic mineral product manufacturing,CC611,4051.14,4046.57841839913,4.561581600869708
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.503595189413,3.31640481058585
Fabricated metal product manufacturing,CC721,8600.514999999998,8589.943736599615,10.57126340038293
Transport equipment manufacturing,CC811,5355.084999999999,5345.027160810772,10.057839189226993
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5785.043817573247,4.271182426753916
Machinery manufacturing,CC822,5078.985,5076.448467270447,2.5365327295530253
Furniture manufacturing,CC911,1661.6199999999997,1656.913068310952,4.70693168904751
Other manufacturing,CC912,993.9599999999999,991.9310123752449,2.0289876247549747
Electricity generation and on-selling,DD111,15101.414999999997,15056.617809109815,44.797190890181746
Electricity transmission and distribution,DD112,5971.289999999999,5955.2198324351175,16.07016756488174
Gas and water supply,,3766.254999999999,3757.243321752054,9.011678247945298
Sewerage and drainage services,DD122,961.3300000000005,960.0577428421822,1.2722571578183395
"Waste collection, treatment, and disposal services",,3028.3149999999996,3022.981861612393,5.3331383876067955
Residential building construction,EE112,25962.185,25953.707243618148,8.477756381855215
Non-residential building construction,EE113,12069.334999999997,12061.408743968586,7.926256031410366
Heavy and civil engineering construction,EE121,18228.875000000004,18223.44469506893,5.430304931072023
Construction services,EE131,36052.385,36020.55912767826,31.825872321742043
Basic material wholesaling,FF111,8999.605000000003,8982.723608358076,16.881391641926914
Machinery and equipment wholesaling,FF112,9362.3,9344.1164578004,18.183542199597778
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2402.7152073340008,5.6297926659989415
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8765.82753854434,20.42746145565964
Other goods and commission based wholesaling,,9132.635,9113.828824932725,18.806175067274637
"Motor vehicle retailing, including parts",,3512.7449999999985,3499.5234403437266,13.221559656271948
