Description,NZSIOC,Direct Loss,Indirect Loss,Loss
Horticulture and fruit growing,AA111,4.958814322885246,8.346253733851427,13.305068056736673
"Sheep, beef cattle, and grain farming",,8.005624345150409,8.747237591574503,16.752861936724912
Dairy cattle farming,AA131,13.160434864848867,7.564861812714298,20.725296677563165
"Poultry, deer, and other livestock farming",,1.3086357346612658,9.500514863771741,10.809150598433007
Forestry and logging,AA211,3.3364443380989997,11.060409195836428,14.396853533935428
Fishing and aquaculture,,0.40512419087758644,7.717563795731394,8.12268798660898
"Agriculture, forestry, and fishing support services",,5.237623416903716,7.807259469887413,13.044882886791129
Coal mining,BB111,0.5014764270122498,8.774984729935085,9.276461156947335
Oil and gas extraction,BB112,3.256986301369807,6.612749191514695,9.869735492884502
Metal ore and non-metallic mineral mining and quarrying,BB113,1.1725298474399324,6.861255638151647,8.03378548559158
Exploration and other mining support services,BB114,0.2905677386481784,9.597593967989042,9.88816170663722
Meat and meat product manufacturing,CC111,4.397695800077145,13.220869695625424,17.61856549570257
Seafood processing,CC121,0.42233809593949445,7.692776313713466,8.11511440965296
Dairy product manufacturing,CC131,9.21635730485923,16.522772364079174,25.739129668938403
"Fruit, oil, cereal, and other food product manufacturing",,5.657192796657,10.268401092138447,15.925593888795447
Beverage and tobacco product manufacturing,CC151,3.1054801427219445,10.66033158085861,13.765811723580555
Textile and leather manufacturing,CC211,0.93646343816323,10.419849696886047,11.356313135049277
"Clothing, knitted products, and footwear manufacturing",,0.30792996771191383,6.921867573192742,7.229797540904656
Wood product manufacturing,CC311,3.160061396385572,10.431680422189856,13.591741818575429
"Pulp, paper, and converted paper product manufacturing",,1.8987306593081712,12.605583848422498,14.504314507730669
Printing,CC411,1.38693296644135,7.571292450334909,8.958225416776258
Petroleum and coal product manufacturing,CC511,3.596457752454853,8.51003871754233,12.106496469997182
Basic chemical and basic polymer manufacturing,CC521,0.9741517361532033,9.036244239028179,10.010395975181382
