Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,769.0439633070462
"Sheep, beef cattle, and grain farming",56.70828707438762
Dairy cattle farming,15.918115670003543
"Poultry, deer, and other livestock farming",259.6642618669328
Forestry and logging,24.872055734380535
Fishing and aquaculture,165.15045007628675
"Agriculture, forestry, and fishing support services",38.80040694563363
Coal mining,6.96417560562655
Oil and gas extraction,6.96417560562655
Metal ore and non-metallic mineral mining and quarrying,50.73899369813629
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2329.0192989673933
Seafood processing,236.7819705913027
Dairy product manufacturing,1769.8954860585188
"Fruit, oil, cereal, and other food product manufacturing",3363.6968175176235
Beverage and tobacco product manufacturing,2111.14009073422
Textile and leather manufacturing,152.21698109440888
"Clothing, knitted products, and footwear manufacturing",84.56498949689382
Wood product manufacturing,151.22209886503364
"Pulp, paper, and converted paper product manufacturing",194.00203472816818
Printing,48.74922923938585
Petroleum and coal product manufacturing,1928.081760529179
Basic chemical and basic polymer manufacturing,115.40633860752568
Fertiliser and pesticide manufacturing,73.62128497376638
"Pharmaceutical, cleaning, and other chemical manufacturing",362.1371314925806
Polymer product and rubber product manufacturing,285.53119983068854
Non-metallic mineral product manufacturing,235.7870883619275
Primary metal and metal product manufacturing,14.923233440628321
Fabricated metal product manufacturing,231.8075594444266
Transport equipment manufacturing,1054.5751631377348
Electronic and electrical equipment manufacturing,377.0603649332089
Machinery manufacturing,180.07368351691508
Furniture manufacturing,562.1084595970001
Other manufacturing,250.7103218025558
Electricity generation and on-selling,2599.627265357454
Electricity transmission and distribution,901.3632998139506
Gas and water supply,264.6386730138089
Sewerage and drainage services,12.933468981877878
"Waste collection, treatment, and disposal services",235.7870883619275
Residential building construction,82.57522503814337
Non-residential building construction,15.918115670003543
Heavy and civil engineering construction,16.912997899378762
Construction services,311.3981377944443
Basic material wholesaling,1589.8218025416038
Machinery and equipment wholesaling,1687.3202610203755
"Motor vehicle wholesaling, including parts",604.8883954601346
"Grocery, liquor, and tobacco product wholesaling",2041.4983346779543
Other goods and commission based wholesaling,1988.7695765210676
"Motor vehicle retailing, including parts",1867.3939445372905
Fuel retailing,543.2056972388709
Supermarket and grocery stores,3577.596496833296
Specialised food retailing,790.9313723533011
"Furniture, electrical, and hardware retailing",3501.9854474007793
"Recreational, clothing, footwear, and personal accessory retailing",2318.075594444266
Department stores,1596.7859781472305
Pharmaceutical and other store based retailing,1763.9261926822676
Non-store and commission based retailing,550.1698728444975
Accommodation,1515.2056353384621
Food and beverage services,7222.844985264108
Road transport,752.1309654076674
Rail transport,87.54963618501948
Water transport,214.89456154504782
Air and space transport,2175.807435643609
Other transport,187.03785912254162
Postal and courier services,84.56498949689382
Transport support services,408.896596273216
Warehousing and storage services,29.846466881256642
Publishing (except internet and music publishing),166.14533230566198
Motion picture and sound recording activities,272.59773084881067
Broadcasting and internet publishing,640.7041557176426
Telecommunications services,2769.7521265806163
"Internet service providers, web search portals and data processing services",224.84338383880004
Library and other information services,12.933468981877878
Banking and financing; financial asset investing,2469.2976933092996
Life insurance,1762.9313104528924
Health and general insurance,1707.2179056078799
Superannuation and individual pension services,296.474904353816
Auxiliary finance and insurance services,225.83826606817527
Rental and hiring services (except real estate),534.251757174494
Non-financial asset leasing,1.9897644587504428
Residential property operation,11060.105743964337
Non-residential property operation,1.9897644587504428
Real estate services,57.70316930376284
Owner-occupied property operation,31079.12596345254
"Scientific, architectural, and engineering services",172.1146256819133
Legal and accounting services,363.13201372195584
"Advertising, market research, and management services",152.21698109440888
Veterinary and other professional services,466.5997655769788
Computer system design and related services,474.5588234119806
Travel agency and tour arrangement services,341.24460467570094
Employment and other administrative services,416.8556541082178
"Building cleaning, pest control, and other support services",120.38074975440179
Local government administration services,63.67246268001417
Central government administration services,330.3009001525735
Defence,79.59057835001771
"Public order, safety, and regulatory services",416.8556541082178
Preschool education,422.8249474844691
School education,823.7624859226834
Tertiary education,821.7727214639328
"Adult, community, and other education",344.2292513638266
Hospitals,1314.2394250046675
Medical and other health care services,1837.547477656034
Residential care services and social assistance,3830.2965830946023
Heritage and artistic activities,339.2548402169505
Sport and recreation services,1427.6559991534427
Gambling activities,1576.8883335597259
Repair and maintenance,1283.3980758940356
Personal services; domestic household staff,1872.3683556841668
"Religious services; civil, professional, and other interest groups",1221.7153776727719
