Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,5580.914989481383,5550.090240962738,30.82474851864481
"Sheep, beef cattle, and grain farming",,7307.385555263903,7264.763608270696,42.62194699320753
Dairy cattle farming,AA131,9814.971126635333,9754.483233272036,60.48789336329719
"Poultry, deer, and other livestock farming",,3896.1622537709045,3875.925014125207,20.237239645697628
Forestry and logging,AA211,6154.6287211576655,6122.458949051019,32.16977210664663
Fishing and aquaculture,,3259.91292930717,3241.23889586696,18.674033440210223
"Agriculture, forestry, and fishing support services",,5329.339471312984,5300.2590851712075,29.080386141776216
Coal mining,BB111,3379.539619511923,3361.8717402273924,17.6678792845305
Oil and gas extraction,BB112,3934.4141298404675,3917.3518040587674,17.06232578170011
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3465.480177641397,18.45426698583833
Exploration and other mining support services,BB114,3863.9163064274953,3844.616114593492,19.30019183400327
Meat and meat product manufacturing,CC111,7807.872340276065,7762.5389914482275,45.33334882783765
Seafood processing,CC121,3441.895111583539,3421.641425884245,20.253685699293783
Dairy product manufacturing,CC131,11050.306045790578,10982.293181603745,68.0128641868323
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6273.329551407725,32.25583991767962
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5174.651017181719,27.793835125115038
Textile and leather manufacturing,CC211,4361.402196637127,4338.442409067708,22.95978756941986
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2249.2043894782964,11.298797830036165
Wood product manufacturing,CC311,5712.920351400422,5682.83014160177,30.090209798651813
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5141.306189800493,25.4232865610702
Printing,CC411,3396.50995615045,3379.6340564564753,16.87589969397459
Petroleum and coal product manufacturing,CC511,2507.770600976977,2493.977959814162,13.792641162815016
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3602.4990469151385,16.837152663355482
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3110.8287728200703,15.413153022551796
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3639.0098675478866,18.73282287514303
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3795.2028655264075,18.13711841940585
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4479.682137280507,22.667773640595442
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4065.566315879796,20.756365538786213
Fabricated metal product manufacturing,CC721,5602.072300984654,5574.135783505957,27.93651747869717
Transport equipment manufacturing,CC811,2298.6975198464343,2286.767569856386,11.929949990048044
Electronic and electrical equipment manufacturing,CC821,4251.52006086806,4231.047423704871,20.472637163188665
Machinery manufacturing,CC822,4124.652749991862,4103.32441341658,21.328336575282265
Furniture manufacturing,CC911,3341.4781811317125,3324.5952833749034,16.882897756809143
Other manufacturing,CC912,2864.0239496262247,2849.883233785649,14.140715840575922
Electricity generation and on-selling,DD111,8784.380433898667,8742.087913569676,42.29252032899058
Electricity transmission and distribution,DD112,6121.985588457431,6089.982794273352,32.002794184078994
Gas and water supply,,4416.894291855951,4396.430571470995,20.463720384956105
Sewerage and drainage services,DD122,3407.07870597061,3390.772355026882,16.30635094372792
"Waste collection, treatment, and disposal services",,3931.8375479309248,3911.851721013805,19.98582691711954
Residential building construction,EE112,12791.812634070011,12724.950276839001,66.86235723100981
Non-residential building construction,EE113,10467.140891864707,10413.603943575667,53.53694828904008
Heavy and civil engineering construction,EE121,10785.696953276474,10728.420374958643,57.27657831783108
Construction services,EE131,16088.464442958006,16006.2676118411,82.19683111690574
Basic material wholesaling,FF111,6507.27177430647,6474.216923189487,33.05485111698363
Machinery and equipment wholesaling,FF112,7085.705363409829,7051.216577196577,34.48878621325184
"Motor vehicle wholesaling, including parts",,3744.5574421967676,3726.482397713289,18.07504448347845
"Grocery, liquor, and tobacco product wholesaling",,7086.131683666181,7050.7768591258355,35.35482454034536
Other goods and commission based wholesaling,,6853.1419169569535,6821.296338955653,31.845578001300964
"Motor vehicle retailing, including parts",,4188.095273409625,4167.2264029494045,20.868870460220933
Fuel retailing,GH112,3389.6439229361413,3372.8080527178613,16.83587021827998
Supermarket and grocery stores,GH121,5770.264776196107,5739.6855462546355,30.579229941471567
Specialised food retailing,GH122,3616.1746112265782,3598.0496990523698,18.124912174208475
"Furniture, electrical, and hardware retailing",,5921.195584075819,5891.275506672451,29.92007740336794
"Recreational, clothing, footwear, and personal accessory retailing",,5375.19492643023,5348.388220766108,26.80670566412209
Department stores,GH133,4584.829673599537,4562.300471501523,22.52920209801414
Pharmaceutical and other store based retailing,GH134,5162.926641754008,5137.585522776044,25.34111897796447
Non-store and commission based retailing,GH135,4766.355429803441,4743.378389295587,22.977040507854326
Accommodation,GH211,5338.829570481774,5308.980938052152,29.84863242962183
Food and beverage services,GH212,8371.56347343329,8328.447390563282,43.11608287000854
Road transport,II111,6954.680917827564,6917.856802715667,36.8241151118973
Rail transport,II121,3627.7492477270503,3609.6869698555774,18.062277871472816
Water transport,II122,3782.8427568511843,3763.910236253983,18.932520597201346
Air and space transport,II123,5047.72626252223,5022.754303208858,24.97195931337228
Other transport,II125,3184.597438957038,3167.72473509642,16.872703860618003
Postal and courier services,,4244.4553519812225,4223.399514847417,21.055837133805653
Transport support services,II132,7284.825310041723,7247.897960307013,36.92734973471033
Warehousing and storage services,II133,3883.0447932900956,3864.1070391882968,18.937754101798873
Publishing (except internet and music publishing),JJ111,2928.421265152091,2913.776163449975,14.645101702116335
Motion picture and sound recording activities,JJ112,4523.354786378703,4501.960426609906,21.394359768796676
Broadcasting and internet publishing,JJ113,4409.499910407114,4388.611039058181,20.888871348933208
Telecommunications services,JJ121,6806.759807218808,6775.75030870767,31.00949851113819
"Internet service providers, web search portals and data processing services",JJ122,3898.097178632409,3880.4592278265673,17.637950805841683
Library and other information services,JJ123,2003.131393170047,1993.1803730994234,9.9510200706236
Banking and financing; financial asset investing,,12481.92204187554,12427.097852688697,54.82418918684198
Life insurance,KK121,4439.597504625895,4419.602232086033,19.995272539862526
Health and general insurance,KK122,5855.188222857032,5827.220373669033,27.96784918799949
Superannuation and individual pension services,,7409.655817770211,7375.610342752714,34.045475017496756
Auxiliary finance and insurance services,KK131,6666.605476397544,6635.945597515323,30.659878882221165
Rental and hiring services (except real estate),LL111,5616.368057875634,5587.7914412169785,28.57661665865544
Non-financial asset leasing,LL112,3917.551159703842,3899.0259510919764,18.525208611865764
Residential property operation,LL121,12357.156196740822,12294.708723877364,62.44747286345773
Non-residential property operation,LL122,12028.844737000622,11968.662096271713,60.182640728908154
Real estate services,LL123,5696.870568910277,5668.351441252464,28.519127657813442
Owner-occupied property operation,,26036.30545057952,26025.671648135074,10.633802444444882
"Scientific, architectural, and engineering services",,11129.412667604305,11073.136216401905,56.276451202400494
Legal and accounting services,MN112,7361.8766095990395,7325.87836246033,35.9982471387093
"Advertising, market research, and management services",,8755.501653331161,8715.366348019359,40.13530531180186
Veterinary and other professional services,MN114,2275.9524189173344,2264.3609055042416,11.591513413092798
Computer system design and related services,MN115,9836.156637165097,9791.513612835266,44.64302432983095
Travel agency and tour arrangement services,MN211,2679.787924710225,2665.850897370429,13.93702733979626
Employment and other administrative services,MN212,7133.77264620027,7098.6216450975035,35.15100110276671
"Building cleaning, pest control, and other support services",,5329.3301607932935,5302.728820165233,26.601340628060825
Local government administration services,,4174.99186292357,4153.747051233622,21.24481168994771
Central government administration services,,8696.683899541467,8658.010758181645,38.673141359822694
Defence,OO212,2844.9501112380995,2831.9604799977287,12.989631240370727
"Public order, safety, and regulatory services",,7465.0780135133045,7429.329502309991,35.74851120331368
Preschool education,PP111,2845.4674252700115,2831.3115603424594,14.155864927552102
School education,PP112,7988.064543670838,7947.7551478740825,40.30939579675578
Tertiary education,PP113,6841.151061959419,6805.967583109422,35.1834788499973
"Adult, community, and other education",,4342.199041926285,4321.168184299265,21.03085762701994
Hospitals,QQ111,10582.815158602843,10528.117832926438,54.697325676404944
Medical and other health care services,QQ112,9481.762348523787,9434.248671601285,47.51367692250278
Residential care services and social assistance,QQ113,6685.5324785029725,6651.478647423936,34.05383107903617
Heritage and artistic activities,RS111,3514.176814061115,3496.326907119443,17.849906941671634
Sport and recreation services,,4890.444121923231,4865.704479257369,24.739642665862448
Gambling activities,RS113,3653.6482586860675,3636.251253481482,17.39700520458564
Repair and maintenance,RS211,5554.7789790926145,5526.614245633411,28.16473345920349
Personal services; domestic household staff,,4404.537219841176,4382.424029855585,22.113189985590907
"Religious services; civil, professional, and other interest groups",,5393.384360483926,5366.994283600301,26.390076883624715
