Unnamed: 0,household_demand_retained_share
Horticulture and fruit growing,0.9947947158346441
"Sheep, beef cattle, and grain farming",0.9947947158346441
Dairy cattle farming,0.9947947158346441
"Poultry, deer, and other livestock farming",0.9947947158346441
Forestry and logging,0.9947947158346441
Fishing and aquaculture,0.9947947158346441
"Agriculture, forestry, and fishing support services",0.9947947158346441
Coal mining,0.9947947158346441
Oil and gas extraction,0.9947947158346441
Metal ore and non-metallic mineral mining and quarrying,0.9947947158346441
Exploration and other mining support services,0.9947947158346441
Meat and meat product manufacturing,0.9947947158346441
Seafood processing,0.9947947158346441
Dairy product manufacturing,0.9947947158346441
"Fruit, oil, cereal, and other food product manufacturing",0.9947947158346441
Beverage and tobacco product manufacturing,0.9947947158346441
Textile and leather manufacturing,0.9947947158346441
"Clothing, knitted products, and footwear manufacturing",0.9947947158346441
Wood product manufacturing,0.9947947158346441
"Pulp, paper, and converted paper product manufacturing",0.9947947158346441
Printing,0.9947947158346441
Petroleum and coal product manufacturing,0.9947947158346441
Basic chemical and basic polymer manufacturing,0.9947947158346441
Fertiliser and pesticide manufacturing,0.9947947158346441
"Pharmaceutical, cleaning, and other chemical manufacturing",0.9947947158346441
Polymer product and rubber product manufacturing,0.9947947158346441
Non-metallic mineral product manufacturing,0.9947947158346441
Primary metal and metal product manufacturing,0.9947947158346441
Fabricated metal product manufacturing,0.9947947158346441
Transport equipment manufacturing,0.9947947158346441
Electronic and electrical equipment manufacturing,0.9947947158346441
Machinery manufacturing,0.9947947158346441
Furniture manufacturing,0.9947947158346441
Other manufacturing,0.9947947158346441
Electricity generation and on-selling,0.9947947158346441
Electricity transmission and distribution,0.9947947158346441
Gas and water supply,0.9947947158346441
Sewerage and drainage services,0.9947947158346441
"Waste collection, treatment, and disposal services",0.9947947158346441
Residential building construction,0.9947947158346441
Non-residential building construction,0.9947947158346441
Heavy and civil engineering construction,0.9947947158346441
Construction services,0.9947947158346441
Basic material wholesaling,0.9947947158346441
Machinery and equipment wholesaling,0.9947947158346441
"Motor vehicle wholesaling, including parts",0.9947947158346441
"Grocery, liquor, and tobacco product wholesaling",0.9947947158346441
Other goods and commission based wholesaling,0.9947947158346441
"Motor vehicle retailing, including parts",0.9947947158346441
Fuel retailing,0.9947947158346441
Supermarket and grocery stores,0.9947947158346441
Specialised food retailing,0.9947947158346441
"Furniture, electrical, and hardware retailing",0.9947947158346441
"Recreational, clothing, footwear, and personal accessory retailing",0.9947947158346441
Department stores,0.9947947158346441
Pharmaceutical and other store based retailing,0.9947947158346441
Non-store and commission based retailing,0.9947947158346441
Accommodation,0.9947947158346441
Food and beverage services,0.9947947158346441
Road transport,0.9947947158346441
Rail transport,0.9947947158346441
Water transport,0.9947947158346441
Air and space transport,0.9947947158346441
Other transport,0.9947947158346441
Postal and courier services,0.9947947158346441
Transport support services,0.9947947158346441
Warehousing and storage services,0.9947947158346441
Publishing (except internet and music publishing),0.9947947158346441
Motion picture and sound recording activities,0.9947947158346441
Broadcasting and internet publishing,0.9947947158346441
Telecommunications services,0.9947947158346441
"Internet service providers, web search portals and data processing services",0.9947947158346441
Library and other information services,0.9947947158346441
Banking and financing; financial asset investing,0.9947947158346441
Life insurance,0.9947947158346441
Health and general insurance,0.9947947158346441
Superannuation and individual pension services,0.9947947158346441
Auxiliary finance and insurance services,0.9947947158346441
Rental and hiring services (except real estate),0.9947947158346441
Non-financial asset leasing,0.9947947158346441
Residential property operation,0.9947947158346441
Non-residential property operation,0.9947947158346441
Real estate services,0.9947947158346441
Owner-occupied property operation,0.9947947158346441
"Scientific, architectural, and engineering services",0.9947947158346441
Legal and accounting services,0.9947947158346441
"Advertising, market research, and management services",0.9947947158346441
Veterinary and other professional services,0.9947947158346441
Computer system design and related services,0.9947947158346441
Travel agency and tour arrangement services,0.9947947158346441
Employment and other administrative services,0.9947947158346441
"Building cleaning, pest control, and other support services",0.9947947158346441
Local government administration services,0.9947947158346441
Central government administration services,0.9947947158346441
Defence,0.9947947158346441
"Public order, safety, and regulatory services",0.9947947158346441
Preschool education,0.9947947158346441
School education,0.9947947158346441
Tertiary education,0.9947947158346441
"Adult, community, and other education",0.9947947158346441
Hospitals,0.9947947158346441
Medical and other health care services,0.9947947158346441
Residential care services and social assistance,0.9947947158346441
Heritage and artistic activities,0.9947947158346441
Sport and recreation services,0.9947947158346441
Gambling activities,0.9947947158346441
Repair and maintenance,0.9947947158346441
Personal services; domestic household staff,0.9947947158346441
"Religious services; civil, professional, and other interest groups",0.9947947158346441
