Unnamed: 0,0
Horticulture and fruit growing,2351.8536022890507
"Sheep, beef cattle, and grain farming",3915.422092792056
Dairy cattle farming,6922.935451939549
"Poultry, deer, and other livestock farming",595.6704100825298
Forestry and logging,1629.3278009720946
Fishing and aquaculture,546.8195541505754
"Agriculture, forestry, and fishing support services",2325.754540388014
Coal mining,208.5769045122122
Oil and gas extraction,1485.105926862324
Metal ore and non-metallic mineral mining and quarrying,913.0580641441217
Exploration and other mining support services,201.15814740235086
Meat and meat product manufacturing,2334.4850649534264
Seafood processing,591.3444262951822
Dairy product manufacturing,3756.3319589299044
"Fruit, oil, cereal, and other food product manufacturing",2657.0436850002293
Beverage and tobacco product manufacturing,1528.8183249952071
Textile and leather manufacturing,448.375201116008
"Clothing, knitted products, and footwear manufacturing",170.78361242751453
Wood product manufacturing,1643.2531689262019
"Pulp, paper, and converted paper product manufacturing",636.9666578273908
Printing,657.8239966456189
Petroleum and coal product manufacturing,1290.9610584214915
Basic chemical and basic polymer manufacturing,424.3341822397897
Fertiliser and pesticide manufacturing,402.423824186465
"Pharmaceutical, cleaning, and other chemical manufacturing",586.7315938389737
Polymer product and rubber product manufacturing,1523.0261384970097
Non-metallic mineral product manufacturing,1144.1866030224103
Primary metal and metal product manufacturing,576.7561190035628
Fabricated metal product manufacturing,2381.1017718561584
Transport equipment manufacturing,1355.8575851795463
Electronic and electrical equipment manufacturing,2325.4657646653773
Machinery manufacturing,1785.3088575296915
Furniture manufacturing,533.5091570853059
Other manufacturing,305.60971248436994
Electricity generation and on-selling,3226.5202580592522
Electricity transmission and distribution,2928.6050711494236
Gas and water supply,1245.6500815826314
Sewerage and drainage services,377.69253725950153
"Waste collection, treatment, and disposal services",997.2137888218508
Residential building construction,4526.465265473862
Non-residential building construction,1381.829214136855
Heavy and civil engineering construction,4794.259612140826
Construction services,11776.238484087615
Basic material wholesaling,2754.9402577830683
Machinery and equipment wholesaling,4174.424623187633
"Motor vehicle wholesaling, including parts",1093.2767689369548
"Grocery, liquor, and tobacco product wholesaling",2613.094698608849
Other goods and commission based wholesaling,3902.615558407834
"Motor vehicle retailing, including parts",1801.4595745299773
Fuel retailing,477.4163918131658
Supermarket and grocery stores,3217.8489821707835
Specialised food retailing,625.0774569649218
"Furniture, electrical, and hardware retailing",3171.565260487396
"Recreational, clothing, footwear, and personal accessory retailing",1663.3117911039203
Department stores,1201.6837584872585
Pharmaceutical and other store based retailing,1521.5156302437854
Non-store and commission based retailing,406.73967687340826
Accommodation,2155.5746337793503
Food and beverage services,4851.997716290225
Road transport,3777.3741199885444
Rail transport,117.87525300853737
Water transport,270.8445324747058
Air and space transport,1934.7152403573955
Other transport,445.91311649654705
Postal and courier services,1000.5291906548188
Transport support services,4886.234753978169
Warehousing and storage services,626.8170254078874
Publishing (except internet and music publishing),732.4624271607694
Motion picture and sound recording activities,636.644582842916
Broadcasting and internet publishing,547.4638175705044
Telecommunications services,4018.053739383628
"Internet service providers, web search portals and data processing services",776.5460203527543
Library and other information services,273.62791933807165
Banking and financing; financial asset investing,9440.482539679011
Life insurance,520.8312592476932
Health and general insurance,2963.047964790701
Superannuation and individual pension services,21.99802317380034
Auxiliary finance and insurance services,3795.9784877110883
Rental and hiring services (except real estate),3038.908748643039
Non-financial asset leasing,515.7947732726277
Residential property operation,10071.056407922053
Non-residential property operation,7764.056407922053
Real estate services,2256.023630061418
Owner-occupied property operation,23788.0
"Scientific, architectural, and engineering services",7628.845767445455
Legal and accounting services,5432.414494600021
"Advertising, market research, and management services",5628.293276489329
Veterinary and other professional services,880.1580984959543
Computer system design and related services,7389.094235067279
Travel agency and tour arrangement services,682.5338198042257
Employment and other administrative services,3342.3416851220295
"Building cleaning, pest control, and other support services",2141.5057469304616
Local government administration services,1624.621075667568
Central government administration services,5132.375862664667
Defence,1608.6341262706712
"Public order, safety, and regulatory services",5166.060393576952
Preschool education,1323.3024962397033
School education,6687.02483612917
Tertiary education,4913.682648847316
"Adult, community, and other education",1018.4665395482642
Hospitals,8961.47837089379
Medical and other health care services,6349.38282973064
Residential care services and social assistance,4178.860841504821
Heritage and artistic activities,974.0627237534862
Sport and recreation services,1493.4582960395617
Gambling activities,1239.6201821593354
Repair and maintenance,2609.5403959263313
Personal services; domestic household staff,2167.138486787955
"Religious services; civil, professional, and other interest groups",1256.4374378114333
