Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
Horticulture and fruit growing,AA111,7004.048311799134,6979.11554759304,24.932764206094674,0.42810457516339867,2998.465126946688,2987.7912965185888,10.673830428099352,6.110619098596079,4.5632113295032735,14.117665346428382,-3.4438349183290295
"Sheep, beef cattle, and grain farming",,9170.768871856199,9147.149135188312,23.619736667886116,0.4252711496746204,3900.0634215345067,3890.0186289667427,10.044792567763714,5.93907377121596,4.105718796547755,11.991749673834645,-1.946957106070931
Dairy cattle farming,AA131,12317.788763927343,12293.46744529381,24.321318633532417,0.5005778676683039,6166.012433835343,6153.837720014887,12.174713820455045,8.061347616299804,4.113366204155241,16.03258169784784,-3.8578678773927937
"Poultry, deer, and other livestock farming",,4889.683628482485,4874.852797115454,14.830831367029905,0.332035595105673,1623.5490134616482,1618.6246495427845,4.924363918863657,1.0467917251705656,3.8775721936930907,3.071496822732503,1.852867096131154
Forestry and logging,AA211,7724.05904505287,7710.046101371474,14.01294368139534,0.30035010134512624,2319.9219169773683,2315.7131279225177,4.208789054850636,0.7122468607899859,3.496542194060651,1.876496283005561,2.3322927718450757
Fishing and aquaculture,,4091.190726280498,4080.6161246554234,10.574601625074727,0.35635179153094465,1457.9031448048422,1454.1348665710207,3.7682782338214182,0.7716101925992415,2.9966680412221764,2.0151348848893256,1.7531433489320927
"Agriculture, forestry, and fishing support services",,6688.321036497794,6664.297236559486,24.023799938307636,0.4612341772151899,3084.882250220106,3073.801652621978,11.080597598127651,7.4610973965318905,3.619500201595761,13.920210253963292,-2.8396126558356407
Coal mining,BB111,4241.322222487463,4228.685400213955,12.636822273507304,0.41386138613861384,1755.3194940591677,1750.0896012766666,5.229892782501043,0.3630500354699889,4.866842747031054,0.8681622067337639,4.361730575767279
Oil and gas extraction,BB112,4937.689732949786,4918.593429971754,19.09630297803293,0.5343401654081266,2638.405948638397,2628.2020269464315,10.203921691965816,0.9218466850430324,9.282075006922783,1.6830926816748644,8.520829010290951
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4350.637693863677,21.700034143503505,0.5344224037339557,2336.6752385382597,2325.0782541301796,11.596984408080054,4.412590782924409,7.184393625155645,8.205195545311003,3.391788862769051
Exploration and other mining support services,BB114,4849.214964566506,4827.618235998189,21.596728568317,0.3818525519848771,1851.6851093429757,1843.4383434246392,8.246765918336548,1.0196922500478216,7.227073668288726,2.594981641566745,5.651784276769803
Meat and meat product manufacturing,CC111,9798.87978704646,9720.551472162018,78.32831488444249,0.1862030730239189,1824.581528540015,1809.9965556037466,14.584972936268358,11.368464453759811,3.216508482508546,59.35959291773861,-44.77461998147025
Seafood processing,CC121,4319.5783650373405,4300.602568898761,18.975796138580293,0.34279096699478867,1480.7124447609183,1474.2077132530785,6.5047315078399155,3.1403010459316296,3.3644304619082863,7.973584067594208,-1.4688525597542927
Dairy product manufacturing,CC131,13868.134087467173,13830.19677850939,37.93730895778497,0.157542273564373,2184.81737423516,2178.8406443290364,5.976729906123499,3.071599438333602,2.9051304677898964,18.306095227642995,-12.329365321519496
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7839.377998557324,74.13166755605887,0.32566630156991605,2577.1634254009264,2553.0212393987345,24.142186002192233,18.649074266950276,5.493111735241956,53.25723883529822,-29.115052833105985
