Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Printing,CC411,1842.3400000000001,1840.8224096949289,1.517590305071262,0.44972826086956524,828.5523641304349,827.8698608818227,0.6825032486122117,0.06691059089117841,0.6155926577210333
Petroleum and coal product manufacturing,CC511,9094.985000000002,9086.148784682442,8.836215317560185,0.178191856452726,1620.6522615596964,1619.0777199482445,1.5745416114520634,1.028028050459063,0.5465135609930004
Basic chemical and basic polymer manufacturing,CC521,1931.445,1930.6069132857933,0.838086714206538,0.2754374594944913,531.9923039533377,531.7614634779405,0.2308404753971346,0.09518764010236251,0.1356528352947721
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2034.572583368202,1.0374166317981905,0.2481527093596059,505.14213669950743,504.88469895159193,0.25743774791543766,0.06617696607042688,0.19126078184501077
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2256.162130390832,1.582869609167418,0.32685904550499445,737.9643756936736,737.4470004440622,0.5173752496113259,0.35672267654247564,0.1606525730688502
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4692.062276604087,2.892723395915177,0.40855614973262033,1918.1527379679155,1916.970898035039,1.181839932876575,0.35386655369790315,0.8279733791786719
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4049.0615347774296,2.0784652225711215,0.3544891640866873,1436.0852321981426,1435.34843879881,0.7367933993324872,0.26077308996227166,0.4760203093702156
Primary metal and metal product manufacturing,CC711,4472.819999999999,4471.308894277052,1.5111057229461675,0.1661529840291398,743.1723900252169,742.9213153001659,0.2510747250510163,0.007602478026592104,0.24347224702442422
Fabricated metal product manufacturing,CC721,8600.515,8595.69824886874,4.816751131259247,0.3606653049314269,3101.9073650423106,3100.170130026776,1.737235015534412,0.28071880841614366,1.4565162071182685
Transport equipment manufacturing,CC811,5355.084999999997,5350.502188423192,4.582811576805797,0.3175754739059209,1700.6436566814878,1699.1882681231618,1.4553885583256418,1.0193095588383525,0.43607899948728923
Electronic and electrical equipment manufacturing,CC821,5789.314999999997,5787.368853923918,1.946146076079144,0.5041161178509532,2918.48700281629,2917.505919211646,0.981083604643884,0.5841870525885959,0.396896552055288
Machinery manufacturing,CC822,5078.985,5077.829239668259,1.1557603317401435,0.44090796940537874,2239.3649629903775,2238.8553790493906,0.5095839409868336,0.23800018863467415,0.2715837523521594
Furniture manufacturing,CC911,1661.6199999999988,1659.475306628991,2.14469337100792,0.40271493212669685,669.1591855203616,668.2954854750235,0.8637000453380311,0.6714366712268667,0.19226337411116454
Other manufacturing,CC912,993.9599999999998,993.0355004329474,0.9244995670523308,0.3849056603773585,382.5808301886792,382.2249850723043,0.3558451163748595,0.2837258957810446,0.07211922059381487
Electricity generation and on-selling,DD111,15101.415,15081.003350821933,20.411649178068554,0.26820146276595747,4050.221592835772,4044.7471586687484,5.47443416702354,3.693146292889183,1.781287874134357
Electricity transmission and distribution,DD112,5971.289999999998,5963.967696613361,7.322303386637581,0.6158536585365854,3677.440792682926,3672.93132535335,4.509467329575584,1.75345038059938,2.7560169489762036
Gas and water supply,,3766.2549999999987,3762.148867199094,4.106132800904315,0.414780292942743,1562.1683521970701,1560.465209231049,1.7031429660208977,0.38659516324167315,1.3165478027792246
Sewerage and drainage services,DD122,961.3299999999995,960.750301446282,0.579698553717493,0.4909090909090909,471.92563636363616,471.6410570736293,0.2845792900067693,0.020388423081151675,0.2641908669256176
"Waste collection, treatment, and disposal services",,3028.3149999999996,3025.884978214643,2.4300217853565025,0.4132505175983437,1251.452741200828,1250.4485334402543,1.004207760573826,0.3907855069448858,0.6134222536289402
Residential building construction,EE112,25962.185,25958.32214642269,3.862853577312307,0.21897810218978103,5685.150000000001,5684.304119654604,0.8458803453968556,0.06334155512431984,0.7825387902725358
Non-residential building construction,EE113,12069.334999999994,12065.723435207792,3.611564792202443,0.14383775351014041,1736.0260327613098,1735.506553394943,0.5194793663667165,0.007222545216309331,0.5122568211504072
Heavy and civil engineering construction,EE121,18228.875,18226.400704693075,2.4742953069249505,0.33009975920192636,6017.347248022015,6016.530483737005,0.8167642850103826,0.019300612290642453,0.7974636727197401
Construction services,EE131,36052.38500000001,36037.883676865495,14.501323134512003,0.41023945426701935,14790.110747424476,14784.161732535626,5.949014888851907,0.432155383062509,5.516859505789397
Basic material wholesaling,FF111,8999.605000000001,8991.91306581874,7.691934181260798,0.3844652070840887,3460.0350000000008,3457.077718932125,2.957281067875613,1.8445769702307246,1.1127040976448885
Machinery and equipment wholesaling,FF112,9362.300000000001,9354.014746464736,8.285253535264337,0.560219957081545,5244.9473041845495,5240.305739804614,4.641564379935506,2.796983344378121,1.8445810355573848
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2405.7798089565404,2.5651910434590706,0.5709812108559499,1375.1197442588723,1373.6550683708012,1.4646758880710975,1.016300807414943,0.44837508065615456
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8776.947314215558,9.307685784440505,0.37330478229835834,3279.951009992862,3276.4764063774,3.474603615462087,2.289283442257408,1.185320173204679
Other goods and commission based wholesaling,,9132.635000000002,9124.066046451204,8.568953548796776,0.5365485023358065,4900.101631629569,4895.503972436377,4.597659193192005,3.161017578733721,1.4366416144582834
"Motor vehicle retailing, including parts",,3512.744999999999,3506.720652670894,6.024347329104896,0.6439285714285714,2261.9568696428564,2258.0776202734364,3.8792493694200454,3.5374831875445825,0.3417661818754629
Fuel retailing,GH112,975.1349999999999,973.3939058098748,1.7410941901251162,0.6104725415070242,595.293141762452,594.2302515672033,1.062890195248794,0.9735602480113521,0.08932994723744178
Supermarket and grocery stores,GH121,6052.865,6041.629411383841,11.235588616158397,0.6678408619975135,4042.350579154579,4034.8469939681145,7.503585186464673,7.029006082226404,0.47457910423826855
