scenario,model,total_loss_billion_2026_nzd,total_loss_million_2026_nzd,loss_share_pct_of_annual_gdp,annual_gdp_divided_by_loss
Scenario 1,Demand-Side Leontief (Population Shock),1.7535617915015576,1753.5617915015575,0.4793444776340876,208.61823733439567
Scenario 1,Demand-Side Leontief (Survey-Based VoLL Shock),1.7568081568568465,1756.8081568568466,0.4802318870843744,208.23273649554736
Scenario 1,Supply-Side Ghosh (Employment Shock),3.576493778607281,3576.493778607281,0.9776516290310313,102.28592376929997
Scenario 1,Supply-Side Ghosh (Survey-Based VoLL Shock),2.206066841111362,2206.066841111362,0.6030388907327354,165.8267842037399
Scenario 2,Demand-Side Leontief (Population Shock),0.7482906141663808,748.2906141663808,0.20454880763507774,488.88087472210304
Scenario 2,Demand-Side Leontief (Survey-Based VoLL Shock),0.7498384043547137,749.8384043547137,0.20497190346375582,487.87174393237024
Scenario 2,Supply-Side Ghosh (Employment Shock),1.48940973982997,1489.40973982997,0.40713725469039747,245.61741488394074
Scenario 2,Supply-Side Ghosh (Survey-Based VoLL Shock),0.9397007760646238,939.7007760646237,0.25687168813671296,389.2994230908691
Scenario 3,Demand-Side Leontief (Population Shock),0.7437538945562774,743.7538945562774,0.20330867369613326,491.86293030203313
Scenario 3,Demand-Side Leontief (Survey-Based VoLL Shock),0.7626605916774898,762.6605916774898,0.2084769095115322,479.6694283040892
Scenario 3,Supply-Side Ghosh (Employment Shock),1.4829190770737868,1482.9190770737869,0.4053630010750187,246.69247004487576
Scenario 3,Supply-Side Ghosh (Survey-Based VoLL Shock),0.9296265556143557,929.6265556143557,0.25411785193732284,393.51820125043633
Scenario 4,Demand-Side Leontief (Population Shock),0.7357352905133754,735.7352905133754,0.2011167500439829,497.22362746081893
Scenario 4,Demand-Side Leontief (Survey-Based VoLL Shock),0.7556113451332644,755.6113451332644,0.20654996435406375,484.1443585464969
Scenario 4,Supply-Side Ghosh (Employment Shock),1.4692090877569846,1469.2090877569844,0.4016153101186572,248.99449169518715
Scenario 4,Supply-Side Ghosh (Survey-Based VoLL Shock),0.9192721067298943,919.2721067298943,0.2512874139591659,397.9506909018928
Scenario 5,Demand-Side Leontief (Population Shock),0.6531069166816372,653.1069166816372,0.178529890040485,560.1302951417441
Scenario 5,Demand-Side Leontief (Survey-Based VoLL Shock),0.6656801294289505,665.6801294289505,0.18196683770081373,549.5506833196607
Scenario 5,Supply-Side Ghosh (Employment Shock),1.3180621929471,1318.0621929471,0.36029858567256906,277.5475785266548
Scenario 5,Supply-Side Ghosh (Survey-Based VoLL Shock),0.8159087419876687,815.9087419876687,0.22303254531468117,448.3650574803241
Scenario 6,Demand-Side Leontief (Population Shock),0.3350880817548465,335.0880817548465,0.09159792502814844,1091.7277871662438
Scenario 6,Demand-Side Leontief (Survey-Based VoLL Shock),0.34095543037613973,340.95543037613976,0.09320179275245749,1072.9407347946456
Scenario 6,Supply-Side Ghosh (Employment Shock),0.6316659550451356,631.6659550451355,0.17266890093509352,579.1430851673176
Scenario 6,Supply-Side Ghosh (Survey-Based VoLL Shock),0.3997632809609015,399.7632809609015,0.10927719913730917,915.1039813378437
Scenario 7,Demand-Side Leontief (Population Shock),0.24453914534672927,244.53914534672927,0.06684594147488875,1495.9771347908365
Scenario 7,Demand-Side Leontief (Survey-Based VoLL Shock),0.24646917890440934,246.46917890440935,0.06737352535132016,1484.26254197845
Scenario 7,Supply-Side Ghosh (Employment Shock),0.47773906261796883,477.73906261796884,0.1305922508837953,765.7422191840682
Scenario 7,Supply-Side Ghosh (Survey-Based VoLL Shock),0.29470668252798016,294.70668252798015,0.08055947698922251,1241.3188831076732
