Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,6164.277313992824,6150.972245936087,13.305068056736673
"Sheep, beef cattle, and grain farming",,7984.108416380915,7967.35555444419,16.752861936724912
Dairy cattle farming,AA131,10395.10504895253,10374.379752274966,20.725296677563165
"Poultry, deer, and other livestock farming",,4968.636997335923,4957.82784673749,10.809150598433007
Forestry and logging,AA211,6758.945241876287,6744.548388342351,14.396853533935428
Fishing and aquaculture,,4162.947025158909,4154.8243371723,8.12268798660898
"Agriculture, forestry, and fishing support services",,5908.587505082643,5895.542622195851,13.044882886791129
Coal mining,BB111,4248.744564981245,4239.468103824298,9.276461156947335
Oil and gas extraction,BB112,4506.667410980047,4496.797675487162,9.869735492884502
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4045.8715274320657,8.03378548559158
Exploration and other mining support services,BB114,4620.08736386429,4610.1992021576525,9.88816170663722
Meat and meat product manufacturing,CC111,8596.119406828715,8578.500841333012,17.61856549570257
Seafood processing,CC121,4262.365639606111,4254.250525196458,8.11511440965296
Dairy product manufacturing,CC131,11851.736574976458,11825.99744530752,25.739129668938403
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7377.969656237328,15.925593888795447
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6363.722217878253,13.765811723580555
Textile and leather manufacturing,CC211,5301.244798680549,5289.8884855455,11.356313135049277
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3332.0895043496494,7.229797540904656
Wood product manufacturing,CC311,6497.340506474585,6483.748764656009,13.591741818575429
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6377.810691303363,14.504314507730669
Printing,CC411,4104.283253074512,4095.3250276577355,8.958225416776258
Petroleum and coal product manufacturing,CC511,5177.256549031539,5165.150052561542,12.106496469997182
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4457.17031358561,10.010395975181382
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4609.3473453238375,10.151949001173307
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4894.19713629753,10.681875166358623
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4812.230254193855,11.208332363133195
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5446.054452760003,11.762409543265676
Primary metal and metal product manufacturing,CC711,6215.36910062153,6201.836380382568,13.532720238962611
Fabricated metal product manufacturing,CC721,6768.951426025005,6753.841377119764,15.110048905241456
Transport equipment manufacturing,CC811,3591.6965990462204,3584.031455198485,7.66514384773518
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,5008.1509773768,10.72672832672015
Machinery manufacturing,CC822,5178.288168930157,5166.9570205332175,11.33114839693917
Furniture manufacturing,CC911,4321.171812279279,4311.836619512878,9.335192766400723
Other manufacturing,CC912,3968.930709517216,3960.1889763123672,8.74173320484897
Electricity generation and on-selling,DD111,9146.630553870371,9123.93680232074,22.69375154963018
Electricity transmission and distribution,DD112,6371.453640964036,6358.693586767196,12.76005419683952
Gas and water supply,,4765.451961286213,4754.497246886086,10.954714400127159
Sewerage and drainage services,DD122,3859.841216371368,3851.250887415311,8.590328956056965
"Waste collection, treatment, and disposal services",,4444.292161099032,4434.414484760002,9.877676339029676
Residential building construction,EE112,14120.621172656422,14090.231492875515,30.38967978090659
Non-residential building construction,EE113,12003.492711963103,11977.732809719222,25.759902243880788
Heavy and civil engineering construction,EE121,11869.340361403289,11844.353613264826,24.986748138462644
Construction services,EE131,17150.003441984456,17112.70255230204,37.30088968241762
