,Description,NZSIOC,Direct Loss,Indirect Loss,Total Loss
0,Horticulture and fruit growing,AA111,7.421917808219178,7.30981642117944,14.731734229398619
1,Dairy cattle farming,AA131,0.21095890410958906,13.850491797322604,14.061450701432193
2,Forestry and logging,AA211,0.2493150684931507,5.365733094325278,5.615048162818429
3,Coal mining,BB111,0.0863013698630137,0.8775746525466956,0.9638760224097094
4,Oil and gas extraction,BB112,0.3356164383561644,6.144074446744019,6.479690885100184
5,Metal ore and non-metallic mineral mining and quarrying,BB113,0.5753424657534247,1.8354789554357946,2.4108214211892194
6,Exploration and other mining support services,BB114,0.028767123287671233,1.439169030742781,1.467936154030452
7,Meat and meat product manufacturing,CC111,22.457534246575342,6.632026494479849,29.08956074105519
8,Seafood processing,CC121,2.3589041095890413,0.9694817693808933,3.3283858789699345
9,Dairy product manufacturing,CC131,17.135616438356166,5.4944402563658485,22.630056694722015
10,Beverage and tobacco product manufacturing,CC151,20.424657534246577,5.206803937098332,25.63146147134491
11,Textile and leather manufacturing,CC211,1.4863013698630139,2.7576468436440695,4.243948213507084
12,Wood product manufacturing,CC311,1.4767123287671233,8.742961433147363,10.219673761914486
13,Printing,CC411,0.5753424657534247,7.44036741557515,8.015709881328574
14,Petroleum and coal product manufacturing,CC511,18.66986301369863,14.122418858935696,32.79228187263433
15,Basic chemical and basic polymer manufacturing,CC521,1.1315068493150686,2.24847524613555,3.379982095450619
16,Fertiliser and pesticide manufacturing,CC522,0.7383561643835617,3.126138713651577,3.8644948780351385
17,Polymer product and rubber product manufacturing,CC531,2.8575342465753426,8.546471099556777,11.40400534613212
18,Non-metallic mineral product manufacturing,CC611,2.282191780821918,6.269324278551171,8.551516059373089
19,Primary metal and metal product manufacturing,CC711,0.21095890410958906,6.227775658715848,6.438734562825437
20,Fabricated metal product manufacturing,CC721,2.3109589041095893,17.182524444861393,19.493483348970983
21,Transport equipment manufacturing,CC811,10.221917808219178,8.150871396532729,18.372789204751907
22,Electronic and electrical equipment manufacturing,CC821,4.075342465753425,3.3106616801093365,7.386004145862762
23,Machinery manufacturing,CC822,1.841095890410959,2.9374968518090863,4.778592742220045
24,Furniture manufacturing,CC911,5.436986301369863,1.9456066278286244,7.382592929198488
25,Other manufacturing,CC912,2.426027397260274,0.9959441494507879,3.421971546711062
26,Electricity generation and on-selling,DD111,25.15205479452055,51.67862988784603,76.83068468236658
27,Electricity transmission and distribution,DD112,8.946575342465755,19.169416152140528,28.115991494606284
28,Sewerage and drainage services,DD122,4.161643835616439,2.475752831893689,6.637396667510128
29,Residential building construction,EE112,0.9493150684931507,15.719792641628336,16.669107710121487
30,Non-residential building construction,EE113,0.5753424657534247,17.394326724933503,17.96966919068693
31,Heavy and civil engineering construction,EE121,7.124657534246576,11.223003399686956,18.347660933933533
32,Construction services,EE131,4.497260273972603,57.53171914275082,62.02897941672342
33,Basic material wholesaling,FF111,15.745205479452055,13.674024018499084,29.41922949795114
34,Machinery and equipment wholesaling,FF112,16.656164383561645,16.278412824556227,32.93457720811787
35,Fuel retailing,GH112,5.36027397260274,0.6187809206213188,5.979054893224059
36,Supermarket and grocery stores,GH121,35.31643835616438,3.0241516044096244,38.34058996057401
37,Specialised food retailing,GH122,7.776712328767124,0.5677437736610838,8.344456102428207
38,Department stores,GH133,15.754794520547946,1.1739016046061472,16.928696125154094
39,Pharmaceutical and other store based retailing,GH134,17.93150684931507,3.4130468304390433,21.344553679754114
40,Non-store and commission based retailing,GH135,5.552054794520548,0.8039769764802189,6.356031771000767
41,Accommodation,GH211,15.486301369863014,2.86635233690971,18.352653706772724
42,Food and beverage services,GH212,70.66164383561645,6.256997070068962,76.91864090568541
