Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999999,6900.955043887469,4.054956112529593
"Sheep, beef cattle, and grain farming",,11564.824999999997,11559.04840761922,5.776592380776073
Dairy cattle farming,AA131,17366.689999999995,17362.623508578756,4.066491421240544
"Poultry, deer, and other livestock farming",,2251.4699999999993,2250.1062237253905,1.3637762746086832
Forestry and logging,AA211,6804.61,6803.255327160802,1.354672839196919
Fishing and aquaculture,,1918.8949999999995,1918.0879086776606,0.807091322339047
"Agriculture, forestry, and fishing support services",,6337.750000000002,6335.137998294054,2.6120017059471365
Coal mining,BB111,632.5200000000001,632.3289759662431,0.19102403375703741
Oil and gas extraction,BB112,3481.37,3479.929186252264,1.440813747735492
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2145.546478591046,0.5035214089542079
Exploration and other mining support services,BB114,651.3449999999999,651.0398518783367,0.3051481216632584
Meat and meat product manufacturing,CC111,15834.334999999994,15825.782032472753,8.552967527241917
Seafood processing,CC121,2153.5800000000004,2152.6462232704553,0.9337767295453294
Dairy product manufacturing,CC131,29974.420000000006,29967.820410810924,6.59958918908298
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10297.079586638605,11.49041336139382
Beverage and tobacco product manufacturing,CC151,6779.509999999998,6772.049288969654,7.460711030344209
Textile and leather manufacturing,CC211,1805.9450000000006,1804.8217415512688,1.1232584487317774
"Clothing, knitted products, and footwear manufacturing",,513.2949999999998,513.0149770204579,0.2800229795418894
Wood product manufacturing,CC311,7001.644999999997,6999.092453037059,2.552546962937299
"Pulp, paper, and converted paper product manufacturing",,4216.799999999999,4214.638138312051,2.1618616879493993
Printing,CC411,1842.3400000000001,1840.8485252237951,1.4914747762050171
Petroleum and coal product manufacturing,CC511,9094.985000000004,9086.300843136842,8.684156863161487
Basic chemical and basic polymer manufacturing,CC521,1931.4449999999988,1930.6213355430411,0.8236644569575503
Fertiliser and pesticide manufacturing,CC522,2035.61,2034.590435804333,1.0195641956666555
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2256.1893692818758,1.5556307181239435
Polymer product and rubber product manufacturing,CC531,4694.954999999999,4692.112056179704,2.8429438202950856
Non-metallic mineral product manufacturing,CC611,4051.14,4049.0973021504383,2.0426978495611863
Primary metal and metal product manufacturing,CC711,4472.819999999999,4471.334898215662,1.4851017843371868
Fabricated metal product manufacturing,CC721,8600.514999999998,8595.78113817212,4.733861827875816
Transport equipment manufacturing,CC811,5355.084999999999,5350.5810519660245,4.503948033975338
Electronic and electrical equipment manufacturing,CC821,5789.3150000000005,5787.402344276262,1.9126557237392396
Machinery manufacturing,CC822,5078.985,5077.849128627884,1.1358713721152434
Furniture manufacturing,CC911,1661.6199999999997,1659.5122136924151,2.1077863075845107
Other manufacturing,CC912,993.9599999999999,993.0514097301075,0.9085902698923797
Electricity generation and on-selling,DD111,15101.414999999997,15081.354605710385,20.060394289611466
Electricity transmission and distribution,DD112,5971.289999999999,5964.093702838376,7.1962971616237015
Gas and water supply,,3766.254999999999,3762.2195277913042,4.03547220869483
Sewerage and drainage services,DD122,961.3300000000005,960.7602772179135,0.5697227820869437
"Waste collection, treatment, and disposal services",,3028.3149999999996,3025.9267953663934,2.3882046336063487
Residential building construction,EE112,25962.185,25958.388620532176,3.7963794678276277
Non-residential building construction,EE113,12069.334999999997,12065.785585001626,3.5494149983708936
Heavy and civil engineering construction,EE121,18228.875000000004,18226.443283727942,2.4317162720593295
Construction services,EE131,36052.385,36038.13322361183,14.251776388171873
Basic material wholesaling,FF111,8999.605000000003,8992.045432853827,7.559567146175995
Machinery and equipment wholesaling,FF112,9362.3,9354.157323665671,8.142676334328689
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2405.823952175247,2.521047824752478
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8777.10748599313,9.147514006869613
Other goods and commission based wholesaling,,9132.635,9124.21350571805,8.421494281950404
"Motor vehicle retailing, including parts",,3512.7449999999985,3506.8243229540053,5.920677045993218
Fuel retailing,GH112,975.1350000000001,973.4238675165554,1.7111324834446309
Supermarket and grocery stores,GH121,6052.865000000001,6041.822759573965,11.042240426035445
Specialised food retailing,GH122,1326.5349999999999,1324.126711479996,2.408288520003858
"Furniture, electrical, and hardware retailing",,6075.455,6064.520705463857,10.934294536143106
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3914.6624757189466,7.212524281053567
Department stores,GH133,2592.829999999999,2587.942621550451,4.887378449548479
Pharmaceutical and other store based retailing,GH134,3664.600000000001,3658.869840666856,5.730159333144729
Non-store and commission based retailing,GH135,1084.3199999999997,1082.580307713681,1.7396922863188289
Accommodation,GH211,5318.69,5313.851915478755,4.838084521245173
Food and beverage services,GH212,13513.839999999998,13491.984754569743,21.855245430255472
