Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6377.847828012533,14.467177798560442,1.9952984550156998,12.471879343544742
Printing,CC411,4104.283253074512,4095.0541201970273,9.229132877484517,1.7245044528251583,7.504628424659359
Petroleum and coal product manufacturing,CC511,5177.256549031539,5166.523411612216,10.733137419323612,2.375727967026478,8.357409452297134
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4457.435636287885,9.745073272905756,0.9485536558006515,8.796519617105105
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4609.4089264620725,10.090367862938365,0.9566197067653093,9.133748156173056
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4894.312038691922,10.566972771966903,1.3458831638108677,9.221089608156035
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4812.780175418888,10.658411138100746,3.5668318818425178,7.091579256258228
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5446.276865183607,11.539997119662075,2.258159917503235,9.28183720215884
Primary metal and metal product manufacturing,CC711,6215.36910062153,6200.766186032921,14.602914588609565,2.4385995481343343,12.16431504047523
Fabricated metal product manufacturing,CC721,6768.951426025005,6753.67603224704,15.275393777965292,5.732747424633089,9.542646353332202
Transport equipment manufacturing,CC811,3591.6965990462204,3584.084005221108,7.612593825112526,2.771314025156016,4.84127979995651
Electronic and electrical equipment manufacturing,CC821,5018.87770570352,5008.148578771205,10.729126932315012,4.884283842806781,5.844843089508231
Machinery manufacturing,CC822,5178.288168930157,5167.066400863239,11.22176806691732,3.7337368852977306,7.48803118161959
Furniture manufacturing,CC911,4321.171812279279,4311.961590642048,9.21022163723137,0.9932461522648737,8.216975484966497
Other manufacturing,CC912,3968.930709517216,3960.1780538777975,8.752655639418663,0.8617789779502232,7.89087666146844
Electricity generation and on-selling,DD111,9146.630553870371,9126.266706460909,20.363847409462323,7.50807859998713,12.855768809475194
Electricity transmission and distribution,DD112,6371.453640964036,6358.988429305358,12.465211658677617,5.056553713049652,7.408657945627965
Gas and water supply,,4765.451961286213,4754.763085264198,10.688876022015393,3.016472083691724,7.672403938323669
