Unnamed: 0,Final Consumption Expenditure - households
Horticulture and fruit growing,769.0760642822448
"Sheep, beef cattle, and grain farming",56.71065415794044
Dairy cattle farming,15.918780114509596
"Poultry, deer, and other livestock farming",259.6751006179378
Forestry and logging,24.873093928921243
Fishing and aquaculture,165.15734368803706
"Agriculture, forestry, and fishing support services",38.80202652911714
Coal mining,6.964466300097948
Oil and gas extraction,6.964466300097948
Metal ore and non-metallic mineral mining and quarrying,50.74111161499934
Exploration and other mining support services,0.0
Meat and meat product manufacturing,2329.1165155041854
Seafood processing,236.79185420333025
Dairy product manufacturing,1769.9693639820357
"Fruit, oil, cereal, and other food product manufacturing",3363.837222947309
Beverage and tobacco product manufacturing,2111.2282126868354
Textile and leather manufacturing,152.22333484499802
"Clothing, knitted products, and footwear manufacturing",84.56851935833222
Wood product manufacturing,151.22841108784115
"Pulp, paper, and converted paper product manufacturing",194.0101326455857
Printing,48.75126410068564
Petroleum and coal product manufacturing,1928.162241369975
Basic chemical and basic polymer manufacturing,115.41115583019457
Fertiliser and pesticide manufacturing,73.62435802960688
"Pharmaceutical, cleaning, and other chemical manufacturing",362.1522476050933
Polymer product and rubber product manufacturing,285.5431183040159
Non-metallic mineral product manufacturing,235.7969304461734
Primary metal and metal product manufacturing,14.923856357352747
Fabricated metal product manufacturing,231.817235417546
Transport equipment manufacturing,1054.6191825862606
Electronic and electrical equipment manufacturing,377.07610396244604
Machinery manufacturing,180.0812000453898
Furniture manufacturing,562.1319227936201
Other manufacturing,250.72078680352615
Electricity generation and on-selling,2599.7357774508487
Electricity transmission and distribution,901.4009239841059
Gas and water supply,264.64971940372203
Sewerage and drainage services,12.934008843039047
"Waste collection, treatment, and disposal services",235.7969304461734
Residential building construction,82.57867184401853
Non-residential building construction,15.918780114509596
Heavy and civil engineering construction,16.913703871666446
Construction services,311.41113599009395
Basic material wholesaling,1589.888163936646
Machinery and equipment wholesaling,1687.3906921380171
"Motor vehicle wholesaling, including parts",604.9136443513646
"Grocery, liquor, and tobacco product wholesaling",2041.5835496858558
Other goods and commission based wholesaling,1988.8525905565427
"Motor vehicle retailing, including parts",1867.4718921834071
Fuel retailing,543.22837140764
Supermarket and grocery stores,3577.7458307360316
Specialised food retailing,790.9643869396956
"Furniture, electrical, and hardware retailing",3502.131625192111
"Recreational, clothing, footwear, and personal accessory retailing",2318.17235417546
Department stores,1596.8526302367438
Pharmaceutical and other store based retailing,1763.9998214390946
Non-store and commission based retailing,550.1928377077379
Accommodation,1515.2688821498823
Food and beverage services,7223.146476958729
Road transport,752.1623604105785
Rail transport,87.55329062980277
Water transport,214.90353154587956
Air and space transport,2175.8982569020304
Other transport,187.04566634548775
Postal and courier services,84.56851935833222
Transport support services,408.9136641914653
Warehousing and storage services,29.847712714705494
Publishing (except internet and music publishing),166.1522674451939
Motion picture and sound recording activities,272.6091094609768
Broadcasting and internet publishing,640.7308996090112
Telecommunications services,2769.86773992467
"Internet service providers, web search portals and data processing services",224.85276911744805
Library and other information services,12.934008843039047
Banking and financing; financial asset investing,2469.4007652633013
Life insurance,1763.0048976819378
Health and general insurance,1707.2891672811543
Superannuation and individual pension services,296.4872796327412
Auxiliary finance and insurance services,225.8476928746049
Rental and hiring services (except real estate),534.2740575932283
Non-financial asset leasing,1.9898475143136996
Residential property operation,11060.5674083127
Non-residential property operation,1.9898475143136996
Real estate services,57.70557791509729
Owner-occupied property operation,31080.42324982283
"Scientific, architectural, and engineering services",172.121809988135
Legal and accounting services,363.14717136225016
"Advertising, market research, and management services",152.22333484499802
Veterinary and other professional services,466.6192421065625
Computer system design and related services,474.57863216381736
Travel agency and tour arrangement services,341.25884870479945
Employment and other administrative services,416.87305424872005
"Building cleaning, pest control, and other support services",120.38577461597882
Local government administration services,63.675120458038386
Central government administration services,330.3146873760741
Defence,79.59390057254798
"Public order, safety, and regulatory services",416.87305424872005
Preschool education,422.84259679166115
School education,823.7968709258716
Tertiary education,821.8070234115579
"Adult, community, and other education",344.24361997627
Hospitals,1314.2942832041986
Medical and other health care services,1837.6241794687016
Residential care services and social assistance,3830.456465053872
Heritage and artistic activities,339.26900119048577
Sport and recreation services,1427.7155915200794
Gambling activities,1576.954155093607
Repair and maintenance,1283.4516467323363
Personal services; domestic household staff,1872.4465109691912
"Religious services; civil, professional, and other interest groups",1221.7663737886114
