Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss
Horticulture and fruit growing,AA111,5865.591011198375,5810.753474367308,54.83753683106735,0.42810457516339867,2511.0863479313302,2487.610147523259,23.47620040807131,13.377619956851834,10.098580451219478,24.62707301291653
"Sheep, beef cattle, and grain farming",,9630.482842666717,9566.47639348269,64.00644918402703,0.4252711496746204,4095.566510422581,4068.346414191499,27.220096231081342,13.022650694742616,14.197445536338726,20.951711249154165
Dairy cattle farming,AA131,14625.243681225025,14545.839034070024,79.40464715500082,0.5005778676683039,7321.073296076959,7281.325087121155,39.748208955804365,19.18746006940202,20.56074888640234,30.40672006904836
"Poultry, deer, and other livestock farming",,1686.4452467721267,1671.29153987594,15.15370689618653,0.332035595105673,559.9598511251166,554.9282810377845,5.031570087332235,2.6013403693332657,2.4302297179989694,6.081955586001392
Forestry and logging,AA211,5865.201495251384,5837.153258185028,28.04823706635571,0.30035010134512624,1761.613863508339,1753.1895726629068,8.424290845432065,1.6290571690063174,6.795233676425747,3.419871313751044
Fishing and aquaculture,,1451.1437026816147,1443.087716545135,8.05598613647983,0.35635179153094465,517.1176582194419,514.2468931271588,2.8707650922830408,0.9929337844960343,1.8778313077870064,2.0662493382164295
"Agriculture, forestry, and fishing support services",,5362.168593683147,5307.609148852168,54.5594448309795,0.4612341772151899,2473.215419396578,2448.050738750644,25.164680645934375,19.02262029956506,6.1420603463693135,28.279367984620354
Coal mining,BB111,494.7948360294021,487.4984483656605,7.2963876637415845,0.41386138613861384,204.7764766933565,201.75678358103573,3.019693112320774,2.2226608427279277,0.7970322695928466,4.235101908341912
Oil and gas extraction,BB112,2975.2565397453927,2950.4036707031405,24.85286904225244,0.5343401654081266,1589.7990715791636,1576.5191854242598,13.279886154903679,3.2180081837793337,10.061877971124344,4.681583262086703
Metal ore and non-metallic mineral mining and quarrying,BB113,1810.9905680292068,1773.2004768292475,37.7900911999593,0.5344224037339557,967.8339325056905,947.6380611292828,20.195871376407652,15.949216501199462,4.24665487520819,23.631479347952393
Exploration and other mining support services,BB114,546.2507344798876,534.4066256634574,11.844108816430174,0.3818525519848771,208.58723698475853,204.0645338072181,4.5227031775404445,3.221529162484091,1.3011740150563536,6.532561581742616
Meat and meat product manufacturing,CC111,13122.800609269472,12904.38470269918,218.41590657029155,0.1862030730239189,2443.5058001261314,2402.8360871254376,40.66971300069345,27.594006020862487,13.075706979830962,114.80482334178869
Seafood processing,CC121,1697.4167766137036,1674.7714171655932,22.645359448110344,0.34279096699478867,581.8591382485887,574.0965135854264,7.762624663162319,5.639834750881858,2.122789912280461,11.41050713822995
Dairy product manufacturing,CC131,24943.432234856882,24754.436642051678,188.99559280520194,0.157542273564373,3929.6450247782223,3899.8702293940446,29.77479538417797,11.311222316627681,18.46357306755029,53.7151694647599
"Fruit, oil, cereal, and other food product manufacturing",,7824.742528301136,7631.872237693994,192.87029060714195,0.32566630156991605,2548.254959928665,2485.4436057039225,62.811354224742836,47.814096642462246,14.997257582280593,108.80117788336831
Beverage and tobacco product manufacturing,CC151,5037.7233904767445,4955.962887524371,81.76050295237424,0.2839689004072566,1430.5567717495976,1407.3393316294678,23.217440120129968,11.300820186834324,11.916619933295644,31.010647804393216
Textile and leather manufacturing,CC211,1435.9096764837916,1424.7366571635173,11.17301932027434,0.3102971665514858,445.55870403678125,442.09174779987507,3.4669562369061357,1.4674448310817778,1.999511405824358,3.503958977099673
"Clothing, knitted products, and footwear manufacturing",,354.1664367825826,351.39166889334524,2.774767889237346,0.4081145584725537,144.54047897332126,143.40805580134136,1.1324231719799194,0.6858729550333543,0.44655021694656494,1.3357688181740166
Wood product manufacturing,CC311,5793.184537644188,5671.01947839934,122.16505924484763,0.29581245526127414,1713.6961418621763,1677.5581957398188,36.13794612235739,28.41534940813771,7.722596714219682,63.92883593306053
"Pulp, paper, and converted paper product manufacturing",,3200.0346375973604,3153.6448030159186,46.38983458144189,0.19141323792486584,612.5289914542354,603.6493630102027,8.879628444032704,5.566077806570823,3.3135506374618804,20.99695198120533
Printing,CC411,1490.8929748565222,1460.4046783908595,30.48829646566261,0.44972826086956524,670.4967047248762,656.7852561784981,13.711448546378158,11.531794158680938,2.179654387697219,19.654204719347504
Petroleum and coal product manufacturing,CC511,2860.8728371749057,2851.486348693759,9.386488481146769,0.178191856452726,509.7842419313738,508.11164612334613,1.672595808027671,0.055952092250770365,1.6166437157769007,0.2454574847823885
Basic chemical and basic polymer manufacturing,CC521,1530.274861813226,1518.941202069792,11.333659743433632,0.2754374594944913,421.4950202661187,418.3733058196123,3.1217144465063478,1.3215460355736797,1.800168410932668,3.7479534754166224
Fertiliser and pesticide manufacturing,CC522,1313.8714105354852,1303.9981774676023,9.873233067882934,0.2481527093596059,326.04075027450773,323.59068073857367,2.450069535934004,1.0955213871995677,1.3545481487344362,2.85155903934139
"Pharmaceutical, cleaning, and other chemical manufacturing",,1601.109038254474,1577.8362585773066,23.27277967716724,0.32685904550499445,523.336971993277,515.73005344175,7.606918551526917,5.160342265845747,2.4465762856811697,12.25404746041314
Polymer product and rubber product manufacturing,CC531,3318.416615325536,3269.0660972433698,49.3505180821663,0.40855614973262033,1355.759515566155,1335.5970579111947,20.16245765495992,14.200912291823819,5.961545363136101,26.801960560718886
