Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,5580.914989481383,5556.542381405241,24.37260807614166
"Sheep, beef cattle, and grain farming",,7307.385555263903,7280.011243347672,27.374311916231818
Dairy cattle farming,AA131,9814.971126635333,9781.214764166984,33.756362468349835
"Poultry, deer, and other livestock farming",,3896.1622537709045,3879.8688374602175,16.293416310687007
Forestry and logging,AA211,6154.6287211576655,6127.613516392886,27.01520476477981
Fishing and aquaculture,,3259.91292930717,3243.6127435013805,16.300185805789624
"Agriculture, forestry, and fishing support services",,5329.339471312984,5307.538040382198,21.8014309307855
Coal mining,BB111,3379.539619511923,3364.7247392543354,14.814880257587447
Oil and gas extraction,BB112,3934.4141298404675,3918.11062210836,16.30350773210739
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3469.590567248538,14.34387737869747
Exploration and other mining support services,BB114,3863.9163064274953,3846.4225647541834,17.493741673311888
Meat and meat product manufacturing,CC111,7807.872340276065,7777.387862858495,30.484477417569906
Seafood processing,CC121,3441.895111583539,3425.511383037533,16.38372854600584
Dairy product manufacturing,CC131,11050.306045790578,11012.033838496034,38.27220729454348
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6277.734960489803,27.85043083560231
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5180.374422815026,22.070429491807772
Textile and leather manufacturing,CC211,4361.402196637127,4342.694347863098,18.707848774029117
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2250.3314121835188,10.171775124813848
Wood product manufacturing,CC311,5712.920351400422,5687.250669300114,25.66968210030791
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5143.2744819497075,23.454994411855296
Printing,CC411,3396.50995615045,3381.0694307823132,15.440525368136605
Petroleum and coal product manufacturing,CC511,2507.770600976977,2495.333319169729,12.437281807248382
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3603.6382927374034,15.697906841090571
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3112.2650146140213,13.976911228600784
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3640.904704461514,16.837985961515642
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3795.7885497271272,17.551434218686154
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4482.115719448416,20.23419147268669
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4066.7310358079085,19.591645610673822
Fabricated metal product manufacturing,CC721,5602.072300984654,5575.614543587302,26.457757397351997
Transport equipment manufacturing,CC811,2298.6975198464343,2287.7623217934015,10.935198053032764
Electronic and electrical equipment manufacturing,CC821,4251.52006086806,4231.694142229925,19.82591863813468
Machinery manufacturing,CC822,4124.652749991862,4105.161571053992,19.491178937870245
Furniture manufacturing,CC911,3341.4781811317125,3326.221256243036,15.256924888676622
Other manufacturing,CC912,2864.0239496262247,2850.7948793930336,13.229070233191123
Electricity generation and on-selling,DD111,8784.380433898667,8745.495643173186,38.88479072548034
Electricity transmission and distribution,DD112,6121.985588457431,6096.273486640027,25.71210181740389
Gas and water supply,,4416.894291855951,4397.676416884462,19.217874971489437
Sewerage and drainage services,DD122,3407.07870597061,3391.866922493432,15.21178347717796
"Waste collection, treatment, and disposal services",,3931.8375479309248,3913.682215764547,18.155332166377775
Residential building construction,EE112,12791.812634070011,12733.001968106648,58.810665963363135
Non-residential building construction,EE113,10467.140891864707,10418.853000113144,48.28789175156271
Heavy and civil engineering construction,EE121,10785.696953276474,10736.291610962115,49.40534231435959
Construction services,EE131,16088.464442958006,16014.253711402449,74.21073155555678
Basic material wholesaling,FF111,6507.27177430647,6477.233218942533,30.03855536393712
Machinery and equipment wholesaling,FF112,7085.705363409829,7052.990516961818,32.714846448011485
"Motor vehicle wholesaling, including parts",,3744.5574421967676,3727.69209638587,16.865345810897452
"Grocery, liquor, and tobacco product wholesaling",,7086.131683666181,7053.494154756497,32.63752890968408
Other goods and commission based wholesaling,,6853.1419169569535,6821.8751504341735,31.266766522780017
"Motor vehicle retailing, including parts",,4188.095273409625,4168.933972262721,19.161301146904407
Fuel retailing,GH112,3389.6439229361413,3374.57854078636,15.065382149781271
Supermarket and grocery stores,GH121,5770.264776196107,5744.124051814539,26.14072438156836
Specialised food retailing,GH122,3616.1746112265782,3599.970450731831,16.204160494747157
"Furniture, electrical, and hardware retailing",,5921.195584075819,5894.2336710599,26.96191301591898
"Recreational, clothing, footwear, and personal accessory retailing",,5375.19492643023,5350.615402960703,24.579523469526976
Department stores,GH133,4584.829673599537,4564.071172474596,20.758501124941176
Pharmaceutical and other store based retailing,GH134,5162.926641754008,5139.492841850358,23.43379990365065
Non-store and commission based retailing,GH135,4766.355429803441,4745.168105692911,21.187324110530426
Accommodation,GH211,5338.829570481774,5316.607949186413,22.22162129536082
Food and beverage services,GH212,8371.56347343329,8334.043405248543,37.52006818474729
Road transport,II111,6954.680917827564,6923.550551764268,31.130366063296606
Rail transport,II121,3627.7492477270503,3611.0930352610303,16.65621246601995
Water transport,II122,3782.8427568511843,3765.5939693055243,17.24878754565998
Air and space transport,II123,5047.72626252223,5024.760322526316,22.965939995914596
Other transport,II125,3184.597438957038,3170.911360023776,13.686078933261797
Postal and courier services,,4244.4553519812225,4224.96996610178,19.48538587944222
Transport support services,II132,7284.825310041723,7250.447083003933,34.378227037790566
Warehousing and storage services,II133,3883.0447932900956,3865.49020151121,17.554591778885424
Publishing (except internet and music publishing),JJ111,2928.421265152091,2915.569373583205,12.851891568886003
Motion picture and sound recording activities,JJ112,4523.354786378703,4503.3042338512505,20.050552527452055
Broadcasting and internet publishing,JJ113,4409.499910407114,4389.845928558632,19.653981848481635
Telecommunications services,JJ121,6806.759807218808,6775.777138425095,30.982668793713856
"Internet service providers, web search portals and data processing services",JJ122,3898.097178632409,3880.9675901505984,17.129588481810515
Library and other information services,JJ123,2003.131393170047,1993.9924964201923,9.138896749854666
Banking and financing; financial asset investing,,12481.92204187554,12430.396137639462,51.52590423607762
Life insurance,KK121,4439.597504625895,4420.273224201385,19.324280424510107
Health and general insurance,KK122,5855.188222857032,5826.093853955697,29.094368901334747
Superannuation and individual pension services,,7409.655817770211,7377.6994109634015,31.956406806809355
Auxiliary finance and insurance services,KK131,6666.605476397544,6637.569920033162,29.0355563643825
Rental and hiring services (except real estate),LL111,5616.368057875634,5591.101367853178,25.266690022455805
Non-financial asset leasing,LL112,3917.551159703842,3899.746503579467,17.804656124375015
Residential property operation,LL121,12357.156196740822,12301.435032319381,55.721164421440335
Non-residential property operation,LL122,12028.844737000622,11974.762041270487,54.08269573013422
Real estate services,LL123,5696.870568910277,5671.308711957647,25.561856952630478
Owner-occupied property operation,,26036.30545057952,26026.46814453322,9.837306046298181
"Scientific, architectural, and engineering services",,11129.412667604305,11074.479850631184,54.93281697312159
Legal and accounting services,MN112,7361.8766095990395,7328.657939971423,33.21866962761669
"Advertising, market research, and management services",,8755.501653331161,8717.049225422497,38.452427908663594
Veterinary and other professional services,MN114,2275.9524189173344,2265.9703697275318,9.982049189802638
Computer system design and related services,MN115,9836.156637165097,9792.296839583914,43.85979758118265
Travel agency and tour arrangement services,MN211,2679.787924710225,2668.1972899574234,11.590634752801634
Employment and other administrative services,MN212,7133.77264620027,7099.8780163198935,33.89462988037667
"Building cleaning, pest control, and other support services",,5329.3301607932935,5304.789028595019,24.54113219827468
Local government administration services,,4174.99186292357,4156.593346803852,18.398516119717897
Central government administration services,,8696.683899541467,8658.875040011753,37.80885952971403
Defence,OO212,2844.9501112380995,2833.456360659474,11.493750578625622
"Public order, safety, and regulatory services",,7465.0780135133045,7431.9207762036085,33.15723730969603
Preschool education,PP111,2845.4674252700115,2832.5215503762056,12.945874893805922
School education,PP112,7988.064543670838,7951.736676509105,36.32786716173359
Tertiary education,PP113,6841.151061959419,6810.681072240438,30.469989718981196
"Adult, community, and other education",,4342.199041926285,4322.867745997461,19.331295928824147
Hospitals,QQ111,10582.815158602843,10531.177401893601,51.63775670924224
Medical and other health care services,QQ112,9481.762348523787,9436.263172577865,45.499175945922616
Residential care services and social assistance,QQ113,6685.5324785029725,6654.208889241867,31.323589261105553
Heritage and artistic activities,RS111,3514.176814061115,3498.847104246415,15.329709814699982
Sport and recreation services,,4890.444121923231,4868.725252504671,21.718869418560644
Gambling activities,RS113,3653.6482586860675,3637.4309659797914,16.217292706276112
Repair and maintenance,RS211,5554.7789790926145,5529.665027354311,25.113951738303513
Personal services; domestic household staff,,4404.537219841176,4385.030221136469,19.506998704707257
"Religious services; civil, professional, and other interest groups",,5393.384360483926,5368.767663577041,24.6166969068845
