Description,NZSIOC,Original Output,Shocked Output,Loss
Horticulture and fruit growing,AA111,5580.914989481383,5553.225033903923,27.68995557745984
"Sheep, beef cattle, and grain farming",,7307.385555263903,7275.617398870355,31.768156393548452
Dairy cattle farming,AA131,9814.971126635333,9772.57407713763,42.39704949770385
"Poultry, deer, and other livestock farming",,3896.1622537709045,3877.7736941308467,18.388559640057792
Forestry and logging,AA211,6154.6287211576655,6123.916827607101,30.711893550564128
Fishing and aquaculture,,3259.91292930717,3241.7390241734884,18.17390513368173
"Agriculture, forestry, and fishing support services",,5329.339471312984,5303.3947305472175,25.944740765766255
Coal mining,BB111,3379.539619511923,3362.9999090146684,16.53971049725442
Oil and gas extraction,BB112,3934.4141298404675,3916.8235598054703,17.5905700349972
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3467.5348807855817,16.399563841653617
Exploration and other mining support services,BB114,3863.9163064274953,3844.534266608752,19.382039818743124
Meat and meat product manufacturing,CC111,7807.872340276065,7771.509207927664,36.36313234840145
Seafood processing,CC121,3441.895111583539,3423.53086685908,18.364244724458786
Dairy product manufacturing,CC131,11050.306045790578,11005.6216662917,44.684379498878116
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6274.896484011233,30.688907314171956
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5177.563098801696,24.881753505138477
Textile and leather manufacturing,CC211,4361.402196637127,4340.322134128232,21.080062508895026
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2249.218226831379,11.284960476953529
Wood product manufacturing,CC311,5712.920351400422,5684.196312656506,28.724038743916026
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5140.53670402414,26.192772337422866
Printing,CC411,3396.50995615045,3379.348879988912,17.16107616153795
Petroleum and coal product manufacturing,CC511,2507.770600976977,2493.238613970942,14.531987006035251
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3602.1252137092474,17.210985869246542
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3110.470018085535,15.77190775708732
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3639.1632343237197,18.579456099309937
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3794.428481634214,18.91150231159918
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4479.883939025098,22.465971896004703
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4062.9149288233184,23.4077525952639
Fabricated metal product manufacturing,CC721,5602.072300984654,5571.966614093688,30.105686890966354
Transport equipment manufacturing,CC811,2298.6975198464343,2286.4603275882914,12.23719225814284
Electronic and electrical equipment manufacturing,CC821,4251.52006086806,4229.8468206023645,21.673240265695313
Machinery manufacturing,CC822,4124.652749991862,4102.891797764532,21.760952227329653
Furniture manufacturing,CC911,3341.4781811317125,3324.512987414789,16.965193716923295
Other manufacturing,CC912,2864.0239496262247,2849.301258415109,14.722691211115944
Electricity generation and on-selling,DD111,8784.380433898667,8740.556337013688,43.824096884978644
Electricity transmission and distribution,DD112,6121.985588457431,6092.113891848007,29.871696609423452
Gas and water supply,,4416.894291855951,4395.370009501753,21.524282354198476
Sewerage and drainage services,DD122,3407.07870597061,3390.1539417793283,16.92476419128161
"Waste collection, treatment, and disposal services",,3931.8375479309248,3911.9074762259916,19.930071704933198
Residential building construction,EE112,12791.812634070011,12725.208278217078,66.60435585293271
Non-residential building construction,EE113,10467.140891864707,10412.960832997456,54.18005886725041
Heavy and civil engineering construction,EE121,10785.696953276474,10730.029021238544,55.66793203792986
