Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Seafood processing,CC121,4319.5783650373405,4299.016785712103,20.56157932523733,0.34279096699478867,1480.7124447609183,1473.6641211010804,7.048323659838158,1.5901028866399585,5.4582207731981995
Dairy product manufacturing,CC131,13868.134087467173,13820.102467312521,48.03162015465206,0.157542273564373,2184.81737423516,2177.2503635930157,7.567010642144247,2.514349543960496,5.052661098183751
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7878.557375414702,34.9522906986809,0.32566630156991605,2577.1634254009264,2565.7806421576906,11.382783243235984,5.266118123689356,6.116665119546628
Beverage and tobacco product manufacturing,CC151,6529.068289645076,6501.369900632857,27.69838901221875,0.2839689004072566,1854.0523428943998,1846.1868618235476,7.865481070852197,2.089497970131431,5.775983100720765
Textile and leather manufacturing,CC211,5473.559756779595,5450.081406568188,23.47835021140654,0.3102971665514858,1698.430083478948,1691.144817933045,7.285265545902927,0.9493040426593161,6.3359615032436105
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2824.165922290316,12.765577781641378,0.4081145584725537,1157.7930465687461,1152.5832284287446,5.209818140001612,0.43006989517545346,4.779748244826159
Wood product manufacturing,CC311,7169.715041007529,7137.499589971642,32.215451035886424,0.29581245526127414,2120.8910098041238,2111.361278135849,9.52973166827492,3.322210667740387,6.207521000534533
"Pulp, paper, and converted paper product manufacturing",,6484.245492833761,6454.809474846882,29.436017986878394,0.19141323792486584,1241.1704252830277,1235.5359817685446,5.634443514482984,0.8424187783283699,4.792024736154615
Printing,CC411,4262.619994968814,4243.242135631803,19.377859337011436,0.44972826086956524,1917.0206770851598,1908.3059061061504,8.71477097900922,1.782903699771916,6.931867279237305
Petroleum and coal product manufacturing,CC511,3147.252104226106,3131.6433155580094,15.608788668096718,0.178191856452726,560.8146951767982,558.0333361470517,2.781359029746427,1.5704171457380018,1.210941884008425
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4522.566057385441,19.700873085568666,0.2754374594944913,1251.110463674776,1245.6841052422635,5.426358432512433,0.6392316179549071,4.787126814557526
Fertiliser and pesticide manufacturing,CC522,3923.4336169324906,3905.8925933405962,17.541023591893982,0.2481527093596059,973.6106820343556,969.2578295050863,4.352852529269258,0.648358428787792,3.704494100481466
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.467076480902,4569.3354040992,21.131672381702128,0.32685904550499445,1500.4356870406498,1493.5286087760426,6.90707826460741,1.41895961142776,5.488118653179651
Polymer product and rubber product manufacturing,CC531,4785.741679851995,4763.714629907544,22.02704994445112,0.40855614973262033,1955.244194335254,1946.2449076199807,8.99928671527308,3.8747336619617183,5.12455305331136
Non-metallic mineral product manufacturing,CC611,5650.449138205983,5625.055227907761,25.393910298221794,0.3544891640866873,2003.0229917169816,1994.0211256824725,9.001866034508962,2.397307407401356,6.6045586271076075
Primary metal and metal product manufacturing,CC711,5128.33496518032,5103.747449938925,24.587515241395646,0.1661529840291398,852.088157565685,848.0028685384651,4.085289027219842,0.8300348610572343,3.255254166162608
Fabricated metal product manufacturing,CC721,7030.60073773574,6997.396252202064,33.20448553367675,0.3606653049314269,2535.693758926576,2523.7180530264814,11.975705900094681,6.223422354721251,5.752283545373429
Transport equipment manufacturing,CC811,2884.8653874072747,2871.1417138507186,13.723673556556117,0.3175754739059209,916.1624925606533,911.8041904271998,4.3583021334534635,2.7391703648509127,1.619131768602551
Electronic and electrical equipment manufacturing,CC821,5335.6576763894145,5310.776148498556,24.881527890859022,0.5041161178509532,2689.79103400307,2677.2478547565293,12.543179246540067,7.310344942627635,5.2328343039124325
Machinery manufacturing,CC822,5176.439201239787,5151.977771672759,24.461429567027157,0.44090796940537874,2282.3332969690346,2271.548057729884,10.785239239150636,4.871492864220995,5.913746374929642
Furniture manufacturing,CC911,4193.555117320298,4174.4076765850095,19.14744073528916,0.40271493212669685,1688.8072644412064,1681.0963041450946,7.7109602961119235,1.2775907759906495,6.433369520121274
Other manufacturing,CC912,3594.350056780912,3577.747573638257,16.602483142654858,0.3849056603773585,1383.4856822326528,1377.0952924947253,6.390389737927531,0.7581580628471128,5.632231675080418
Electricity generation and on-selling,DD111,11024.397444542825,10975.597032182348,48.80041236047783,0.26820146276595747,2956.7595207396694,2943.671178761007,13.088341978662065,8.744039242383597,4.344302736278468
Electricity transmission and distribution,DD112,7683.091913514075,7650.823225733233,32.26868778084188,0.6158536585365854,4731.660263810497,4711.787474384491,19.87278942600628,9.338963151766272,10.533826274240008
Gas and water supply,,5543.202336279219,5519.08390319,24.11843308921924,0.414780292942743,2299.2110888827915,2289.2072381407256,10.003850742066303,3.2406350953983356,6.763215646667968
Sewerage and drainage services,DD122,4275.883775993115,4256.792987729256,19.09078826385834,0.4909090909090909,2099.070217305711,2089.698375794362,9.371841511348638,1.059858820243087,8.31198269110555
"Waste collection, treatment, and disposal services",,4934.456122653311,4911.671180784506,22.784941868804104,0.4132505175983437,2039.1665467527964,2029.750657732065,9.41588902073147,3.316877295920842,6.0990117248106275
Residential building construction,EE112,16053.724855757862,15979.917469973841,73.80738578402072,0.21897810218978103,3515.414201990773,3499.252000724199,16.16220126657388,6.7822071649796305,9.379994101594251
Non-residential building construction,EE113,13136.261819290206,13075.660515141995,60.6013041482112,0.14383775351014041,1889.4903896077333,1880.77363415927,8.716755448463452,1.2383358857418794,7.478419562721573
Heavy and civil engineering construction,EE121,13536.049676361974,13474.045971757452,62.003704604521275,0.33009975920192636,4468.246738712401,4447.779330752821,20.467407959579848,10.68145276764163,9.785955191938216
Construction services,EE131,20191.022875912295,20097.88840781007,93.13446810222375,0.41023945426701935,8283.154205707164,8244.946772339457,38.20743336770539,32.32069328934057,5.886740078364819
Basic material wholesaling,FF111,8166.62607675462,8128.927689772879,37.69838698174108,0.3844652070840887,3139.7835857777836,3125.2898676201125,14.4937181576712,6.519674109735807,7.974044047935392
Machinery and equipment wholesaling,FF112,8892.560231079335,8851.503098787081,41.05713229225441,0.560219957081545,4981.78971100032,4958.788686109661,23.001024890658083,13.873998420792656,9.127026469865426
"Motor vehicle wholesaling, including parts",,4699.419589956943,4678.253580964267,21.1660089926763,0.5709812108559499,2683.2802877937866,2671.1948943501607,12.085393443626238,3.461570383859858,8.62382305976638
"Grocery, liquor, and tobacco product wholesaling",,8893.095263001056,8852.135164219402,40.960098781653514,0.37330478229835834,3319.8349911131713,3304.5443903545665,15.290600758604418,6.100058578257259,9.19054218034716
Other goods and commission based wholesaling,,8600.693105780976,8561.453313794887,39.23979198608892,0.5365485023358065,4614.689004956679,4593.634953334575,21.05405162210459,12.205245238792301,8.848806383312292
"Motor vehicle retailing, including parts",,5256.05956812908,5232.012135189714,24.047432939365027,0.6439285714285714,3384.526929048832,3369.0420999096623,15.484829139169694,6.877660393352369,8.607168745817324
Fuel retailing,GH112,4254.003123284857,4235.096068686881,18.907054597975495,0.6104725415070242,2596.9520982505255,2585.4098605776876,11.54223767283817,1.6529529964654457,9.889284676372723
Supermarket and grocery stores,GH121,7241.682294126113,7208.875685027246,32.80660909886829,0.6678408619975135,4836.291345621315,4814.381751521511,21.909594099803666,12.484422400230956,9.425171699572712
Specialised food retailing,GH122,4538.299137089355,4517.962915668448,20.33622142090768,0.5872420262664165,2665.0799810674825,2653.137697193666,11.942283873816331,2.1963879980600116,9.74589587575632
"Furniture, electrical, and hardware retailing",,7431.100458015152,7397.263257180174,33.83720083497832,0.6553147574819401,4869.709794468134,4847.535777409092,22.174017059041518,12.04982249097982,10.124194568061696
"Recreational, clothing, footwear, and personal accessory retailing",,6745.869632669938,6715.022330715682,30.847301954256352,0.533974358974359,3602.1214128295246,3585.649744542412,16.471668287112525,5.268407834237215,11.203260452875313
Department stores,GH133,5753.961240367419,5727.909321455618,26.051918911801174,0.5792007703418391,3332.698782937893,3317.609491435295,15.08929150259837,4.10993100390612,10.979360498692248
Pharmaceutical and other store based retailing,GH134,6479.47293540128,6450.063516522198,29.409418879081564,0.5206696276050564,3373.664760352426,3358.3521691765736,15.312591175852514,4.696248521944739,10.616342653907774
Non-store and commission based retailing,GH135,5981.776064403319,5955.185972644603,26.590091758715683,0.46889400921658986,2804.818961073906,2792.351026343725,12.467934730181202,1.0297700930833058,11.438164637097897
Accommodation,GH211,6700.231110954625,6672.342976228948,27.888134725677826,0.5093226339391078,3412.579357432164,3398.3752991980336,14.204058234130928,5.220280535565685,8.983777698565243
Food and beverage services,GH212,10506.312159158779,10459.22447358692,47.08768557185784,0.45179268066134126,4746.674934251189,4725.401062560541,21.273871690648015,12.64775506731674,8.626116623331274
Road transport,II111,8728.124551873592,8689.055942464156,39.06860940943724,0.4003602076491154,3494.393757975454,3478.7522413997294,15.641516575724475,9.402236627103584,6.239279948620893
