Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,7004.048311799139,6955.502617034438,48.54569476470117
"Sheep, beef cattle, and grain farming",,9170.768871856195,9136.758342383506,34.010529472689754
Dairy cattle farming,AA131,12317.788763927345,12282.900865737363,34.88789818998173
"Poultry, deer, and other livestock farming",,4889.683628482485,4866.256831295622,23.426797186863038
Forestry and logging,AA211,7724.059045052872,7691.048715452505,33.01032960036691
Fishing and aquaculture,,4091.190726280497,4070.4262007263287,20.76452555416835
"Agriculture, forestry, and fishing support services",,6688.321036497793,6638.590504177496,49.73053232029695
Coal mining,BB111,4241.3222224874635,4221.7347477114645,19.58747477599875
Oil and gas extraction,BB112,4937.689732949785,4921.989430816775,15.700302133010103
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4350.079541082218,22.258186924961073
Exploration and other mining support services,BB114,4849.214964566506,4825.588046630979,23.626917935526905
Meat and meat product manufacturing,CC111,9798.87978704646,9746.936111938685,51.94367510777527
Seafood processing,CC121,4319.5783650373405,4299.538042228964,20.040322808377386
Dairy product manufacturing,CC131,13868.134087467164,13831.836026451881,36.298061015282514
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7868.9784118998505,44.53125421353223
Beverage and tobacco product manufacturing,CC151,6529.068289645078,6500.344387259955,28.72390238512375
Textile and leather manufacturing,CC211,5473.559756779593,5448.217971285065,25.341785494528448
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2823.383057593763,13.548442478194104
Wood product manufacturing,CC311,7169.7150410075255,7134.145317670957,35.569723336567904
"Pulp, paper, and converted paper product manufacturing",,6484.245492833766,6454.546371357048,29.699121476717693
Printing,CC411,4262.619994968813,4243.580325572248,19.039669396565888
Petroleum and coal product manufacturing,CC511,3147.252104226105,3140.1203763093495,7.1317279167556595
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4527.191958701144,15.074971769864726
Fertiliser and pesticide manufacturing,CC522,3923.433616932489,3906.464276745695,16.969340186793957
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.4670764809025,4567.242967897043,23.224108583859525
Polymer product and rubber product manufacturing,CC531,4785.741679851996,4763.138637934655,22.603041917340896
Non-metallic mineral product manufacturing,CC611,5650.449138205982,5624.00510273313,26.44403547285171
Primary metal and metal product manufacturing,CC711,5128.334965180321,5107.46302409012,20.871941090201602
Fabricated metal product manufacturing,CC721,7030.60073773574,6994.710187069431,35.89055066630948
Transport equipment manufacturing,CC811,2884.8653874072747,2868.9946959768495,15.87069143042521
Electronic and electrical equipment manufacturing,CC821,5335.657676389415,5312.137786451329,23.51988993808659
Machinery manufacturing,CC822,5176.439201239787,5147.71084211248,28.728359127306273
Furniture manufacturing,CC911,4193.555117320298,4173.0583259725245,20.496791347773698
Other manufacturing,CC912,3594.3500567809133,3577.1596063875263,17.190450393387266
Electricity generation and on-selling,DD111,11024.39744454283,11003.365261946768,21.032182596061546
Electricity transmission and distribution,DD112,7683.091913514073,7663.558963356553,19.53295015751948
Gas and water supply,,5543.202336279218,5527.726092236993,15.4762440422239
Sewerage and drainage services,DD122,4275.883775993117,4256.548713547144,19.33506244597212
"Waste collection, treatment, and disposal services",,4934.456122653308,4909.311440446683,25.144682206624967
Residential building construction,EE112,16053.724855757862,15954.949339707668,98.77551605019472
Non-residential building construction,EE113,13136.261819290208,13054.912405644222,81.34941364598589
