Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,5580.914989481383,5553.225033903923,27.68995557745984,11.695725265185956,15.994230312273885
"Sheep, beef cattle, and grain farming",,7307.385555263903,7275.617398870355,31.768156393548452,15.696599964710913,16.07155642883754
Dairy cattle farming,AA131,9814.971126635333,9772.57407713763,42.39704949770385,28.26608911060339,14.130960387100458
"Poultry, deer, and other livestock farming",,3896.1622537709045,3877.7736941308467,18.388559640057792,2.276597630008837,16.111962010048956
Forestry and logging,AA211,6154.6287211576655,6123.916827607101,30.711893550564128,7.958206616019652,22.753686934544476
Fishing and aquaculture,,3259.91292930717,3241.7390241734884,18.17390513368173,4.207846762217855,13.966058371463873
"Agriculture, forestry, and fishing support services",,5329.339471312984,5303.3947305472175,25.944740765766255,10.945287994354203,14.999452771412052
Coal mining,BB111,3379.539619511923,3362.9999090146684,16.53971049725442,0.2801945652360871,16.25951593201833
Oil and gas extraction,BB112,3934.4141298404675,3916.8235598054703,17.5905700349972,4.885479452054824,12.705090582942375
Metal ore and non-metallic mineral mining and quarrying,BB113,3483.9344446272353,3467.5348807855817,16.399563841653617,3.2639068628002406,13.135656978853376
Exploration and other mining support services,BB114,3863.9163064274953,3844.534266608752,19.382039818743124,0.6534276792908997,18.728612139452224
Meat and meat product manufacturing,CC111,7807.872340276065,7771.509207927664,36.36313234840145,11.45701999985522,24.90611234854623
Seafood processing,CC121,3441.895111583539,3423.53086685908,18.364244724458786,3.694271452185717,14.669973272273069
Dairy product manufacturing,CC131,11050.306045790578,11005.6216662917,44.684379498878116,12.568871353198574,32.11550814567954
"Fruit, oil, cereal, and other food product manufacturing",,6305.585391325405,6274.896484011233,30.688907314171956,12.894514061202244,17.794393252969712
Beverage and tobacco product manufacturing,CC151,5202.444852306834,5177.563098801696,24.881753505138477,6.654232494565122,18.227521010573355
Textile and leather manufacturing,CC211,4361.402196637127,4340.322134128232,21.080062508895026,2.504428110442859,18.575634398452166
"Clothing, knitted products, and footwear manufacturing",,2260.5031873083326,2249.218226831379,11.284960476953529,0.9291532152517163,10.355807261701813
Wood product manufacturing,CC311,5712.920351400422,5684.196312656506,28.724038743916026,8.305204045774644,20.41883469814138
"Pulp, paper, and converted paper product manufacturing",,5166.729476361563,5140.53670402414,26.192772337422866,3.4323038814706024,22.760468455952264
Printing,CC411,3396.50995615045,3379.348879988912,17.16107616153795,3.368225720428427,13.792850441109522
Petroleum and coal product manufacturing,CC511,2507.770600976977,2493.238613970942,14.531987006035251,8.344783610134527,6.187203395900724
Basic chemical and basic polymer manufacturing,CC521,3619.336199578494,3602.1252137092474,17.210985869246542,1.832387232740757,15.378598636505785
Fertiliser and pesticide manufacturing,CC522,3126.241925842622,3110.470018085535,15.77190775708732,2.076584871056639,13.69532288603068
"Pharmaceutical, cleaning, and other chemical manufacturing",,3657.7426904230297,3639.1632343237197,18.579456099309937,3.542375949604434,15.037080149705503
Polymer product and rubber product manufacturing,CC531,3813.3399839458134,3794.428481634214,18.91150231159918,7.535967403446421,11.375534908152758
Non-metallic mineral product manufacturing,CC611,4502.3499109211025,4479.883939025098,22.465971896004703,5.547345201553981,16.918626694450722
Primary metal and metal product manufacturing,CC711,4086.3226814185823,4062.9149288233184,23.4077525952639,5.715221769176878,17.692530826087022
Fabricated metal product manufacturing,CC721,5602.072300984654,5571.966614093688,30.105686890966354,13.823319198856098,16.282367692110256
Transport equipment manufacturing,CC811,2298.6975198464343,2286.4603275882914,12.23719225814284,7.43594417180293,4.8012480863399105
Electronic and electrical equipment manufacturing,CC821,4251.52006086806,4229.8468206023645,21.673240265695313,11.941566976578088,9.731673289117225
Machinery manufacturing,CC822,4124.652749991862,4102.891797764532,21.760952227329653,9.552006281169042,12.208945946160611
Furniture manufacturing,CC911,3341.4781811317125,3324.512987414789,16.965193716923295,2.7164929977077463,14.248700719215549
Other manufacturing,CC912,2864.0239496262247,2849.301258415109,14.722691211115944,1.8036569564700926,12.919034254645851
Electricity generation and on-selling,DD111,8784.380433898667,8740.556337013688,43.824096884978644,16.201625483384305,27.62247140159434
Electricity transmission and distribution,DD112,6121.985588457431,6092.113891848007,29.871696609423452,13.722018745494097,16.149677863929355
Gas and water supply,,4416.894291855951,4395.370009501753,21.524282354198476,5.949106347639145,15.575176006559332
Sewerage and drainage services,DD122,3407.07870597061,3390.1539417793283,16.92476419128161,1.8320857301723663,15.092678461109244
"Waste collection, treatment, and disposal services",,3931.8375479309248,3911.9074762259916,19.930071704933198,5.006634325440132,14.923437379493066
Residential building construction,EE112,12791.812634070011,12725.208278217078,66.60435585293271,23.793924088569838,42.810431764362875
Non-residential building construction,EE113,10467.140891864707,10412.960832997456,54.18005886725041,7.141966348805454,47.038092518444955
