Description,NZSIOC,Direct Loss,Indirect Loss,Loss
Horticulture and fruit growing,AA111,9.896509240558316,18.54678027037471,28.443289510933027
"Sheep, beef cattle, and grain farming",,15.679647510906761,19.105994267052665,34.78564177795943
Dairy cattle farming,AA131,28.290726134507167,16.747697129708286,45.03842326421545
"Poultry, deer, and other livestock farming",,2.2786701715575646,21.09089063231488,23.369560803872446
Forestry and logging,AA211,7.962886881617351,25.3856050616821,33.34849194329945
Fishing and aquaculture,,4.574340180367585,18.36346323038822,22.937803410755805
"Agriculture, forestry, and fishing support services",,9.821899715688687,17.548555284825397,27.370455000514085
Coal mining,BB111,0.2801945652360871,20.38227526120798,20.662469826444067
Oil and gas extraction,BB112,4.885479452054824,15.361693042908882,20.247172494963706
Metal ore and non-metallic mineral mining and quarrying,BB113,2.430849762589901,15.819201371690156,18.250051134280056
Exploration and other mining support services,BB114,0.5688635428302575,22.237696499642226,22.806560042472483
Meat and meat product manufacturing,CC111,11.445010125296449,28.413707351065113,39.85871747636156
Seafood processing,CC121,3.694271452185717,18.69122102835979,22.38549248054551
Dairy product manufacturing,CC131,12.510523271800594,35.700942674590806,48.2114659463914
"Fruit, oil, cereal, and other food product manufacturing",,13.1531081874532,22.895851487658092,36.04895967511129
Beverage and tobacco product manufacturing,CC151,6.251050167447147,23.657591698634633,29.90864186608178
Textile and leather manufacturing,CC211,2.466148526432562,22.887518847580168,25.35366737401273
"Clothing, knitted products, and footwear manufacturing",,0.9116651869237842,15.534406542720006,16.44607172964379
Wood product manufacturing,CC311,8.351925611061006,24.10992934857245,32.461854959633456
"Pulp, paper, and converted paper product manufacturing",,3.1954027228315454,28.549020033901456,31.744422756733
Printing,CC411,3.3711984686248115,17.145615603815145,20.516814072439956
Petroleum and coal product manufacturing,CC511,8.344783610134527,19.553123919727568,27.897907529862096
Basic chemical and basic polymer manufacturing,CC521,1.7673689002125457,19.317010358212997,21.084379258425543
Fertiliser and pesticide manufacturing,CC522,2.076584871056639,20.92114534080929,22.997730211865928
"Pharmaceutical, cleaning, and other chemical manufacturing",,3.476174594330587,20.938935394622604,24.41510998895319
Polymer product and rubber product manufacturing,CC531,7.350989251565352,16.225214295080605,23.576203546645957
Non-metallic mineral product manufacturing,CC611,5.3564694487542965,21.469695510327938,26.826164959082234
Primary metal and metal product manufacturing,CC711,5.108555600518798,28.07253677620008,33.18109237671888
Fabricated metal product manufacturing,CC721,13.647195677909167,21.93016401221894,35.577359690128105
Transport equipment manufacturing,CC811,7.367839006265285,11.249300973777054,18.61713998004234
Electronic and electrical equipment manufacturing,CC821,11.960314291897703,13.450298747630768,25.41061303952847
Machinery manufacturing,CC822,9.30361022688271,17.345065452733024,26.648675679615735
Furniture manufacturing,CC911,2.6736058399045532,19.009877839618753,21.683483679523306
Other manufacturing,CC912,1.7892120521719903,18.28476829935056,20.07398035152255
Electricity generation and on-selling,DD111,16.018982835400493,29.05340394535142,45.07238678075191
Electricity transmission and distribution,DD112,13.384138428262304,17.185274936924543,30.569413365186847
Gas and water supply,,5.949106347639145,17.11258401747432,23.061690365113463
Sewerage and drainage services,DD122,1.8320857301723663,17.195811774965932,19.0278975051383
"Waste collection, treatment, and disposal services",,4.892872735948458,17.309551383513735,22.202424119462194
Residential building construction,EE112,23.1211612627867,48.97100670442887,72.09216796721557
Non-residential building construction,EE113,7.095213963219749,54.264959560428224,61.36017352364797
Heavy and civil engineering construction,EE121,24.3936941601778,35.927627129222856,60.32132128940066
Construction services,EE131,60.66976524362326,27.157545941288845,87.8273111849121
Basic material wholesaling,FF111,14.320909927702814,22.09980531763631,36.420715245339125
Machinery and equipment wholesaling,FF112,20.450565596876004,16.439434224204888,36.88999982108089
"Motor vehicle wholesaling, including parts",,5.466364927444829,15.397356364820098,20.863721292264927
"Grocery, liquor, and tobacco product wholesaling",,13.94506851584174,24.986183799389437,38.93125231523118
Other goods and commission based wholesaling,,18.595927198058234,16.85625265915496,35.452179857213196
"Motor vehicle retailing, including parts",,9.761104358392004,13.638748739547736,23.39985309793974
Fuel retailing,GH112,2.3907621198523543,16.878335606570033,19.269097726422387
Supermarket and grocery stores,GH121,17.228685563894487,13.590834126439859,30.819519690334346
Specialised food retailing,GH122,3.3342687608435426,16.299481902792877,19.63375066363642
"Furniture, electrical, and hardware retailing",,16.783105423804955,14.678660250507164,31.46176567431212
"Recreational, clothing, footwear, and personal accessory retailing",,8.752902988781216,20.09149054320801,28.844393531989226
Department stores,GH133,6.362520379402213,17.995120170990504,24.357640550392716
Pharmaceutical and other store based retailing,GH134,7.923673826205231,20.11016330133134,28.03383712753657
Non-store and commission based retailing,GH135,1.850130275753827,23.437034212044864,25.28716448779869
Accommodation,GH211,10.015074732629273,18.32150390223569,28.336578634864964
Food and beverage services,GH212,24.890002270099103,20.234010653520272,45.124012923619375
Road transport,II111,19.687311925499216,20.10526736674865,39.792579292247865
Rail transport,II121,0.5626179900240516,26.181339114058204,26.743957104082256
Water transport,II122,0.9576068065068171,21.240868343208888,22.198475149715705
Air and space transport,II123,8.905320528001766,21.582784858960395,30.48810538696216
Other transport,II125,2.153835985673652,16.493494652125662,18.647330637799314
Postal and courier services,,5.316221823814999,18.469342436674992,23.78556426048999
Transport support services,II132,26.534254487908584,12.898741310171317,39.4329957980799
Warehousing and storage services,II133,2.9645052505665035,18.672447496397695,21.636952746964198
Publishing (except internet and music publishing),JJ111,3.936152209424222,12.793006509913425,16.729158719337647
Motion picture and sound recording activities,JJ112,3.0656349354620716,22.454700685153625,25.520335620615697
Broadcasting and internet publishing,JJ113,2.1449195777659043,23.984211354625586,26.12913093239149
Telecommunications services,JJ121,18.70334909550502,15.96266688379319,34.66601597929821
"Internet service providers, web search portals and data processing services",JJ122,2.9847333856847627,16.638437700809277,19.62317108649404
Library and other information services,JJ123,1.4543889083500972,9.634137795772972,11.088526704123069
Banking and financing; financial asset investing,,41.74947941987739,16.306293359637493,58.05577277951488
Life insurance,KK121,1.8332208456340595,23.489663379590638,25.322884225224698
Health and general insurance,KK122,15.786834192330844,17.16411011412174,32.950944306452584
Superannuation and individual pension services,,0.07232876712328817,41.89591930350547,41.96824807062876
Auxiliary finance and insurance services,KK131,17.42704074215908,15.646534645992688,33.07357538815177
Rental and hiring services (except real estate),LL111,14.864279401109343,14.916319937548906,29.78059933865825
Non-financial asset leasing,LL112,2.5420471270819007,21.214104025377196,23.756151152459097
Residential property operation,LL121,49.76948129456105,12.74734834938863,62.51682964394968
Non-residential property operation,LL122,38.36974009653113,22.747257100764728,61.11699719729586
Real estate services,LL123,11.021920114774275,18.272182071483712,29.294102186257987
Owner-occupied property operation,,0.0,11.794651984844677,11.794651984844677
"Scientific, architectural, and engineering services",,40.675736256213895,19.712430282658715,60.38816653887261
Legal and accounting services,MN112,27.351558817578734,10.393168964372308,37.74472778195104
"Advertising, market research, and management services",,26.66460077078409,17.302477969396932,43.96707874018102
Veterinary and other professional services,MN114,4.244570563828006,7.939660609894759,12.184231173722765
Computer system design and related services,MN115,34.781851877130975,13.082389001703632,47.86424087883461
Travel agency and tour arrangement services,MN211,2.902374635639376,11.265162931536338,14.167537567175714
Employment and other administrative services,MN212,17.639883104426644,21.093071305902868,38.73295441032951
"Building cleaning, pest control, and other support services",,11.505327424903953,18.319360721890916,29.82468814679487
Local government administration services,,8.298522947564152,13.78783882398534,22.08636177154949
Central government administration services,,23.846672435624896,19.42526684029417,43.27193927591907
Defence,OO212,6.2397370415883415,8.211183616947892,14.450920658536234
"Public order, safety, and regulatory services",,24.942461288661434,12.817328936334889,37.75979022499632
Preschool education,PP111,6.827204300070207,8.335801790446112,15.163006090516319
