Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,7004.048311799134,6920.288520104072,83.7597916950626
"Sheep, beef cattle, and grain farming",,9170.768871856199,9064.852903512528,105.91596834366888
Dairy cattle farming,AA131,12317.788763927343,12175.575172923309,142.2135910040334
"Poultry, deer, and other livestock farming",,4889.683628482485,4831.350812567324,58.33281591516006
Forestry and logging,AA211,7724.05904505287,7632.819086341326,91.23995871154361
Fishing and aquaculture,,4091.190726280498,4042.2309607907177,48.95976548978049
"Agriculture, forestry, and fishing support services",,6688.321036497794,6609.944761959978,78.3762745378164
Coal mining,BB111,4241.322222487463,4190.585461308127,50.73676117933573
Oil and gas extraction,BB112,4937.689732949786,4878.8497457011945,58.83998724859184
Metal ore and non-metallic mineral mining and quarrying,BB113,4372.33772800718,4320.165938418592,52.171789588587615
Exploration and other mining support services,BB114,4849.214964566506,4790.574732876579,58.64023168992671
Meat and meat product manufacturing,CC111,9798.87978704646,9684.54425592685,114.33553111961076
Seafood processing,CC121,4319.5783650373405,4267.84218145629,51.73618358105094
Dairy product manufacturing,CC131,13868.134087467173,13706.685572128083,161.44851533909164
"Fruit, oil, cereal, and other food product manufacturing",,7913.509666113383,7818.845619570691,94.66404654269125
Beverage and tobacco product manufacturing,CC151,6529.068289645076,6450.617223659398,78.451065985678
Textile and leather manufacturing,CC211,5473.559756779595,5408.248562003138,65.31119477645562
"Clothing, knitted products, and footwear manufacturing",,2836.931500071957,2802.533197268086,34.39830280387115
Wood product manufacturing,CC311,7169.715041007529,7084.0613160088305,85.65372499869885
"Pulp, paper, and converted paper product manufacturing",,6484.245492833761,6406.7386502437585,77.5068425900019
Printing,CC411,4262.619994968814,4211.141723234946,51.47827173386866
Petroleum and coal product manufacturing,CC511,3147.252104226106,3110.1974393110945,37.05466491501163
Basic chemical and basic polymer manufacturing,CC521,4542.26693047101,4487.748541863688,54.518388607321604
Fertiliser and pesticide manufacturing,CC522,3923.4336169324906,3876.4258871699208,47.00772976256944
"Pharmaceutical, cleaning, and other chemical manufacturing",,4590.467076480902,4535.431388604118,55.035687876783435
Polymer product and rubber product manufacturing,CC531,4785.741679851995,4728.2830320333715,57.458647818624115
Non-metallic mineral product manufacturing,CC611,5650.449138205983,5582.5943825877475,67.85475561823603
Primary metal and metal product manufacturing,CC711,5128.33496518032,5066.53932794342,61.79563723689996
Fabricated metal product manufacturing,CC721,7030.60073773574,6946.462033990414,84.13870374532617
Transport equipment manufacturing,CC811,2884.8653874072747,2850.1424178196744,34.72296958760043
Electronic and electrical equipment manufacturing,CC821,5335.6576763894145,5272.29628361034,63.36139277907495
Machinery manufacturing,CC822,5176.439201239787,5114.930087341555,61.509113898231604
Furniture manufacturing,CC911,4193.555117320298,4142.987853306832,50.567264013466676
Other manufacturing,CC912,3594.350056780912,3550.750645009593,43.5994117713188
Electricity generation and on-selling,DD111,11024.397444542825,10893.866872570146,130.5305719726793
Electricity transmission and distribution,DD112,7683.091913514075,7589.499473330856,93.5924401832194
Gas and water supply,,5543.202336279219,5475.730195622924,67.47214065629477
Sewerage and drainage services,DD122,4275.883775993115,4223.437604381437,52.44617161167759
"Waste collection, treatment, and disposal services",,4934.456122653311,4875.064207522481,59.391915130828714
Residential building construction,EE112,16053.724855757862,15861.542815223731,192.18204053413177
Non-residential building construction,EE113,13136.261819290206,12978.455566581186,157.80625270901913
Heavy and civil engineering construction,EE121,13536.049676361974,13374.444056533073,161.60561982890044
Construction services,EE131,20191.022875912295,19949.339270203225,241.68360570906927
Basic material wholesaling,FF111,8166.62607675462,8068.529768921796,98.09630783282364
Machinery and equipment wholesaling,FF112,8892.560231079335,8785.239638951747,107.32059212758787
"Motor vehicle wholesaling, including parts",,4699.419589956943,4642.38593236256,57.0336575943832
"Grocery, liquor, and tobacco product wholesaling",,8893.095263001056,8785.606088078319,107.48917492273736
Other goods and commission based wholesaling,,8600.693105780976,8496.211615543663,104.48149023731224
"Motor vehicle retailing, including parts",,5256.05956812908,5192.604103835972,63.45546429310754
Fuel retailing,GH112,4254.003123284857,4202.134125378363,51.8689979064936
Supermarket and grocery stores,GH121,7241.682294126113,7154.756332490316,86.92596163579832
Specialised food retailing,GH122,4538.299137089355,4483.110346239908,55.1887908494471
"Furniture, electrical, and hardware retailing",,7431.100458015152,7341.661363601724,89.4390944134283
"Recreational, clothing, footwear, and personal accessory retailing",,6745.869632669938,6663.885907263949,81.98372540598965
Department stores,GH133,5753.961240367419,5683.772303348989,70.18893701842975
Pharmaceutical and other store based retailing,GH134,6479.47293540128,6400.60906536735,78.86387003393023
Non-store and commission based retailing,GH135,5981.776064403319,5908.1917692327615,73.58429517055687
Accommodation,GH211,6700.231110954625,6619.425679914844,80.80543103978164
Food and beverage services,GH212,10506.312159158779,10379.502261163967,126.80989799481121
Road transport,II111,8728.124551873592,8624.571681097384,103.55287077620734
Rail transport,II121,4552.825305897448,4497.842109073221,54.98319682422669
Water transport,II122,4747.467659848236,4690.325093986089,57.142565862146796
Air and space transport,II123,6334.896459465398,6259.504556942821,75.39190252257671
Other transport,II125,3996.669785891082,3948.502413723422,48.167372167660275
Postal and courier services,,5326.791466736434,5262.7173695116735,64.0740972247605
Transport support services,II132,9142.455764102362,9034.232369086452,108.22339501591037
Warehousing and storage services,II133,4873.221215579069,4814.259796777662,58.961418801407575
Publishing (except internet and music publishing),JJ111,3675.168687765874,3630.1905926501263,44.97809511574759
Motion picture and sound recording activities,JJ112,5676.810256905272,5606.482146897114,70.32811000815744
Broadcasting and internet publishing,JJ113,5533.922387560928,5465.60679519016,68.31559237076767
Telecommunications services,JJ121,8542.483558059605,8432.836206180451,109.64735187915315
"Internet service providers, web search portals and data processing services",JJ122,4892.111959183673,4830.529019362086,61.5829398215867
Library and other information services,JJ123,2513.9298984284087,2483.2208961129268,30.709002315481975
Banking and financing; financial asset investing,,15664.8121625538,15466.40477787209,198.40738468171097
Life insurance,KK121,5571.694868305498,5501.155074770994,70.5397935345037
Health and general insurance,KK122,7348.261219685574,7256.160854661724,92.10036502385005
Superannuation and individual pension services,,9299.118051301613,9182.761052627024,116.35699867459023
Auxiliary finance and insurance services,KK131,8366.589872878918,8261.586932649587,105.00294022933065
Rental and hiring services (except real estate),LL111,7048.54191263392,6964.363186039414,84.17872659450529
Non-financial asset leasing,LL112,4916.526705428321,4855.92134941003,60.60535601829107
Residential property operation,LL121,15508.231026909729,15319.548611012204,188.68241589752677
Non-residential property operation,LL122,15096.20014493578,14911.933612783127,184.2665321526524
Real estate services,LL123,7149.572563982397,7062.448530728571,87.12403325382559
Owner-occupied property operation,,32675.563340477293,32640.730454094268,34.832886383025446
"Scientific, architectural, and engineering services",,13967.412897843402,13796.850611298183,170.56228654521894
Legal and accounting services,MN112,9239.155145046794,9124.976702953967,114.17844209282619
"Advertising, market research, and management services",,10988.154574930606,10851.653681574884,136.50089335572147
Veterinary and other professional services,MN114,2856.3202857412543,2821.6507609140817,34.66952482717262
Computer system design and related services,MN115,12344.376579642196,12186.961325806344,157.41525383585204
Travel agency and tour arrangement services,MN211,3363.1338455113323,3322.458690201536,40.675155309796594
Employment and other administrative services,MN212,8952.884670981339,8843.953594659233,108.93107632210547
"Building cleaning, pest control, and other support services",,6688.309351795583,6607.3810849009315,80.92826689465163
Local government administration services,,5239.61478796908,5176.0429066573915,63.57188131168851
Central government administration services,,10914.33829392454,10776.854672558131,137.48362136640944
Defence,OO212,3570.4123896038145,3526.9933497860316,43.41903981778306
"Public order, safety, and regulatory services",,9368.672906959197,9254.479559795238,114.19334716395865
Preschool education,PP111,3571.061618713864,3527.911155807131,43.1504629067333
School education,PP112,10025.021002306901,9904.705765226037,120.31523708086321
Tertiary education,PP113,8585.64458275907,8480.649763521067,104.9948192380035
"Adult, community, and other education",,5449.459797617487,5382.750773306282,66.70902431120469
Hospitals,QQ111,13281.433024046568,13121.367392202312,160.06563184425482
Medical and other health care services,QQ112,11899.611747397352,11756.47088055621,143.14086684114275
Residential care services and social assistance,QQ113,8390.34326052123,8289.948138522988,100.3951219982408
Heritage and artistic activities,RS111,4410.2919016466985,4356.003112793164,54.288788853534285
Sport and recreation services,,6137.507373013655,6063.236809152426,74.27056386122882
Gambling activities,RS113,4585.328564651014,4528.105193434608,57.22337121640659
Repair and maintenance,RS211,6971.24761876123,6887.30394733595,83.94367142527979
Personal services; domestic household staff,,5527.694210900675,5460.631479297243,67.06273160343265
"Religious services; civil, professional, and other interest groups",,6768.697372407326,6686.000388734207,82.69698367311892
