Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6905.009999999998,6896.1067459724445,8.903254027554203,0.42810457516339867,2956.066372549019,2952.2548487659806,3.81152378303791,2.1085602663702643,1.7029635166676456
"Sheep, beef cattle, and grain farming",,11564.824999999995,11552.141639699048,12.683360300946223,0.4252711496746204,4918.186423535789,4912.792556318868,5.39386721692084,0.17792244330218127,5.215944773618658
Dairy cattle farming,AA131,17366.689999999988,17357.761418501334,8.928581498655458,0.5005778676683039,8693.380648656452,8688.91119836855,4.469450287899618,0.05069955545009203,4.418750732449526
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.4756281072723,2.9943718927273526,0.332035595105673,747.5681813125694,746.5739432592,0.9942380533694269,0.5606031243007411,0.43363492906868584
Forestry and logging,AA211,6804.61,6801.635616041968,2.9743839580311304,0.30035010134512624,2043.7653031140592,2042.8719465908252,0.8933565232339677,0.05981498565146528,0.8335415375825024
Fishing and aquaculture,,1918.8950000000004,1917.1229120003247,1.7720879996756354,0.35635179153094465,683.8016710097722,683.1701842763372,0.6314867334349007,0.40071981570483073,0.23076691773006994
"Agriculture, forestry, and fishing support services",,6337.749999999999,6332.014965128327,5.735034871672587,0.4612341772151899,2923.1869066455697,2920.5417125552335,2.645194090336328,0.1317609245263035,2.513433165810024
Coal mining,BB111,632.52,632.1005785683718,0.4194214316281997,0.41386138613861384,261.77560396039604,261.60202162532613,0.17358233506988857,0.01844810089093025,0.15513423417895833
Oil and gas extraction,BB112,3481.369999999999,3478.2064809762433,3.1635190237560455,0.5343401654081266,1860.235821646889,1858.5454263684635,1.6903952784255605,0.024163698582437068,1.6662315798431233
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.944444504992,1.1055554950079283,0.5344224037339557,1146.8971995332556,1146.3063659081522,0.5908336251034202,0.17284648941767436,0.4179871356857458
Exploration and other mining support services,BB114,651.3449999999999,650.6750023063614,0.6699976936384939,0.3818525519848771,248.71775047258976,248.46191014344993,0.2558403291398407,0.0,0.2558403291398407
Meat and meat product manufacturing,CC111,15834.334999999994,15815.555698702694,18.77930129730008,0.1862030730239189,2948.401836290194,2944.905072679394,3.4967636107993414,2.825536233703837,0.6712273770955038
Seafood processing,CC121,2153.58,2151.5297555096927,2.0502444903074966,0.34279096699478867,738.2277707006369,737.5249654092288,0.7028052914082444,0.5912988735831293,0.11150641782511514
Dairy product manufacturing,CC131,29974.419999999995,29959.929628859794,14.490371140199931,0.157542273564373,4722.2382755734125,4719.955429559194,2.282846014218673,1.8811924844055479,0.4016535298131249
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10283.341103262495,25.228896737503916,0.32566630156991605,3357.153866374589,3348.937664881397,8.216201493192221,7.461305304320787,0.7548961888714355
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6763.128908889266,16.38109111073347,0.2839689004072566,1925.1699999999998,1920.5182795698138,4.651720430186068,3.883107770042434,0.7686126601436343
Textile and leather manufacturing,CC211,1805.945,1803.478720457109,2.466279542890869,0.3102971665514858,560.3796164478231,559.6143368937401,0.7652795540829302,0.32189331224647605,0.44338624183645414
"Clothing, knitted products, and footwear manufacturing",,513.295,512.6801682604628,0.6148317395372265,0.4081145584725537,209.48316229116944,209.23224050725327,0.25092178391614733,0.21917591560042735,0.03174586831571997
Wood product manufacturing,CC311,7001.6449999999995,6996.0405067829,5.604493217099407,0.29581245526127414,2071.1737983178236,2069.515919418778,1.6578788990453326,0.33936997817471354,1.3185089208706189
"Pulp, paper, and converted paper product manufacturing",,4216.8,4212.05331390868,4.746686091320168,0.19141323792486584,807.1513416815743,806.2427631274218,0.9085785541525188,0.2595282213655653,0.6490503327869535
Printing,CC411,1842.3400000000001,1839.0652472185295,3.274752781470678,0.44972826086956524,828.5523641304349,827.0796152572464,1.4727488731885794,0.14438392423735524,1.3283649489512241
Petroleum and coal product manufacturing,CC511,9094.985000000002,9075.917653172499,19.067346827503204,0.178191856452726,1620.6522615596964,1617.2546156308758,3.3976459288207916,2.2183442437798226,1.179301685040969
Basic chemical and basic polymer manufacturing,CC521,1931.445,1929.6365232396445,1.8084767603553074,0.2754374594944913,531.9923039533377,531.4941817089106,0.4981222444270938,0.2054019376278467,0.2927203067992471
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2033.3713964788965,2.2386035211036233,0.2481527093596059,505.14213669950743,504.58662117056355,0.5555155289438178,0.14280086198775416,0.4127146669560636
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.3293833885805,3.4156166114185496,0.32685904550499445,737.9643756936736,736.8479505082541,1.1164251854192706,0.769758856074355,0.34666632934491565
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4688.712897665045,6.242102334957883,0.40855614973262033,1918.1527379679155,1915.602488671708,2.550249296207392,0.7635957327345605,1.786653563472831
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4046.654955685959,4.485044314041547,0.3544891640866873,1436.0852321981426,1434.4953325883664,1.5898996097763376,0.5627127419258617,1.0271868678504759
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.559240061839,3.2607599381599446,0.1661529840291398,743.1723900252169,742.630605031289,0.5417849939279481,0.01640511011467316,0.525379883813275
Fabricated metal product manufacturing,CC721,8600.515,8590.12110837323,10.393891626769635,0.3606653049314269,3101.9073650423106,3098.1586489493175,3.748716092993076,0.6057528804711381,3.1429632125219373
Transport equipment manufacturing,CC811,5355.084999999997,5345.195918007346,9.889081992651354,0.3175754739059209,1700.6436566814878,1697.5031267811767,3.140529900310762,2.1995309286251277,0.9409989716856343
Electronic and electrical equipment manufacturing,CC821,5789.314999999997,5785.115482347242,4.199517652755375,0.5041161178509532,2918.48700281629,2916.369958280336,2.117044535953587,1.2605959388188979,0.8564485971346895
Machinery manufacturing,CC822,5078.985,5076.491026924109,2.4939730758903123,0.44090796940537874,2239.3649629903775,2238.2653503857346,1.0996126046424841,0.5135719285485322,0.5860406760939518
Furniture manufacturing,CC911,1661.6199999999988,1656.9920443794072,4.627955620591469,0.40271493212669685,669.1591855203616,667.2954386867297,1.8637468336318588,1.4488687093837036,0.4148781242481551
Other manufacturing,CC912,993.9599999999998,991.9650560954716,1.9949439045281843,0.3849056603773585,382.5808301886792,381.812964987691,0.7678652009882069,0.6122417646445518,0.15562343634365502
Electricity generation and on-selling,DD111,15101.415,15057.369446534807,44.045553465194374,0.26820146276595747,4050.221592835772,4038.4085109680705,11.813081867701317,7.969305717494395,3.843776150206923
Electricity transmission and distribution,DD112,5971.289999999998,5955.48946852451,15.800531475488345,0.6158536585365854,3677.440792682926,3667.7099775669235,9.730815116001969,3.783706637984557,5.947108478017412
Gas and water supply,,3766.2549999999987,3757.3945257561113,8.860474243887296,0.414780292942743,1562.1683521970701,1558.4932020945787,3.675150102491202,0.8342196058437349,2.8409304966474673
Sewerage and drainage services,DD122,961.3299999999995,960.079089629224,1.250910370775473,0.4909090909090909,471.92563636363616,471.31155309071,0.6140832729261413,0.043995434717587455,0.5700878382085538
"Waste collection, treatment, and disposal services",,3028.3149999999996,3023.0713445983806,5.243655401619105,0.4132505175983437,1251.452741200828,1249.2857978920017,2.166943308826446,0.8432617957230917,1.3236815131033541
Residential building construction,EE112,25962.185,25953.84948912171,8.335510878292498,0.21897810218978103,5685.150000000001,5683.324705647089,1.825294352910766,0.1366824320983751,1.688611920812391
Non-residential building construction,EE113,12069.334999999994,12061.541736028017,7.793263971977657,0.14383775351014041,1736.0260327613098,1734.905067179069,1.1209655822407802,0.015585266957341333,1.1053803152834387
Heavy and civil engineering construction,EE121,18228.875,18223.535808380595,5.339191619406756,0.33009975920192636,6017.347248022015,6015.584782154117,1.7624658678991134,0.041648087478988856,1.7208177804201248
Construction services,EE131,36052.38500000001,36021.093123588376,31.291876411631907,0.41023945426701935,14790.110747424476,14777.273585122377,12.837162302098891,0.9325323428744036,11.904629959224486
