Unnamed: 0,household_demand_retained_share
Horticulture and fruit growing,0.9977129686455656
"Sheep, beef cattle, and grain farming",0.9977129686455656
Dairy cattle farming,0.9977129686455656
"Poultry, deer, and other livestock farming",0.9977129686455656
Forestry and logging,0.9977129686455656
Fishing and aquaculture,0.9977129686455656
"Agriculture, forestry, and fishing support services",0.9977129686455656
Coal mining,0.9977129686455656
Oil and gas extraction,0.9977129686455656
Metal ore and non-metallic mineral mining and quarrying,0.9977129686455656
Exploration and other mining support services,0.9977129686455656
Meat and meat product manufacturing,0.9977129686455656
Seafood processing,0.9977129686455656
Dairy product manufacturing,0.9977129686455656
"Fruit, oil, cereal, and other food product manufacturing",0.9977129686455656
Beverage and tobacco product manufacturing,0.9977129686455656
Textile and leather manufacturing,0.9977129686455656
"Clothing, knitted products, and footwear manufacturing",0.9977129686455656
Wood product manufacturing,0.9977129686455656
"Pulp, paper, and converted paper product manufacturing",0.9977129686455656
Printing,0.9977129686455656
Petroleum and coal product manufacturing,0.9977129686455656
Basic chemical and basic polymer manufacturing,0.9977129686455656
Fertiliser and pesticide manufacturing,0.9977129686455656
"Pharmaceutical, cleaning, and other chemical manufacturing",0.9977129686455656
Polymer product and rubber product manufacturing,0.9977129686455656
Non-metallic mineral product manufacturing,0.9977129686455656
Primary metal and metal product manufacturing,0.9977129686455656
Fabricated metal product manufacturing,0.9977129686455656
Transport equipment manufacturing,0.9977129686455656
Electronic and electrical equipment manufacturing,0.9977129686455656
Machinery manufacturing,0.9977129686455656
Furniture manufacturing,0.9977129686455656
Other manufacturing,0.9977129686455656
Electricity generation and on-selling,0.9977129686455656
Electricity transmission and distribution,0.9977129686455656
Gas and water supply,0.9977129686455656
Sewerage and drainage services,0.9977129686455656
"Waste collection, treatment, and disposal services",0.9977129686455656
Residential building construction,0.9977129686455656
Non-residential building construction,0.9977129686455656
Heavy and civil engineering construction,0.9977129686455656
Construction services,0.9977129686455656
Basic material wholesaling,0.9977129686455656
Machinery and equipment wholesaling,0.9977129686455656
"Motor vehicle wholesaling, including parts",0.9977129686455656
"Grocery, liquor, and tobacco product wholesaling",0.9977129686455656
Other goods and commission based wholesaling,0.9977129686455656
"Motor vehicle retailing, including parts",0.9977129686455656
Fuel retailing,0.9977129686455656
Supermarket and grocery stores,0.9977129686455656
Specialised food retailing,0.9977129686455656
"Furniture, electrical, and hardware retailing",0.9977129686455656
"Recreational, clothing, footwear, and personal accessory retailing",0.9977129686455656
Department stores,0.9977129686455656
Pharmaceutical and other store based retailing,0.9977129686455656
Non-store and commission based retailing,0.9977129686455656
Accommodation,0.9977129686455656
Food and beverage services,0.9977129686455656
Road transport,0.9977129686455656
Rail transport,0.9977129686455656
Water transport,0.9977129686455656
Air and space transport,0.9977129686455656
Other transport,0.9977129686455656
Postal and courier services,0.9977129686455656
Transport support services,0.9977129686455656
Warehousing and storage services,0.9977129686455656
Publishing (except internet and music publishing),0.9977129686455656
Motion picture and sound recording activities,0.9977129686455656
Broadcasting and internet publishing,0.9977129686455656
Telecommunications services,0.9977129686455656
"Internet service providers, web search portals and data processing services",0.9977129686455656
Library and other information services,0.9977129686455656
Banking and financing; financial asset investing,0.9977129686455656
Life insurance,0.9977129686455656
Health and general insurance,0.9977129686455656
Superannuation and individual pension services,0.9977129686455656
Auxiliary finance and insurance services,0.9977129686455656
Rental and hiring services (except real estate),0.9977129686455656
Non-financial asset leasing,0.9977129686455656
Residential property operation,0.9977129686455656
Non-residential property operation,0.9977129686455656
Real estate services,0.9977129686455656
Owner-occupied property operation,0.9977129686455656
"Scientific, architectural, and engineering services",0.9977129686455656
Legal and accounting services,0.9977129686455656
"Advertising, market research, and management services",0.9977129686455656
Veterinary and other professional services,0.9977129686455656
Computer system design and related services,0.9977129686455656
Travel agency and tour arrangement services,0.9977129686455656
Employment and other administrative services,0.9977129686455656
"Building cleaning, pest control, and other support services",0.9977129686455656
Local government administration services,0.9977129686455656
Central government administration services,0.9977129686455656
Defence,0.9977129686455656
"Public order, safety, and regulatory services",0.9977129686455656
Preschool education,0.9977129686455656
School education,0.9977129686455656
Tertiary education,0.9977129686455656
"Adult, community, and other education",0.9977129686455656
Hospitals,0.9977129686455656
Medical and other health care services,0.9977129686455656
Residential care services and social assistance,0.9977129686455656
Heritage and artistic activities,0.9977129686455656
Sport and recreation services,0.9977129686455656
Gambling activities,0.9977129686455656
Repair and maintenance,0.9977129686455656
Personal services; domestic household staff,0.9977129686455656
"Religious services; civil, professional, and other interest groups",0.9977129686455656
