scenario,Demand-Side Leontief (Population Shock),Demand-Side Leontief (Survey-Based Residential VoLL),Supply-Side Ghosh (% Shock),Supply-Side Ghosh (Customer-Class Survey VoLL)
Scenario 1,,,,
Scenario 2,,,,
Scenario 3,,,,
Scenario 4,32.07441617160839,28.196986176900737,65.07062519044757,44.85966795938066
Scenario 5,181.29395574928049,193.96092449707885,391.5635837288264,239.39760663387688
Scenario 6,16.511750012179036,17.03859237581212,42.05434071703475,23.053730370197364
Scenario 7,7.261305443047976,7.508238731244806,17.885367660755456,9.91400928007664
