Description,NZSIOC,Original Output,Shocked Output,Loss
Non-financial asset leasing,LL112,4801.268180182722,4777.952296175976,23.315884006746273
Residential property operation,LL121,12602.423571832418,12536.576995801974,65.84657603044434
Non-residential property operation,LL122,12379.974769893768,12316.025553948268,63.94921594550033
Real estate services,LL123,5971.361403381427,5940.495680417576,30.865722963851113
Owner-occupied property operation,,26236.89849603482,26224.986592959365,11.911903075455484
"Scientific, architectural, and engineering services",,11472.922034055773,11413.746351851767,59.17568220400608
Legal and accounting services,MN112,7521.192159061272,7483.297487897314,37.894671163958265
"Advertising, market research, and management services",,9157.285061763778,9114.0021566545,43.282905109277635
Veterinary and other professional services,MN114,2488.8549383048066,2475.987516830026,12.867421474780713
Computer system design and related services,MN115,10089.41237863674,10042.694137645824,46.718240990916456
Travel agency and tour arrangement services,MN211,2952.891617698783,2937.0823609122153,15.809256786567857
Employment and other administrative services,MN212,7598.682325089658,7560.584184659508,38.098140430150124
"Building cleaning, pest control, and other support services",,5826.035938315717,5795.9098833023745,30.12605501334292
Local government administration services,,4426.281653924045,4403.002559625969,23.279094298075506
Central government administration services,,9082.643050952303,9041.093104207524,41.549946744778936
Defence,OO212,3241.4309087336133,3225.891536255138,15.539372478475343
"Public order, safety, and regulatory services",,7741.2755998999655,7703.165845052532,38.10975484743358
Preschool education,PP111,3016.133659657665,3000.6495667550807,15.484092902584052
School education,PP112,8146.9040404141415,8104.5229519489585,42.381088465182984
Tertiary education,PP113,7091.189611902046,7052.963794044279,38.22581785776674
"Adult, community, and other education",,4752.467619551142,4728.656980619366,23.81063893177634
Hospitals,QQ111,10864.045729259346,10805.974361212247,58.071368047098076
Medical and other health care services,QQ112,9919.601887961493,9869.410862692857,50.19102526863571
Residential care services and social assistance,QQ113,6960.964089980651,6924.016196679206,36.94789330144522
Heritage and artistic activities,RS111,3839.1921557544388,3819.2943456574267,19.897810097012098
Sport and recreation services,,5636.941133232668,5607.752536310315,29.1885969223531
Gambling activities,RS113,3938.010875088333,3918.672795911779,19.338079176553947
Repair and maintenance,RS211,6187.660047352376,6155.472190176084,32.1878571762918
Personal services; domestic household staff,,4669.012328127027,4644.814157503963,24.19817062306447
"Religious services; civil, professional, and other interest groups",,5912.533621590067,5882.890062129087,29.643559460980214
