Description,NZSIOC,Original Output,Shocked Output,Loss,Direct Loss,Indirect Loss
Horticulture and fruit growing,AA111,6164.277313992824,6156.458652945514,7.818661047310343,4.191946968571969,3.626714078738374
"Sheep, beef cattle, and grain farming",,7984.108416380915,7977.843333665533,6.26508271538205,2.896242355704636,3.368840359677414
Dairy cattle farming,AA131,10395.10504895253,10389.226658123353,5.878390829177079,2.9864473349338665,2.891943494243212
"Poultry, deer, and other livestock farming",,4968.636997335923,4964.069041396828,4.567955939095555,0.8139561483315609,3.7539997907639937
Forestry and logging,AA211,6758.945241876287,6753.499194779153,5.446047097133487,0.6636873209472727,4.782359776186214
Fishing and aquaculture,,4162.947025158909,4159.739989815158,3.2070353437511585,0.2040714743983332,3.002963869352825
"Agriculture, forestry, and fishing support services",,5908.587505082643,5900.3145691299205,8.272935952722037,4.653310127067237,3.6196258256547997
Coal mining,BB111,4248.744564981245,4245.127086543724,3.6174784375216404,0.12277010958904108,3.4947083279325994
Oil and gas extraction,BB112,4506.667410980047,4503.825553820152,2.841857159894971,0.3708073479452054,2.471049811949766
Metal ore and non-metallic mineral mining and quarrying,BB113,4053.9053129176573,4050.1402829924095,3.7650299252477453,1.1134624684931507,2.6515674567545946
Exploration and other mining support services,BB114,4620.08736386429,4616.001684724687,4.085679139602689,0.32586100273972607,3.7598181368629633
Meat and meat product manufacturing,CC111,8596.119406828715,8587.95031420121,8.169092627504142,3.0692411471882646,5.099851480315877
Seafood processing,CC121,4262.365639606111,4259.225262189164,3.1403774169466487,0.12557165809290957,3.0148057588537394
Dairy product manufacturing,CC131,11851.736574976458,11845.393442724666,6.343132251791758,1.3477332780440099,4.995398973747748
"Fruit, oil, cereal, and other food product manufacturing",,7393.895250126124,7386.194544675259,7.700705450864916,3.5369350362836194,4.163770414581297
Beverage and tobacco product manufacturing,CC151,6377.488029601834,6372.081855800014,5.406173801819932,0.9179760974083131,4.488197704411619
Textile and leather manufacturing,CC211,5301.244798680549,5296.647905377152,4.596893303397337,0.7122532557032645,3.884640047694073
"Clothing, knitted products, and footwear manufacturing",,3339.319301890554,3336.5071673690427,2.812134521511325,0.29069015340490567,2.5214443681064194
Wood product manufacturing,CC311,6497.340506474585,6491.722944121165,5.6175623534199985,1.4931993501302965,4.124363003289702
"Pulp, paper, and converted paper product manufacturing",,6392.315005811093,6386.719072602176,5.595933208916904,0.6765746047620746,4.919358604154829
Printing,CC411,4104.283253074512,4100.796188003256,3.487065071255529,0.6890647498232961,2.798000321432233
Petroleum and coal product manufacturing,CC511,5177.256549031539,5174.121406527176,3.1351425043631025,0.04734631468547713,3.087796189677625
Basic chemical and basic polymer manufacturing,CC521,4467.180709560791,4464.293950460312,2.8867591004791393,0.24181264799999974,2.6449464524791395
Fertiliser and pesticide manufacturing,CC522,4619.499294325011,4615.759182170927,3.7401121540842723,0.21330777599999978,3.5268043780842726
"Pharmaceutical, cleaning, and other chemical manufacturing",,4904.879011463889,4900.5423277829395,4.336683680949136,0.8302504319999993,3.5064332489491368
Polymer product and rubber product manufacturing,CC531,4823.438586556988,4819.151956207927,4.286630349061852,1.6815664799999979,2.605063869061854
Non-metallic mineral product manufacturing,CC611,5457.816862303269,5453.207690645874,4.609171657394654,1.0185383744195924,3.5906332829750616
Primary metal and metal product manufacturing,CC711,6215.36910062153,6210.867122501161,4.501978120369131,0.7310987485664302,3.7708793718027005
