Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999998,6883.750574905324,21.259425094673936
"Sheep, beef cattle, and grain farming",,11564.824999999995,11534.539337316193,30.285662683801462
Dairy cattle farming,AA131,17366.689999999988,17345.370097300958,21.319902699031434
"Poultry, deer, and other livestock farming",,2251.4699999999993,2244.3199597156263,7.150040284373095
Forestry and logging,AA211,6804.61,6797.507687433962,7.10231256603718
Fishing and aquaculture,,1918.8950000000004,1914.6635614749755,4.231438525024837
"Agriculture, forestry, and fishing support services",,6337.749999999999,6324.055732275821,13.694267724178038
Coal mining,BB111,632.52,631.5184944289798,1.0015055710202585
Oil and gas extraction,BB112,3481.369999999999,3473.816065729112,7.553934270887312
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2143.4101253921995,2.639874607800817
Exploration and other mining support services,BB114,651.3449999999999,649.7451618130368,1.5998381869631253
Meat and meat product manufacturing,CC111,15834.334999999994,15789.493288416264,44.84171158372957
Seafood processing,CC121,2153.58,2148.6843720607585,4.895627939241493
Dairy product manufacturing,CC131,29974.419999999995,29939.819509112538,34.60049088745551
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10248.327774095596,60.24222590440314
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6740.394798034539,39.115201965460514
Textile and leather manufacturing,CC211,1805.945,1800.0559525750514,5.889047424948401
"Clothing, knitted products, and footwear manufacturing",,513.295,511.82688853512815,1.4681114648718303
Wood product manufacturing,CC311,7001.6449999999995,6988.262443086119,13.382556913880434
"Pulp, paper, and converted paper product manufacturing",,4216.8,4205.465737595037,11.334262404962727
Printing,CC411,1842.3400000000001,1834.5204588248528,7.8195411751474575
Petroleum and coal product manufacturing,CC511,9094.985000000002,9049.455485692215,45.52951430778675
Basic chemical and basic polymer manufacturing,CC521,1931.445,1927.1266714312262,4.318328568773666
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2030.2646033926178,5.345396607382406
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2249.589100451605,8.155899548394029
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4680.049943195759,14.905056804243348
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4040.4304927405733,10.709507259427658
