Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,6905.009999999998,6895.866222559161,9.143777440837761
"Sheep, beef cattle, and grain farming",,11564.824999999995,11551.798995863204,13.026004136789568
Dairy cattle farming,AA131,17366.689999999988,17357.52021086072,9.16978913927166
"Poultry, deer, and other livestock farming",,2251.4699999999993,2248.3947344760177,3.075265523981744
Forestry and logging,AA211,6804.61,6801.555262389275,3.0547376107237683
Fishing and aquaculture,,1918.8950000000004,1917.075038643797,1.8199613562034163
"Agriculture, forestry, and fishing support services",,6337.749999999999,6331.860031869277,5.889968130722831
Coal mining,BB111,632.52,632.0892478039086,0.4307521960913908
Oil and gas extraction,BB112,3481.369999999999,3478.1210177971375,3.2489822028614976
Metal ore and non-metallic mineral mining and quarrying,BB113,2146.05,2144.9145776742334,1.1354223257667149
Exploration and other mining support services,BB114,651.3449999999999,650.6569021677304,0.6880978322695102
Meat and meat product manufacturing,CC111,15834.334999999994,15815.048371647541,19.286628352452734
Seafood processing,CC121,2153.58,2151.4743676929065,2.1056323070934897
Dairy product manufacturing,CC131,29974.419999999995,29959.538168219042,14.88183178095216
"Fruit, oil, cereal, and other food product manufacturing",,10308.57,10282.659538933554,25.910461066444267
Beverage and tobacco product manufacturing,CC151,6779.509999999999,6762.686370022575,16.82362997742435
Textile and leather manufacturing,CC211,1805.945,1803.4120933596535,2.5329066403463933
"Clothing, knitted products, and footwear manufacturing",,513.295,512.66355844251,0.6314415574900513
Wood product manufacturing,CC311,7001.6449999999995,6995.889100136061,5.755899863939121
"Pulp, paper, and converted paper product manufacturing",,4216.8,4211.9250811145885,4.874918885411612
Printing,CC411,1842.3400000000001,1838.9767790344001,3.3632209656000907
Petroleum and coal product manufacturing,CC511,9094.985000000002,9075.402544502458,19.582455497543187
Basic chemical and basic polymer manufacturing,CC521,1931.445,1929.5876668325488,1.8573331674510245
Fertiliser and pesticide manufacturing,CC522,2035.6100000000001,2033.3109201004606,2.299079899539406
"Pharmaceutical, cleaning, and other chemical manufacturing",,2257.7449999999994,2254.2371097363525,3.507890263646728
Polymer product and rubber product manufacturing,CC531,4694.955000000003,4688.544265864243,6.410734135758802
Non-metallic mineral product manufacturing,CC611,4051.140000000001,4046.5337912034233,4.6062087965776595
Primary metal and metal product manufacturing,CC711,4472.819999999999,4469.471149897525,3.3488501024739863
Fabricated metal product manufacturing,CC721,8600.515,8589.840315049392,10.674684950606224
Transport equipment manufacturing,CC811,5355.084999999997,5344.928762229499,10.156237770498796
Electronic and electrical equipment manufacturing,CC821,5789.314999999997,5785.00203143179,4.312968568207202
Machinery manufacturing,CC822,5078.985,5076.423651679621,2.561348320379029
Furniture manufacturing,CC911,1661.6199999999988,1656.8670191157291,4.752980884269577
Other manufacturing,CC912,993.9599999999998,991.9111622364685,2.0488377635312847
Electricity generation and on-selling,DD111,15101.415,15056.179545985351,45.235454014650415
Electricity transmission and distribution,DD112,5971.289999999998,5955.062613607152,16.227386392845663
Gas and water supply,,3766.2549999999987,3757.155158048321,9.099841951677705
Sewerage and drainage services,DD122,961.3299999999995,960.0452960037519,1.2847039962475382
"Waste collection, treatment, and disposal services",,3028.3149999999996,3022.9296860664135,5.385313933586114
Residential building construction,EE112,25962.185,25953.624303417506,8.56069658249522
Non-residential building construction,EE113,12069.334999999994,12061.33119924615,8.003800753845198
Heavy and civil engineering construction,EE121,18228.875,18223.391568916188,5.4834310838142475
Construction services,EE131,36052.38500000001,36020.24776649767,32.13723350233771
Basic material wholesaling,FF111,8999.605000000001,8982.558453103933,17.046546896069234
Machinery and equipment wholesaling,FF112,9362.300000000001,9343.93856325255,18.36143674744969
"Motor vehicle wholesaling, including parts",,2408.3449999999993,2402.6601295383857,5.684870461613821
"Grocery, liquor, and tobacco product wholesaling",,8786.255,8765.627691123002,20.627308876997372
Other goods and commission based wholesaling,,9132.635000000002,9113.644838997881,18.990161002120782
"Motor vehicle retailing, including parts",,3512.744999999999,3499.3940902230993,13.350909776899679
Fuel retailing,GH112,975.1349999999999,971.2764589538793,3.858541046120523
Supermarket and grocery stores,GH121,6052.865,6027.965152479598,24.899847520401227
Specialised food retailing,GH122,1326.535,1321.104397638557,5.430602361443259
"Furniture, electrical, and hardware retailing",,6075.455,6050.798566505647,24.656433494353106
"Recreational, clothing, footwear, and personal accessory retailing",,3921.8750000000005,3905.6110220474784,16.263977952521792
Department stores,GH133,2592.829999999999,2581.8091406931,11.020859306899363
Pharmaceutical and other store based retailing,GH134,3664.599999999999,3651.6787006840973,12.921299315901756
Non-store and commission based retailing,GH135,1084.3199999999997,1080.397057644965,3.9229423550348828
