Description,NZSIOC,Original Output,Shocked Output,Output Loss
Horticulture and fruit growing,AA111,5865.591011198375,5852.90786288757,12.68314831080478
"Sheep, beef cattle, and grain farming",,9630.482842666717,9609.914679860558,20.56816280615949
Dairy cattle farming,AA131,14625.243681225025,14596.243998677886,28.999682547139443
"Poultry, deer, and other livestock farming",,1686.4452467721267,1682.9318521171845,3.5133946549422577
Forestry and logging,AA211,5865.201495251384,5852.568254773381,12.633240478001992
Fishing and aquaculture,,1451.1437026816147,1449.0075347581858,2.136167923429011
"Agriculture, forestry, and fishing support services",,5362.168593683147,5350.63056597132,11.53802771182743
Coal mining,BB111,494.7948360294021,494.09096374987683,0.7038722795252612
Oil and gas extraction,BB112,2975.2565397453927,2968.7565284092293,6.500011336163554
Metal ore and non-metallic mineral mining and quarrying,BB113,1810.9905680292068,1807.7336335642674,3.256934464939536
Exploration and other mining support services,BB114,546.2507344798876,545.2229446581683,1.0277898217191952
Meat and meat product manufacturing,CC111,13122.800609269472,13095.830138759033,26.970470510439753
Seafood processing,CC121,1697.4167766137036,1695.1548188170912,2.2619577966124824
Dairy product manufacturing,CC131,24943.432234856882,24894.45605888547,48.976175971411244
"Fruit, oil, cereal, and other food product manufacturing",,7824.742528301136,7807.9269346437,16.815593657435606
Beverage and tobacco product manufacturing,CC151,5037.7233904767445,5027.08389551445,10.639494962294735
Textile and leather manufacturing,CC211,1435.9096764837916,1432.7427403880667,3.1669360957249952
"Clothing, knitted products, and footwear manufacturing",,354.1664367825826,353.429845428171,0.7365913544115744
Wood product manufacturing,CC311,5793.184537644188,5781.443032474018,11.741505170169674
"Pulp, paper, and converted paper product manufacturing",,3200.0346375973604,3192.336045006994,7.6985925903665535
Printing,CC411,1490.8929748565222,1487.2794994064018,3.6134754501203177
Petroleum and coal product manufacturing,CC511,2860.8728371749057,2855.2582435671925,5.614593607713404
Basic chemical and basic polymer manufacturing,CC521,1530.274861813226,1526.9026716710837,3.3721901421421987
Fertiliser and pesticide manufacturing,CC522,1313.8714105354852,1310.9049803478385,2.9664301876465227
"Pharmaceutical, cleaning, and other chemical manufacturing",,1601.109038254474,1597.5568360278535,3.552202226620327
Polymer product and rubber product manufacturing,CC531,3318.416615325536,3310.917051110522,7.499564215013701
Non-metallic mineral product manufacturing,CC611,3138.105327162549,3131.6723096363253,6.433017526224059
Primary metal and metal product manufacturing,CC711,2689.47446403552,2682.280762122159,7.19370191336128
Fabricated metal product manufacturing,CC721,6346.336573035555,6331.76148645728,14.575086578275235
Transport equipment manufacturing,CC811,2365.2105898181585,2360.301547463518,4.909042354640497
Electronic and electrical equipment manufacturing,CC821,4292.2050780278005,4283.088811283256,9.116266744544191
Machinery manufacturing,CC822,3666.8643462166224,3658.951430337811,7.912915878811725
Furniture manufacturing,CC911,1250.345064540436,1247.8420562178246,2.503008322611224
Other manufacturing,CC912,704.4865166845406,702.7173546933661,1.7691619911743712
Electricity generation and on-selling,DD111,13931.659431651035,13901.451687516472,30.207744134562933
Electricity transmission and distribution,DD112,5599.134547203223,5588.730398577936,10.404148625286078
Gas and water supply,,3430.518859910221,3422.6341125431372,7.88474736708431
Sewerage and drainage services,DD122,850.4659114387338,848.4734726200513,1.9924388186824562
"Waste collection, treatment, and disposal services",,2602.2710810973317,2596.875181862298,5.3958992350331565
Residential building construction,EE112,20629.39911918761,20584.485786294892,44.91333289271638
Non-residential building construction,EE113,9178.984363554486,9159.271956568406,19.712406986080065
Heavy and civil engineering construction,EE121,14677.449917276812,14646.808375753775,30.641541523036636
Construction services,EE131,28350.08056876458,28287.8639424475,62.21662631708066
Basic material wholesaling,FF111,7508.268199710489,7492.422581651612,15.845618058877443
Machinery and equipment wholesaling,FF112,8264.548142789843,8246.849123677062,17.699019112780118
"Motor vehicle wholesaling, including parts",,2085.2326117925213,2080.7472156542394,4.485396138282103
"Grocery, liquor, and tobacco product wholesaling",,7588.825598025307,7573.2925796859145,15.533018339392838
Other goods and commission based wholesaling,,7995.574615810914,7977.506075344775,18.06854046613906
"Motor vehicle retailing, including parts",,3094.499869869582,3087.7258257111853,6.774044158396938
Fuel retailing,GH112,850.301143543785,848.5413514748785,1.7597920689064237
Supermarket and grocery stores,GH121,5667.220870365167,5654.6315218470045,12.589348518161604
Specialised food retailing,GH122,1209.4905899183643,1206.8614688932416,2.6291210251226538
"Furniture, electrical, and hardware retailing",,5693.205026701771,5680.758640090932,12.446386610839017
"Recreational, clothing, footwear, and personal accessory retailing",,3572.1230189437497,3564.543783272746,7.579235671003286
Department stores,GH133,2407.7548335139845,2402.524181221455,5.2306522925295615
Pharmaceutical and other store based retailing,GH134,3258.7123046634715,3251.456010220806,7.256294442665675
Non-store and commission based retailing,GH135,981.160571163528,978.9948433836132,2.1657277799147243
Accommodation,GH211,4537.893159699569,4529.299913271747,8.593246427822459
Food and beverage services,GH212,11296.289860116993,11271.955024572146,24.33483554484746
Road transport,II111,9359.871925841971,9339.929715556773,19.94221028519857
Rail transport,II121,540.6732683081793,539.5014614516381,1.1718068565412285
Water transport,II122,739.7449860556442,738.2822386691329,1.4627473865112772
Air and space transport,II123,5735.100295119452,5723.537716828832,11.562578290619957
Other transport,II125,928.5321574398157,926.9680081980862,1.5641492417294847
Postal and courier services,,2651.1982208446657,2645.4569199940465,5.741300850619245
Transport support services,II132,8243.027843222966,8225.832050119252,17.19579310371337
Warehousing and storage services,II133,1417.156660283312,1414.287626020389,2.8690342629228742
Publishing (except internet and music publishing),JJ111,1409.0392001672049,1406.2090316622277,2.830168504977091
Motion picture and sound recording activities,JJ112,2201.659107800419,2196.7782248305107,4.8808829699085
Broadcasting and internet publishing,JJ113,1644.8117985544845,1641.3464060005056,3.465392553979046
Telecommunications services,JJ121,7779.296029055556,7763.262945174129,16.033083881426805
"Internet service providers, web search portals and data processing services",JJ122,1642.9198592850664,1639.1755845438722,3.7442747411942294
Library and other information services,JJ123,441.91398145327753,441.001716164186,0.9122652890915526
Banking and financing; financial asset investing,,17316.300400980377,17279.482465113462,36.817935866916166
Life insurance,KK121,1855.161371577605,1851.2377593979281,3.923612179676852
Health and general insurance,KK122,6953.799862370223,6939.441756681806,14.358105688417261
Superannuation and individual pension services,,390.6150126849318,389.7856197773899,0.8293929075418887
Auxiliary finance and insurance services,KK131,7517.303443081259,7501.507525805108,15.795917276150034
Rental and hiring services (except real estate),LL111,5674.731389069222,5662.873906522201,11.857482547020966
Non-financial asset leasing,LL112,1330.996830273044,1327.8780073203486,3.1188229526954485
Residential property operation,LL121,15627.200324904052,15592.239744923168,34.96057998088385
Non-residential property operation,LL122,16599.39014558746,16562.605979048225,36.78416653923115
Real estate services,LL123,5915.4855599191205,5903.033025822116,12.452534097004671
Owner-occupied property operation,,36859.79308623835,36844.726917147855,15.066169090494512
"Scientific, architectural, and engineering services",,14825.54936094663,14794.474951831178,31.074409115452706
Legal and accounting services,MN112,8897.875241021025,8879.040333889496,18.834907131528986
"Advertising, market research, and management services",,12204.510130244988,12177.708841337415,26.80128890757173
Veterinary and other professional services,MN114,1364.3277233589538,1361.4894825920578,2.8382407668959897
Computer system design and related services,MN115,12779.21291760452,12752.642343859376,26.5705737451435
Travel agency and tour arrangement services,MN211,1495.0088659395226,1492.2487638627313,2.7601020767912687
Employment and other administrative services,MN212,8027.111826146348,8009.641220759119,17.470605387228723
"Building cleaning, pest control, and other support services",,4574.225541241587,4564.047068678902,10.178472562685078
Local government administration services,,2985.7457483619146,2979.3702495459434,6.375498815971272
Central government administration services,,11508.040399850845,11482.683283345157,25.357116505686335
Defence,OO212,2495.848815324654,2489.3490093327387,6.4998059919153315
"Public order, safety, and regulatory services",,9128.642058697875,9109.495860570201,19.146198127673895
Preschool education,PP111,2141.1371237873086,2136.1908218014496,4.946301985858987
School education,PP112,10123.229545541244,10100.417509632758,22.812035908484738
Tertiary education,PP113,7986.2277777491445,7970.232608956341,15.995168792802932
"Adult, community, and other education",,2080.381188668415,2075.8492304235842,4.531958244830347
Hospitals,QQ111,14321.436233123395,14290.009549713806,31.426683409590147
Medical and other health care services,QQ112,12747.391709558342,12719.132879200723,28.258830357619534
Residential care services and social assistance,QQ113,7609.077747744575,7592.409559364244,16.66818838033057
Heritage and artistic activities,RS111,1948.1724099604965,1944.3595394605395,3.812870499956839
Sport and recreation services,,3871.464742437629,3863.315710725398,8.149031712230936
Gambling activities,RS113,2240.770909548943,2236.0358944006202,4.735015148322904
Repair and maintenance,RS211,5121.897803333234,5110.892633075833,11.00517025740075
Personal services; domestic household staff,,3706.6053344975703,3698.8300944330435,7.775240064526629
"Religious services; civil, professional, and other interest groups",,3302.618830165394,3295.525268809121,7.09356135627282
